sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
,225.0,3.0,242.0,31.0,55.0,100.0,203.0
40.0,225.0,2.0,242.0,31.0,56.0,99.0,203.0
40.0,225.0,2.0,243.0,31.0,56.0,99.0,203.0
40.0,226.0,3.0,243.0,31.0,56.0,100.0,203.0
40.0,224.0,3.0,242.0,31.0,55.0,99.0,204.0
40.0,225.0,3.0,242.0,30.0,56.0,99.0,203.0
40.0,224.0,3.0,242.0,31.0,55.0,99.0,203.0
39.0,225.0,3.0,241.0,31.0,54.0,99.0,202.0
38.0,224.0,3.0,240.0,31.0,55.0,98.0,202.0
39.0,223.0,3.0,241.0,31.0,55.0,99.0,202.0
38.0,224.0,3.0,241.0,31.0,55.0,98.0,202.0
38.0,224.0,3.0,239.0,31.0,54.0,99.0,202.0
38.0,225.0,2.0,241.0,30.0,54.0,99.0,202.0
38.0,225.0,3.0,240.0,31.0,55.0,99.0,201.0
38.0,224.0,2.0,240.0,31.0,54.0,99.0,201.0
38.0,224.0,3.0,240.0,31.0,54.0,98.0,201.0
38.0,223.0,3.0,240.0,30.0,54.0,98.0,201.0
37.0,223.0,3.0,239.0,30.0,54.0,98.0,201.0
38.0,223.0,2.0,239.0,31.0,54.0,99.0,201.0
38.0,224.0,3.0,239.0,31.0,54.0,99.0,201.0
38.0,223.0,2.0,238.0,31.0,54.0,98.0,200.0
38.0,223.0,3.0,239.0,30.0,54.0,99.0,201.0
37.0,223.0,3.0,238.0,30.0,54.0,98.0,200.0
37.0,223.0,3.0,238.0,31.0,54.0,98.0,200.0
37.0,223.0,3.0,238.0,30.0,54.0,98.0,200.0
37.0,223.0,3.0,238.0,30.0,54.0,98.0,199.0
37.0,223.0,3.0,237.0,30.0,53.0,98.0,199.0
36.0,222.0,2.0,238.0,30.0,54.0,98.0,199.0
37.0,222.0,3.0,238.0,30.0,54.0,98.0,199.0
37.0,222.0,2.0,238.0,31.0,54.0,98.0,199.0
37.0,222.0,3.0,237.0,30.0,54.0,97.0,198.0
37.0,222.0,3.0,238.0,30.0,53.0,97.0,198.0
37.0,222.0,3.0,238.0,30.0,54.0,97.0,199.0
37.0,221.0,2.0,237.0,30.0,53.0,97.0,198.0
37.0,221.0,3.0,236.0,30.0,53.0,97.0,198.0
36.0,222.0,4.0,237.0,30.0,53.0,97.0,198.0
37.0,221.0,3.0,237.0,30.0,54.0,97.0,197.0
36.0,221.0,3.0,237.0,30.0,53.0,97.0,198.0
36.0,222.0,3.0,237.0,30.0,53.0,97.0,197.0
36.0,222.0,3.0,236.0,30.0,53.0,97.0,197.0
