sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
41.0, 242.00,3.0,252.0,40.0, 54.00, 111.00," 248.0000"
41.0, 242.00,3.0,252.0,40.0, 54.00, 111.00," 248.0000"
41.0, 242.00,3.0,252.0,40.0, 54.00, 111.00," 248.0000"
41.0, 242.00,3.0,252.0,40.0, 54.00, 111.00, 248.00
41.0, 241.00,3.0,251.0,39.0, 54.54.00, 110.00, 246.00
41.0, 241.00,3.0,251.0,39.0, 54.54.00, 110.00, 246.00
41.0, 241.00,3.0,251.0,39.0, 54.54.00, 110.00, 246.00
41.0, 241.00,3.0,251.0,39.0, 54.00, 110.00, 246.00
42.0, 240.00,3.0,252.0,39.0, 54.00, 110.00, 245.00
41.0, 240.00,3.0,251.0,39.0, 54.00, 110.00, 24 245.00
41.0, 240.00,3.0,251.0,39.0, 54.00, 110.00, 24 245.00
41.0, 240.00,3.0,251.0,39.0, 54.00, 110.00, 244.00
41.0, 239.00,3.0,251.0,39.0, 54.00, 109.00, 243.00
41.0, 239.00,3.0,252.0,39.0, 54.00, 109.00, 242.00
42.0, 239.00,3.0,251.0,39.0, 53.00, 109.00, 241.00
41.0, 238.00,2.0,251.0,39.0, 54.00, 109.00, 241.00
42.0, 237.00,3.0,253.0,38.0, 54.00, 108.00, 240.00
42.0, 238.00,3.0,252.0,38.0, 54.00, 108.00, 240.00
42.0, 236.00,3.0,253.0,38.0, 54.00, 108.00, 238.00
41.0, 236.06.00,3.0,253.0,38.0, 54.00, 108.00, 238.00
41.0, 236.06.00,3.0,253.0,38.0, 54.00, 108.00, 238.00
41.0, 236.00,3.0,253.0,38.0, 54.00, 108.00, 238.00
41.0, 236.00,3.0,253.0,38.0, 54.00, 108.00, 237.00
41.0, 236.00,3.0,253.0,38.0, 54.00, 108.00, 237.00
41.0, 236.00,3.0,252.0,38.0, 54.00, 108.00, 236.00
42.0, 235.00,3.0,252.0,37.0, 54.54.00, 108.00, 236.00
42.0, 235.00,3.0,252.0,37.0, 54.54.00, 108.00, 236.00
42.0, 235.00,3.0,252.0,37.0, 54.54.00, 108.00, 236.00
42.0, 235.00,3.0,252.0,37.0, 54.00, 108.00, 236.00
41.0, 235.00,3.0,252.0,37.0, 54.00, 107.00, 235.00
41.0, 235.00,3.0,252.0,38.0, 53.00, 108.00, 235.00
41.0, 235.00,2.0,252.0,37.0, 54.00, 10 108.00, 235.00
41.0, 235.00,2.0,252.0,37.0, 54.00, 107.00, 235.00
41.0, 233.00,3.0,251.0,37.0, 54.00, 107.00, 233.00
41.0, 234.00,3.0,251.0,37.0, 54.54.00, 107.00, 233.00
41.0, 234.00,3.0,251.0,37.0, 54.54.00, 107.00, 233.00
41.0, 234.00,3.0,251.0,37.0, 54.54.00, 107.00, 233.00
41.0, 234.00,3.0,251.0,37.0, 54.00, 107.00, 233.00
40.0, 233.00,3.0,252.0,37.0, 54.00, 106.00, 232.00
41.0, 233.00,3.0,251.0,37.0, 54.00, 106.00, 232.00
