sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
59.0,198.0,2.0,262.0,30.0,58.0,103.0,195.0
62.0,198.0,2.0,264.0,30.0,59.0,103.0,197.0
63.0,197.0,2.0,266.0,30.0,59.0,104.0,198.0
65.0,198.0,3.0,266.0,30.0,59.0,104.0,199.0
65.0,198.0,3.0,268.0,30.0,59.0,105.0,200.0
66.0,199.0,3.0,269.0,30.0,59.0,106.0,202.0
66.0,199.0,2.0,270.0,30.0,60.0,106.0,202.0
66.0,198.0,2.0,270.0,31.0,60.0,106.0,202.0
66.0,199.0,2.0,271.0,31.0,60.0,106.0,203.0
66.0,199.0,2.0,272.0,31.0,60.0,107.0,204.0
66.0,199.0,3.0,273.0,31.0,60.0,107.0,204.0
65.0,199.0,2.0,273.0,31.0,60.0,107.0,204.0
65.0,199.0,2.0,274.0,32.0,60.0,107.0,205.0
65.0,200.0,2.0,275.0,31.0,60.0,107.0,206.0
65.0,199.0,2.0,274.0,32.0,60.0,107.0,206.0
64.0,199.0,2.0,274.0,32.0,60.0,107.0,207.0
65.0,199.0,2.0,275.0,32.0,60.0,108.0,207.0
65.0,199.0,2.0,276.0,32.0,60.0,108.0,208.0
64.0,200.0,2.0,275.0,32.0,60.0,108.0,208.0
64.0,199.0,2.0,275.0,32.0,60.0,108.0,208.0
64.0,199.0,2.0,275.0,32.0,60.0,108.0,208.0
64.0,199.0,2.0,276.0,32.0,60.0,108.0,209.0
63.0,201.0,2.0,276.0,32.0,60.0,108.0,209.0
63.0,201.0,2.0,276.0,32.0,60.0,108.0,210.0
64.0,201.0,2.0,276.0,32.0,59.0,108.0,210.0
62.0,200.0,2.0,276.0,32.0,60.0,108.0,210.0
63.0,200.0,2.0,275.0,33.0,59.0,108.0,211.0
62.0,200.0,2.0,276.0,32.0,59.0,108.0,210.0
62.0,200.0,3.0,276.0,32.0,59.0,109.0,211.0
62.0,200.0,2.0,275.0,32.0,59.0,108.0,211.0
62.0,201.0,2.0,275.0,33.0,59.0,109.0,212.0
62.0,200.0,2.0,275.0,33.0,59.0,109.0,212.0
61.0,200.0,2.0,275.0,33.0,59.0,108.0,212.0
61.0,201.0,2.0,275.0,33.0,59.0,108.0,212.0
61.0,201.0,2.0,275.0,33.0,59.0,109.0,213.0
61.0,201.0,2.0,275.0,33.0,59.0,109.0,213.0
61.0,201.0,3.0,275.0,33.0,59.0,108.0,212.0
60.0,201.0,3.0,275.0,34.0,59.0,109.0,213.0
60.0,201.0,2.0,275.0,33.0,59.0,109.0,213.0
60.0,202.0,2.0,275.0,33.0,59.0,109.0,214.0
