sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
116.0,223.0,4.0,259.0,109.0,61.0,147.0,437.0
116.0,223.0,2.0,259.0,109.0,60.0,147.0,437.0
115.0,223.0,3.0,258.0,108.0,60.0,147.0,436.0
115.0,222.0,3.0,258.0,108.0,60.0,146.0,435.0
115.0,224.0,2.0,260.0,108.0,60.0,147.0,437.0
114.0,222.0,3.0,258.0,108.0,60.0,146.0,435.0
114.0,224.0,3.0,259.0,108.0,61.0,146.0,436.0
113.0,223.0,2.0,259.0,108.0,60.0,146.0,435.0
112.0,222.0,3.0,257.0,107.0,60.0,145.0,433.0
112.0,223.0,3.0,258.0,107.0,60.0,146.0,435.0
112.0,223.0,3.0,258.0,107.0,60.0,146.0,434.0
112.0,222.0,3.0,258.0,106.0,60.0,145.0,434.0
111.0,223.0,2.0,259.0,107.0,60.0,146.0,434.0
111.0,222.0,3.0,258.0,107.0,60.0,146.0,433.0
110.0,223.0,3.0,258.0,106.0,60.0,145.0,432.0
110.0,223.0,3.0,258.0,106.0,60.0,145.0,433.0
109.0,222.0,2.0,257.0,106.0,59.0,145.0,431.0
109.0,222.0,2.0,258.0,106.0,59.0,145.0,432.0
108.0,221.0,2.0,256.0,105.0,59.0,144.0,431.0
108.0,222.0,2.0,257.0,105.0,60.0,145.0,432.0
107.0,222.0,2.0,257.0,105.0,60.0,144.0,430.0
107.0,223.0,2.0,258.0,105.0,60.0,144.0,431.0
107.0,221.0,2.0,256.0,104.0,59.0,144.0,430.0
107.0,222.0,3.0,257.0,104.0,59.0,144.0,430.0
106.0,222.0,3.0,256.0,104.0,59.0,144.0,429.0
106.0,222.0,3.0,257.0,104.0,59.0,144.0,430.0
106.0,223.0,3.0,257.0,104.0,59.0,144.0,429.0
105.0,222.0,3.0,256.0,103.0,59.0,143.0,428.0
105.0,222.0,2.0,256.0,103.0,59.0,143.0,428.0
104.0,223.0,2.0,257.0,103.0,59.0,143.0,429.0
104.0,222.0,3.0,257.0,103.0,59.0,143.0,427.0
104.0,222.0,2.0,256.0,103.0,59.0,143.0,427.0
103.0,221.0,2.0,256.0,102.0,58.0,142.0,425.0
103.0,222.0,3.0,256.0,102.0,59.0,143.0,426.0
102.0,222.0,3.0,255.0,102.0,59.0,142.0,426.0
102.0,222.0,3.0,256.0,102.0,59.0,142.0,426.0
102.0,222.0,3.0,256.0,102.0,59.0,142.0,426.0
101.0,222.0,2.0,255.0,101.0,59.0,142.0,423.0
101.0,222.0,3.0,256.0,101.0,59.0,142.0,425.0
101.0,222.0,3.0,255.0,101.0,58.0,142.0,424.0
