Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739352992,162.0,102.0,23.0,790.0,229.0,15.0,21.0,126.0,24.4,43.0
1739352993,160.0,102.0,23.0,788.0,228.0,15.0,21.0,126.0,24.4,43.0
1739352994,159.0,102.0,23.0,791.0,227.0,15.0,21.0,125.0,24.4,43.0
1739352995,158.0,101.0,23.0,790.0,228.0,15.0,21.0,125.0,24.4,43.0
1739352996,157.0,101.0,23.0,788.0,227.0,15.0,21.0,124.0,24.4,43.0
1739352997,156.0,102.0,23.0,791.0,227.0,15.0,21.0,124.0,24.4,43.0
1739352998,155.0,101.0,23.0,791.0,227.0,15.0,21.0,123.0,24.4,43.0
1739352999,154.0,102.0,23.0,788.0,227.0,15.0,21.0,123.0,24.4,43.0
1739353000,153.0,101.0,24.0,788.0,225.0,15.0,21.0,123.0,24.4,43.0
1739353001,152.0,102.0,23.0,788.0,226.0,16.0,21.0,123.0,24.4,43.0
1739353002,151.0,101.0,23.0,792.0,225.0,15.0,21.0,122.0,24.4,43.0
1739353003,151.0,101.0,23.0,789.0,225.0,15.0,21.0,122.0,24.4,43.0
1739353004,149.0,102.0,23.0,788.0,225.0,15.0,21.0,121.0,24.4,43.0
1739353005,149.0,100.0,23.0,788.0,225.0,15.0,21.0,120.0,24.4,43.0
1739353006,148.0,100.0,23.0,789.0,224.0,15.0,21.0,120.0,24.4,43.0
1739353007,147.0,101.0,23.0,791.0,224.0,15.0,21.0,120.0,24.4,43.0
1739353008,147.0,100.0,22.0,788.0,224.0,15.0,21.0,120.0,24.4,43.0
1739353009,146.0,101.0,24.0,793.0,223.0,15.0,20.0,119.0,24.4,43.0
1739353010,145.0,101.0,23.0,790.0,222.0,15.0,20.0,118.0,24.4,43.0
1739353011,144.0,100.0,23.0,790.0,223.0,15.0,21.0,118.0,24.4,43.0
1739353012,143.0,100.0,23.0,789.0,221.0,15.0,21.0,118.0,24.4,43.0
1739353013,143.0,100.0,23.0,788.0,221.0,15.0,21.0,118.0,24.4,43.0
1739353014,142.0,100.0,23.0,789.0,220.0,15.0,21.0,116.0,24.4,43.0
1739353015,141.0,99.0,22.0,791.0,220.0,15.0,21.0,116.0,24.4,43.0
1739353016,140.0,100.0,22.0,792.0,220.0,15.0,21.0,116.0,24.4,43.0
1739353017,141.0,100.0,23.0,790.0,220.0,15.0,20.0,116.0,24.4,43.0
1739353018,139.0,99.0,22.0,794.0,219.0,15.0,21.0,115.0,24.4,43.0
1739353019,140.0,98.0,22.0,794.0,219.0,16.0,20.0,115.0,24.4,43.0
1739353020,139.0,99.0,23.0,792.0,218.0,15.0,21.0,114.0,24.4,43.0
1739353021,139.0,99.0,22.0,790.0,218.0,15.0,21.0,114.0,24.4,43.0
1739353022,138.0,99.0,22.0,793.0,218.0,16.0,21.0,114.0,24.4,43.0
1739353023,138.0,99.0,22.0,793.0,218.0,16.0,21.0,113.0,24.4,43.0
1739353024,137.0,99.0,23.0,789.0,217.0,15.0,20.0,113.0,24.4,43.0
1739353025,136.0,99.0,23.0,791.0,217.0,15.0,21.0,113.0,24.4,43.0
1739353026,136.0,98.0,23.0,792.0,218.0,16.0,21.0,112.0,24.4,43.0
1739353027,136.0,98.0,23.0,790.0,217.0,15.0,20.0,112.0,24.4,43.0
1739353028,135.0,99.0,23.0,791.0,216.0,15.0,20.0,112.0,24.4,43.0
1739353029,135.0,99.0,23.0,795.0,217.0,15.0,20.0,111.0,24.4,43.0
1739353030,134.0,99.0,23.0,791.0,215.0,15.0,21.0,111.0,24.4,43.0
1739353031,134.0,98.0,23.0,791.0,216.0,15.0,20.0,111.0,24.4,43.0
