Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739353103,163.0,103.0,23.0,791.0,228.0,16.0,21.0,124.0,25.3,42.6
1739353104,160.0,103.0,23.0,796.0,228.0,15.0,21.0,123.0,25.3,42.6
1739353105,159.0,102.0,23.0,794.0,228.0,15.0,21.0,123.0,25.3,42.6
1739353106,158.0,103.0,24.0,792.0,228.0,15.0,21.0,122.0,25.3,42.6
1739353107,157.0,103.0,24.0,792.0,227.0,15.0,21.0,122.0,25.3,42.6
1739353108,156.0,103.0,23.0,794.0,227.0,15.0,22.0,121.0,25.3,42.6
1739353109,155.0,102.0,23.0,794.0,228.0,15.0,20.0,121.0,25.3,42.6
1739353110,153.0,102.0,23.0,796.0,227.0,16.0,21.0,120.0,25.3,42.6
1739353111,153.0,103.0,23.0,794.0,226.0,15.0,21.0,120.0,25.3,42.6
1739353112,152.0,102.0,23.0,792.0,226.0,16.0,21.0,119.0,25.3,42.6
1739353113,151.0,102.0,23.0,796.0,226.0,15.0,20.0,119.0,25.3,42.6
1739353114,150.0,101.0,23.0,793.0,225.0,15.0,21.0,118.0,25.3,42.6
1739353115,149.0,101.0,23.0,792.0,225.0,15.0,20.0,118.0,25.3,42.6
1739353116,147.0,101.0,23.0,794.0,225.0,15.0,21.0,117.0,25.3,42.6
1739353117,147.0,101.0,24.0,796.0,224.0,16.0,21.0,117.0,25.3,42.6
1739353118,146.0,101.0,23.0,794.0,224.0,15.0,20.0,117.0,25.3,42.6
1739353119,145.0,101.0,23.0,794.0,224.0,16.0,21.0,116.0,25.3,42.6
1739353120,145.0,101.0,24.0,794.0,222.0,16.0,21.0,116.0,25.3,42.6
1739353121,144.0,100.0,24.0,792.0,222.0,16.0,20.0,115.0,25.3,42.6
1739353122,144.0,101.0,23.0,795.0,221.0,15.0,20.0,115.0,25.3,42.6
1739353123,143.0,100.0,23.0,793.0,222.0,16.0,21.0,115.0,25.3,42.6
1739353124,142.0,100.0,24.0,792.0,220.0,15.0,20.0,115.0,25.3,42.6
1739353125,142.0,100.0,22.0,793.0,221.0,16.0,21.0,114.0,25.3,42.6
1739353126,141.0,99.0,23.0,791.0,221.0,15.0,20.0,114.0,25.3,42.6
1739353127,140.0,101.0,23.0,793.0,220.0,15.0,20.0,113.0,25.3,42.6
1739353128,140.0,100.0,23.0,794.0,219.0,15.0,21.0,113.0,25.3,42.6
1739353129,139.0,99.0,23.0,794.0,220.0,15.0,20.0,112.0,25.3,42.6
1739353130,139.0,99.0,23.0,791.0,219.0,16.0,20.0,112.0,25.3,42.6
1739353131,139.0,99.0,22.0,794.0,218.0,15.0,20.0,111.0,25.3,42.6
1739353132,138.0,99.0,22.0,792.0,218.0,16.0,20.0,111.0,25.3,42.6
1739353133,137.0,99.0,22.0,791.0,219.0,15.0,20.0,111.0,25.3,42.6
1739353134,137.0,98.0,23.0,792.0,217.0,15.0,20.0,111.0,25.3,42.6
1739353135,137.0,99.0,22.0,790.0,217.0,15.0,20.0,110.0,25.3,42.6
1739353136,136.0,99.0,23.0,792.0,216.0,15.0,21.0,110.0,25.3,42.6
1739353137,136.0,99.0,23.0,791.0,216.0,15.0,20.0,110.0,25.3,42.6
1739353138,136.0,98.0,22.0,791.0,216.0,16.0,20.0,110.0,25.3,42.6
1739353139,136.0,98.0,22.0,795.0,215.0,15.0,20.0,109.0,25.3,42.6
1739353140,134.0,98.0,22.0,792.0,215.0,15.0,20.0,109.0,25.3,42.6
1739353141,134.0,98.0,23.0,790.0,214.0,14.0,20.0,108.0,25.3,42.6
1739353143,134.0,97.0,22.0,790.0,214.0,15.0,20.0,108.0,25.3,42.6
