Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739353197,166.0,101.0,24.0,792.0,225.0,15.0,21.0,126.0,25.7,42.4
1739353198,164.0,101.0,24.0,791.0,226.0,15.0,21.0,125.0,25.7,42.4
1739353199,163.0,101.0,23.0,791.0,225.0,15.0,21.0,125.0,25.7,42.4
1739353200,162.0,101.0,23.0,790.0,224.0,15.0,20.0,124.0,25.7,42.4
1739353201,161.0,101.0,23.0,793.0,224.0,15.0,21.0,124.0,25.7,42.4
1739353202,160.0,101.0,23.0,793.0,224.0,15.0,21.0,124.0,25.7,42.4
1739353203,159.0,101.0,23.0,789.0,224.0,15.0,21.0,123.0,25.7,42.4
1739353204,158.0,100.0,23.0,793.0,223.0,15.0,21.0,123.0,25.7,42.4
1739353205,157.0,100.0,23.0,792.0,223.0,16.0,21.0,122.0,25.7,42.4
1739353206,156.0,100.0,23.0,792.0,223.0,15.0,21.0,122.0,25.7,42.4
1739353207,155.0,100.0,23.0,794.0,222.0,15.0,21.0,121.0,25.7,42.4
1739353208,155.0,100.0,23.0,792.0,223.0,15.0,21.0,121.0,25.7,42.4
1739353209,154.0,100.0,23.0,792.0,222.0,15.0,21.0,121.0,25.7,42.4
1739353211,153.0,100.0,23.0,795.0,222.0,15.0,21.0,120.0,25.7,42.4
1739353212,152.0,100.0,24.0,792.0,220.0,15.0,21.0,119.0,25.7,42.4
1739353213,151.0,100.0,22.0,793.0,220.0,15.0,21.0,119.0,25.7,42.4
1739353214,150.0,100.0,23.0,790.0,220.0,16.0,20.0,119.0,25.7,42.4
1739353215,149.0,100.0,23.0,789.0,220.0,16.0,20.0,119.0,25.7,42.4
1739353216,149.0,100.0,23.0,790.0,219.0,16.0,20.0,118.0,25.7,42.4
1739353217,147.0,100.0,23.0,789.0,219.0,16.0,21.0,117.0,25.7,42.4
1739353218,148.0,100.0,22.0,790.0,219.0,15.0,20.0,117.0,25.7,42.4
1739353219,147.0,100.0,23.0,794.0,219.0,15.0,20.0,117.0,25.7,42.4
1739353220,145.0,99.0,22.0,791.0,218.0,15.0,21.0,116.0,25.7,42.4
1739353221,146.0,98.0,22.0,791.0,218.0,16.0,21.0,116.0,25.7,42.4
1739353222,144.0,99.0,23.0,794.0,217.0,15.0,21.0,115.0,25.7,42.4
1739353223,144.0,98.0,22.0,790.0,217.0,16.0,20.0,115.0,25.7,42.4
1739353224,143.0,98.0,23.0,789.0,216.0,15.0,21.0,115.0,25.7,42.4
1739353225,144.0,98.0,22.0,790.0,217.0,15.0,20.0,114.0,25.7,42.4
1739353226,142.0,99.0,23.0,789.0,216.0,16.0,20.0,115.0,25.7,42.4
1739353227,142.0,99.0,23.0,793.0,216.0,15.0,20.0,114.0,25.7,42.4
1739353228,142.0,98.0,22.0,794.0,216.0,15.0,20.0,114.0,25.7,42.4
1739353229,142.0,98.0,22.0,792.0,215.0,15.0,20.0,113.0,25.7,42.4
1739353230,140.0,99.0,23.0,791.0,215.0,15.0,20.0,113.0,25.7,42.4
1739353231,141.0,98.0,23.0,794.0,214.0,15.0,21.0,112.0,25.7,42.4
1739353232,139.0,98.0,22.0,794.0,215.0,15.0,20.0,112.0,25.7,42.4
1739353233,139.0,98.0,22.0,792.0,214.0,15.0,20.0,112.0,25.7,42.4
1739353234,139.0,97.0,23.0,795.0,214.0,15.0,20.0,111.0,25.7,42.4
1739353235,138.0,98.0,23.0,794.0,214.0,15.0,20.0,111.0,25.7,42.4
1739353236,138.0,97.0,22.0,792.0,212.0,16.0,20.0,111.0,25.7,42.4
1739353237,138.0,98.0,22.0,796.0,213.0,15.0,20.0,111.0,25.7,42.4
