Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739353300,167.0,101.0,23.0,792.0,227.0,15.0,20.0,130.0,25.5,42.4
1739353301,165.0,102.0,23.0,796.0,226.0,15.0,21.0,129.0,25.5,42.4
1739353302,164.0,101.0,22.0,795.0,225.0,15.0,21.0,128.0,25.5,42.4
1739353303,162.0,101.0,23.0,794.0,225.0,15.0,21.0,128.0,25.5,42.4
1739353304,162.0,101.0,23.0,793.0,226.0,15.0,21.0,127.0,25.5,42.4
1739353305,160.0,100.0,23.0,791.0,225.0,16.0,21.0,126.0,25.5,42.4
1739353306,160.0,101.0,22.0,794.0,224.0,16.0,21.0,126.0,25.5,42.4
1739353307,158.0,101.0,22.0,792.0,224.0,15.0,20.0,125.0,25.5,42.4
1739353308,156.0,99.0,23.0,790.0,223.0,15.0,21.0,125.0,25.5,42.4
1739353309,155.0,100.0,23.0,795.0,223.0,15.0,21.0,124.0,25.5,42.4
1739353310,153.0,100.0,23.0,792.0,222.0,15.0,21.0,124.0,25.5,42.4
1739353311,154.0,100.0,24.0,790.0,221.0,15.0,20.0,123.0,25.5,42.4
1739353312,153.0,99.0,22.0,792.0,222.0,16.0,20.0,124.0,25.5,42.4
1739353313,152.0,100.0,22.0,791.0,221.0,16.0,21.0,123.0,25.5,42.4
1739353314,151.0,100.0,22.0,796.0,221.0,16.0,21.0,122.0,25.5,42.4
1739353315,150.0,100.0,23.0,790.0,221.0,16.0,22.0,122.0,25.5,42.4
1739353316,150.0,99.0,22.0,794.0,221.0,16.0,20.0,122.0,25.5,42.4
1739353317,149.0,99.0,23.0,796.0,220.0,15.0,21.0,121.0,25.5,42.4
1739353318,149.0,99.0,23.0,794.0,220.0,16.0,20.0,120.0,25.5,42.4
1739353319,148.0,99.0,22.0,795.0,220.0,16.0,20.0,120.0,25.5,42.4
1739353320,146.0,99.0,23.0,794.0,220.0,15.0,21.0,120.0,25.5,42.4
1739353321,146.0,98.0,22.0,792.0,219.0,15.0,21.0,120.0,25.5,42.4
1739353322,146.0,99.0,22.0,791.0,218.0,16.0,21.0,119.0,25.5,42.4
1739353323,144.0,98.0,23.0,790.0,217.0,16.0,20.0,118.0,25.5,42.4
1739353324,144.0,98.0,22.0,794.0,218.0,15.0,20.0,118.0,25.5,42.4
1739353325,143.0,97.0,23.0,792.0,217.0,15.0,20.0,118.0,25.5,42.4
1739353326,142.0,98.0,23.0,790.0,216.0,15.0,20.0,117.0,25.5,42.4
1739353327,142.0,97.0,22.0,793.0,216.0,15.0,20.0,117.0,25.5,42.4
1739353328,141.0,98.0,23.0,790.0,215.0,16.0,20.0,116.0,25.5,42.4
1739353329,142.0,97.0,22.0,792.0,216.0,15.0,20.0,116.0,25.5,42.4
1739353330,142.0,97.0,22.0,793.0,215.0,15.0,20.0,116.0,25.5,42.4
1739353331,140.0,98.0,23.0,796.0,214.0,15.0,20.0,116.0,25.5,42.4
1739353332,140.0,97.0,22.0,794.0,215.0,15.0,20.0,116.0,25.5,42.4
1739353333,140.0,96.0,23.0,793.0,215.0,16.0,20.0,115.0,25.5,42.4
1739353334,140.0,97.0,22.0,795.0,214.0,15.0,20.0,114.0,25.5,42.4
1739353335,140.0,97.0,22.0,792.0,214.0,15.0,20.0,114.0,25.5,42.4
1739353336,139.0,97.0,23.0,793.0,214.0,16.0,20.0,114.0,25.5,42.4
1739353337,138.0,96.0,22.0,795.0,214.0,16.0,20.0,113.0,25.5,42.4
1739353338,138.0,97.0,23.0,793.0,212.0,15.0,20.0,112.0,25.5,42.4
1739353339,137.0,97.0,23.0,795.0,212.0,15.0,20.0,113.0,25.5,42.4
