Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739353644,167.0,102.0,23.0,810.0,234.0,16.0,22.0,136.0,24.9,43.2
1739353645,173.0,106.0,25.0,829.0,240.0,17.0,23.0,139.0,24.9,43.2
1739353646,174.0,105.0,25.0,829.0,240.0,17.0,23.0,139.0,24.9,43.2
1739353647,175.0,106.0,25.0,834.0,240.0,16.0,23.0,138.0,24.9,43.2
1739353648,174.0,106.0,25.0,830.0,240.0,18.0,23.0,138.0,24.9,43.2
1739353650,175.0,107.0,25.0,829.0,241.0,17.0,22.0,139.0,24.9,43.2
1739353651,176.0,106.0,25.0,829.0,242.0,17.0,22.0,139.0,24.9,43.2
1739353652,177.0,106.0,25.0,830.0,240.0,16.0,22.0,140.0,24.9,43.2
1739353653,176.0,106.0,26.0,828.0,241.0,17.0,23.0,140.0,24.9,43.2
1739353654,177.0,107.0,25.0,828.0,241.0,16.0,23.0,140.0,24.9,43.2
1739353655,177.0,106.0,25.0,829.0,241.0,17.0,22.0,140.0,24.9,43.2
1739353656,177.0,106.0,26.0,830.0,241.0,17.0,23.0,141.0,24.9,43.2
1739353657,178.0,106.0,25.0,830.0,241.0,16.0,23.0,141.0,24.9,43.2
1739353658,178.0,106.0,25.0,833.0,241.0,16.0,23.0,141.0,24.9,43.2
1739353659,179.0,106.0,25.0,830.0,241.0,17.0,23.0,141.0,24.9,43.2
1739353660,179.0,106.0,24.0,832.0,241.0,16.0,22.0,142.0,24.9,43.2
1739353661,178.0,107.0,25.0,833.0,241.0,17.0,23.0,141.0,24.9,43.2
1739353662,178.0,106.0,26.0,830.0,241.0,16.0,23.0,141.0,24.9,43.2
1739353663,178.0,106.0,26.0,828.0,241.0,17.0,23.0,142.0,24.9,43.2
1739353664,178.0,107.0,25.0,832.0,241.0,17.0,22.0,141.0,24.9,43.2
1739353665,179.0,107.0,25.0,828.0,242.0,17.0,23.0,142.0,24.9,43.2
1739353666,179.0,106.0,26.0,831.0,241.0,17.0,23.0,142.0,24.9,43.2
1739353667,180.0,106.0,24.0,832.0,242.0,17.0,23.0,141.0,24.9,43.2
1739353668,180.0,106.0,25.0,831.0,242.0,17.0,23.0,142.0,24.9,43.2
1739353669,180.0,106.0,26.0,832.0,241.0,17.0,22.0,142.0,24.9,43.2
1739353670,180.0,106.0,25.0,829.0,242.0,17.0,23.0,142.0,24.9,43.2
1739353671,179.0,106.0,26.0,826.0,240.0,17.0,23.0,142.0,24.9,43.2
1739353672,179.0,105.0,26.0,829.0,241.0,17.0,23.0,142.0,24.9,43.2
1739353673,180.0,107.0,24.0,829.0,241.0,16.0,23.0,142.0,24.9,43.2
1739353674,179.0,106.0,26.0,826.0,241.0,17.0,22.0,142.0,24.9,43.2
1739353675,179.0,105.0,26.0,827.0,241.0,17.0,23.0,142.0,24.9,43.2
1739353676,179.0,107.0,25.0,827.0,241.0,17.0,23.0,142.0,24.9,43.2
1739353677,181.0,106.0,25.0,830.0,242.0,17.0,23.0,142.0,24.9,43.2
1739353678,179.0,107.0,25.0,827.0,241.0,17.0,23.0,142.0,24.9,43.2
1739353679,180.0,107.0,25.0,831.0,242.0,17.0,23.0,142.0,24.9,43.2
1739353680,180.0,107.0,25.0,828.0,241.0,17.0,23.0,143.0,24.9,43.2
1739353681,180.0,107.0,25.0,824.0,242.0,17.0,23.0,143.0,24.9,43.2
1739353682,182.0,106.0,25.0,830.0,242.0,16.0,23.0,143.0,24.9,43.2
1739353683,181.0,106.0,25.0,832.0,242.0,17.0,23.0,142.0,24.9,43.2
1739353684,181.0,106.0,26.0,833.0,242.0,17.0,23.0,142.0,24.9,43.2
