Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739356423,160.0,98.0,23.0,805.0,236.0,15.0,20.0,119.0,25.0,41.9
1739356424,167.0,102.0,24.0,834.0,243.0,17.0,22.0,122.0,25.0,41.9
1739356425,167.0,102.0,24.0,832.0,243.0,17.0,22.0,121.0,25.0,41.9
1739356426,167.0,102.0,25.0,830.0,243.0,17.0,22.0,121.0,25.0,41.9
1739356427,167.0,102.0,25.0,833.0,243.0,17.0,22.0,121.0,25.0,41.9
1739356428,167.0,102.0,26.0,829.0,242.0,17.0,22.0,121.0,25.0,41.9
1739356429,167.0,102.0,25.0,831.0,243.0,17.0,22.0,121.0,25.0,41.9
1739356430,168.0,102.0,24.0,829.0,243.0,16.0,22.0,121.0,25.0,41.9
1739356431,168.0,102.0,26.0,830.0,243.0,16.0,22.0,122.0,25.0,41.9
1739356432,168.0,102.0,24.0,830.0,243.0,17.0,22.0,122.0,25.0,41.9
1739356433,168.0,102.0,26.0,830.0,243.0,16.0,22.0,122.0,25.0,41.9
1739356434,169.0,102.0,25.0,832.0,243.0,17.0,22.0,122.0,25.0,41.9
1739356435,169.0,102.0,24.0,834.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356436,169.0,102.0,25.0,828.0,243.0,16.0,22.0,123.0,25.0,41.9
1739356437,169.0,102.0,25.0,833.0,244.0,16.0,22.0,123.0,25.0,41.9
1739356438,169.0,102.0,25.0,833.0,243.0,17.0,22.0,123.0,25.0,41.9
1739356439,170.0,102.0,25.0,831.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356440,169.0,103.0,26.0,829.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356441,169.0,102.0,26.0,828.0,243.0,17.0,22.0,124.0,25.0,41.9
1739356442,170.0,102.0,25.0,829.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356443,170.0,102.0,24.0,831.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356444,169.0,103.0,25.0,831.0,244.0,17.0,22.0,124.0,25.0,41.9
1739356445,171.0,103.0,25.0,830.0,245.0,17.0,22.0,124.0,25.0,41.9
1739356446,170.0,102.0,25.0,829.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356447,169.0,103.0,26.0,833.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356448,170.0,102.0,24.0,829.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356449,171.0,103.0,25.0,831.0,244.0,16.0,22.0,124.0,25.0,41.9
1739356450,169.0,104.0,25.0,827.0,243.0,17.0,22.0,123.0,25.0,41.9
1739356451,170.0,102.0,25.0,836.0,244.0,16.0,22.0,124.0,25.0,41.9
1739356452,170.0,102.0,26.0,835.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356453,171.0,103.0,25.0,832.0,245.0,17.0,22.0,124.0,25.0,41.9
1739356454,170.0,103.0,25.0,833.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356455,169.0,103.0,25.0,829.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356457,169.0,103.0,25.0,829.0,243.0,17.0,22.0,123.0,25.0,41.9
1739356458,170.0,102.0,25.0,832.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356459,169.0,103.0,25.0,828.0,244.0,17.0,22.0,123.0,25.0,41.9
1739356460,170.0,103.0,26.0,834.0,245.0,17.0,22.0,123.0,25.0,41.9
1739356461,171.0,102.0,25.0,831.0,245.0,17.0,22.0,124.0,25.0,41.9
1739356462,170.0,103.0,25.0,835.0,245.0,17.0,22.0,123.0,25.0,41.9
1739356463,170.0,102.0,26.0,831.0,244.0,17.0,22.0,123.0,25.0,41.9
