Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739356854,153.0,96.0,23.0,804.0,234.0,15.0,20.0,115.0,25.1,41.3
1739356855,160.0,99.0,25.0,829.0,240.0,17.0,22.0,117.0,25.1,41.3
1739356856,160.0,100.0,25.0,828.0,241.0,17.0,22.0,117.0,25.1,41.3
1739356857,160.0,99.0,25.0,828.0,240.0,17.0,22.0,117.0,25.1,41.3
1739356858,161.0,100.0,25.0,829.0,241.0,16.0,22.0,116.0,25.1,41.3
1739356859,162.0,100.0,24.0,833.0,241.0,16.0,21.0,117.0,25.1,41.3
1739356860,161.0,100.0,25.0,827.0,240.0,17.0,21.0,117.0,25.1,41.3
1739356861,163.0,100.0,24.0,828.0,241.0,17.0,22.0,118.0,25.1,41.3
1739356862,162.0,101.0,25.0,828.0,242.0,17.0,22.0,117.0,25.1,41.3
1739356863,163.0,100.0,25.0,828.0,241.0,17.0,22.0,119.0,25.1,41.3
1739356864,163.0,101.0,24.0,832.0,242.0,17.0,22.0,118.0,25.1,41.3
1739356865,164.0,100.0,24.0,832.0,242.0,17.0,21.0,119.0,25.1,41.3
1739356866,163.0,101.0,25.0,830.0,242.0,17.0,22.0,119.0,25.1,41.3
1739356867,164.0,100.0,25.0,827.0,241.0,18.0,22.0,119.0,25.1,41.3
1739356868,164.0,100.0,25.0,829.0,242.0,16.0,22.0,119.0,25.1,41.3
1739356869,164.0,100.0,25.0,833.0,242.0,16.0,22.0,119.0,25.1,41.3
1739356870,164.0,101.0,25.0,831.0,243.0,17.0,22.0,119.0,25.1,41.3
1739356871,165.0,100.0,26.0,828.0,242.0,18.0,22.0,120.0,25.1,41.3
1739356872,166.0,100.0,25.0,829.0,243.0,16.0,22.0,120.0,25.1,41.3
1739356873,165.0,100.0,25.0,829.0,242.0,17.0,22.0,119.0,25.1,41.3
1739356874,165.0,100.0,25.0,830.0,242.0,18.0,22.0,120.0,25.1,41.3
1739356875,165.0,100.0,25.0,832.0,242.0,16.0,22.0,120.0,25.1,41.3
1739356876,165.0,100.0,24.0,831.0,242.0,16.0,22.0,120.0,25.1,41.3
1739356877,166.0,101.0,25.0,827.0,243.0,16.0,22.0,119.0,25.1,41.3
1739356878,165.0,101.0,25.0,831.0,242.0,17.0,22.0,119.0,25.1,41.3
1739356879,165.0,99.0,26.0,829.0,242.0,15.0,22.0,119.0,25.1,41.3
1739356880,166.0,100.0,25.0,830.0,242.0,16.0,22.0,120.0,25.1,41.3
1739356881,165.0,100.0,26.0,830.0,242.0,17.0,22.0,120.0,25.1,41.3
1739356882,166.0,100.0,24.0,834.0,243.0,16.0,22.0,120.0,25.1,41.3
1739356883,165.0,100.0,25.0,830.0,242.0,17.0,22.0,119.0,25.1,41.3
1739356884,166.0,100.0,24.0,829.0,243.0,17.0,22.0,120.0,25.1,41.3
1739356885,165.0,101.0,25.0,828.0,242.0,17.0,22.0,119.0,25.1,41.3
1739356886,166.0,99.0,24.0,832.0,242.0,16.0,22.0,120.0,25.1,41.3
1739356887,165.0,99.0,24.0,828.0,242.0,16.0,22.0,120.0,25.1,41.3
1739356888,166.0,100.0,25.0,829.0,242.0,16.0,22.0,120.0,25.1,41.3
1739356889,166.0,99.0,26.0,828.0,242.0,17.0,22.0,120.0,25.1,41.3
1739356890,165.0,100.0,25.0,828.0,243.0,17.0,22.0,120.0,25.1,41.3
1739356891,166.0,100.0,25.0,833.0,242.0,16.0,22.0,119.0,25.1,41.3
1739356892,166.0,100.0,24.0,833.0,242.0,17.0,22.0,120.0,25.1,41.3
1739356893,165.0,100.0,25.0,829.0,242.0,17.0,22.0,119.0,25.1,41.3
