Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739357996,149.0,93.0,22.0,808.0,232.0,15.0,20.0,109.0,24.7,41.6
1739357997,155.0,97.0,24.0,834.0,240.0,16.0,21.0,113.0,24.7,41.6
1739357998,156.0,97.0,25.0,835.0,240.0,16.0,22.0,112.0,24.7,41.6
1739357999,156.0,97.0,25.0,832.0,239.0,17.0,22.0,112.0,24.7,41.6
1739358000,156.0,96.0,26.0,833.0,239.0,17.0,22.0,112.0,24.7,41.6
1739358001,156.0,97.0,25.0,836.0,240.0,16.0,21.0,112.0,24.7,41.6
1739358002,155.0,97.0,25.0,833.0,240.0,17.0,21.0,112.0,24.7,41.6
1739358003,158.0,97.0,24.0,834.0,240.0,16.0,22.0,112.0,24.7,41.6
1739358004,157.0,96.0,24.0,836.0,240.0,17.0,21.0,113.0,24.7,41.6
1739358005,156.0,97.0,25.0,836.0,240.0,16.0,22.0,113.0,24.7,41.6
1739358006,157.0,97.0,25.0,832.0,240.0,17.0,21.0,113.0,24.7,41.6
1739358007,156.0,96.0,25.0,833.0,239.0,17.0,21.0,113.0,24.7,41.6
1739358008,158.0,97.0,24.0,834.0,240.0,17.0,21.0,114.0,24.7,41.6
1739358009,158.0,96.0,25.0,834.0,240.0,18.0,21.0,114.0,24.7,41.6
1739358010,159.0,97.0,25.0,832.0,240.0,17.0,21.0,114.0,24.7,41.6
1739358011,158.0,98.0,25.0,834.0,241.0,16.0,21.0,114.0,24.7,41.6
1739358012,159.0,98.0,25.0,837.0,241.0,17.0,22.0,113.0,24.7,41.6
1739358013,160.0,97.0,25.0,836.0,240.0,17.0,22.0,114.0,24.7,41.6
1739358014,159.0,98.0,25.0,833.0,241.0,17.0,21.0,114.0,24.7,41.6
1739358015,160.0,98.0,24.0,833.0,240.0,17.0,22.0,115.0,24.7,41.6
1739358016,160.0,97.0,24.0,833.0,241.0,16.0,21.0,114.0,24.7,41.6
1739358017,160.0,97.0,25.0,837.0,240.0,17.0,22.0,114.0,24.7,41.6
1739358018,160.0,97.0,25.0,835.0,241.0,17.0,22.0,114.0,24.7,41.6
1739358019,161.0,98.0,25.0,833.0,241.0,17.0,22.0,115.0,24.7,41.6
1739358020,160.0,97.0,26.0,833.0,241.0,16.0,22.0,114.0,24.7,41.6
1739358021,161.0,97.0,25.0,836.0,241.0,16.0,22.0,114.0,24.7,41.6
1739358022,160.0,99.0,25.0,832.0,241.0,17.0,22.0,114.0,24.7,41.6
1739358023,161.0,97.0,25.0,833.0,241.0,17.0,22.0,115.0,24.7,41.6
1739358024,160.0,98.0,25.0,836.0,241.0,18.0,21.0,115.0,24.7,41.6
1739358025,160.0,97.0,25.0,834.0,241.0,17.0,21.0,114.0,24.7,41.6
1739358026,160.0,96.0,26.0,835.0,241.0,17.0,22.0,115.0,24.7,41.6
1739358027,161.0,98.0,24.0,835.0,241.0,17.0,22.0,115.0,24.7,41.6
1739358028,160.0,97.0,26.0,837.0,241.0,16.0,22.0,115.0,24.7,41.6
1739358029,160.0,97.0,25.0,833.0,241.0,16.0,21.0,115.0,24.7,41.6
1739358030,161.0,98.0,24.0,834.0,241.0,16.0,21.0,115.0,24.7,41.6
1739358031,161.0,97.0,25.0,832.0,242.0,17.0,22.0,115.0,24.7,41.6
1739358032,160.0,98.0,25.0,831.0,241.0,17.0,22.0,114.0,24.7,41.6
1739358033,161.0,97.0,26.0,833.0,241.0,18.0,22.0,114.0,24.7,41.6
1739358034,161.0,98.0,25.0,834.0,241.0,16.0,21.0,114.0,24.7,41.6
1739358035,161.0,97.0,26.0,835.0,242.0,17.0,22.0,114.0,24.7,41.6
