Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739352992,162.00, 102.00, 23.00, 790.00, 229.00, 15.00, 21.00, 126.00, 24.40, 43.00
1739352993,160.00, 102.00, 23.00, 788.00, 228.00, 15.00, 21.00, 126.00, 24.40, 43.00
1739352994,159.00, 102.00, 23.00, 791.00, 227.00, 15.00, 21.00, 125.00, 24.40, 43.00
1739352995,158.00, 101.00, 23.00, 790.00, 228.00, 15.00, 21.00, 125.00, 24.40, 43.00
1739352996,157.00, 101.00, 23.00, 788.00, 227.00, 15.00, 21.00, 124.00, 24.40, 43.00
1739352997,156.00, 102.00, 23.00, 791.00, 227.00, 15.00, 21.00, 124.00, 24.40, 43.00
1739352998,155.00, 101.00, 23.00, 791.00, 227.00, 15.00, 21.00, 123.00, 24.40, 43.00
1739352999,154.00, 102.00, 23.00, 788.00, 227.00, 15.00, 21.00, 123.00, 24.40, 43.00
1739353000,153.00, 101.00, 24.00, 788.00, 225.00, 15.00, 21.00, 123.00, 24.40, 43.00
1739353001,152.00, 102.00, 23.00, 788.00, 226.00, 16.00, 21.00, 123.00, 24.40, 43.00
1739353002,151.00, 101.00, 23.00, 792.00, 225.00, 15.00, 21.00, 122.00, 24.40, 43.00
1739353003,151.00, 101.00, 23.00, 789.00, 225.00, 15.00, 21.00, 122.00, 24.40, 43.00
1739353004,149.00, 102.00, 23.00, 788.00, 225.00, 15.00, 21.00, 121.00, 24.40, 43.00
1739353005,149.00, 100.00, 23.00, 788.00, 225.00, 15.00, 21.00, 120.00, 24.40, 43.00
1739353006,148.00, 100.00, 23.00, 789.00, 224.00, 15.00, 21.00, 120.00, 24.40, 43.00
1739353007,147.00, 101.00, 23.00, 791.00, 224.00, 15.00, 21.00, 120.00, 24.40, 43.00
1739353008,147.00, 100.00, 22.00, 788.00, 224.00, 15.00, 21.00, 120.00, 24.40, 43.00
1739353009,146.00, 101.00, 24.00, 793.00, 223.00, 15.00, 20.00, 119.00, 24.40, 43.00
1739353010,145.00, 101.00, 23.00, 790.00, 222.00, 15.00, 20.00, 118.00, 24.40, 43.00
1739353011,144.00, 100.00, 23.00, 790.00, 223.00, 15.00, 21.00, 118.00, 24.40, 43.00
1739353012,143.00, 100.00, 23.00, 789.00, 221.00, 15.00, 21.00, 118.00, 24.40, 43.00
1739353013,143.00, 100.00, 23.00, 788.00, 221.00, 15.00, 21.00, 118.00, 24.40, 43.00
1739353014,142.00, 100.00, 23.00, 789.00, 220.00, 15.00, 21.00, 116.00, 24.40, 43.00
1739353015,141.00, 99.00, 22.00, 791.00, 220.00, 15.00, 21.00, 116.00, 24.40, 43.00
1739353016,140.00, 100.00, 22.00, 792.00, 220.00, 15.00, 21.00, 116.00, 24.40, 43.00
1739353017,141.00, 100.00, 23.00, 790.00, 220.00, 15.00, 20.00, 116.00, 24.40, 43.00
1739353018,139.00, 99.00, 22.00, 794.00, 219.00, 15.00, 21.00, 115.00, 24.40, 43.00
1739353019,140.00, 98.00, 22.00, 794.00, 219.00, 16.00, 20.00, 115.00, 24.40, 43.00
1739353020,139.00, 99.00, 23.00, 792.00, 218.00, 15.00, 21.00, 114.00, 24.40, 43.00
1739353021,139.00, 99.00, 22.00, 790.00, 218.00, 15.00, 21.00, 114.00, 24.40, 43.00
1739353022,138.00, 99.00, 22.00, 793.00, 218.00, 16.00, 21.00, 114.00, 24.40, 43.00
1739353023,138.00, 99.00, 22.00, 793.00, 218.00, 16.00, 21.00, 113.00, 24.40, 43.00
1739353024,137.00, 99.00, 23.00, 789.00, 217.00, 15.00, 20.00, 113.00, 24.40, 43.00
1739353025,136.00, 99.00, 23.00, 791.00, 217.00, 15.00, 21.00, 113.00, 24.40, 43.00
1739353026,136.00, 98.00, 23.00, 792.00, 218.00, 16.00, 21.00, 112.00, 24.40, 43.00
1739353027,136.00, 98.00, 23.00, 790.00, 217.00, 15.00, 20.00, 112.00, 24.40, 43.00
1739353028,135.00, 99.00, 23.00, 791.00, 216.00, 15.00, 20.00, 112.00, 24.40, 43.00
1739353029,135.00, 99.00, 23.00, 795.00, 217.00, 15.00, 20.00, 111.00, 24.40, 43.00
1739353030,134.00, 99.00, 23.00, 791.00, 215.00, 15.00, 21.00, 111.00, 24.40, 43.00
1739353031,134.00, 98.00, 23.00, 791.00, 216.00, 15.00, 20.00, 111.00, 24.40, 43.00
