Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1738139525,215.0,294.0,39.0,599.0,451.0,22.0,53.0,128.0, nan, nan
1738139526,213.0,294.0,40.0,600.0,451.0,23.0,53.0,128.0, nan, nan
1738139527,213.0,294.0,40.0,603.0,451.0,22.0,53.0,128.0, nan, nan
1738139528,213.0,294.0,40.0,602.0,451.0,22.0,53.0,128.0, nan, nan
1738139529,213.0,294.0,40.0,602.0,451.0,23.0,52.0,128.0, nan, nan
1738139530,212.0,294.0,39.0,601.0,451.0,22.0,53.0,128.0, nan, nan
1738139531,212.0,294.0,39.0,601.0,451.0,22.0,52.0,128.0, nan, nan
1738139532,212.0,294.0,40.0,604.0,451.0,22.0,52.0,128.0, nan, nan
1738139533,212.0,293.0,39.0,600.0,451.0,22.0,52.0,128.0, nan, nan
1738139534,212.0,294.0,39.0,601.0,450.0,22.0,52.0,128.0, nan, nan
1738139535,212.0,294.0,39.0,600.0,450.0,22.0,52.0,128.0, nan, nan
1738139536,211.0,293.0,39.0,601.0,450.0,22.0,52.0,128.0, nan, nan
1738139537,211.0,294.0,39.0,600.0,450.0,22.0,52.0,128.0, nan, nan
1738139538,211.0,293.0,39.0,601.0,449.0,22.0,52.0,128.0, nan, nan
1738139539,211.0,293.0,39.0,602.0,450.0,22.0,52.0,128.0, nan, nan
1738139540,210.0,293.0,39.0,602.0,449.0,22.0,52.0,128.0, nan, nan
1738139541,210.0,293.0,40.0,603.0,449.0,22.0,52.0,128.0, nan, nan
1738139542,210.0,293.0,39.0,604.0,450.0,22.0,51.0,128.0, nan, nan
1738139543,210.0,293.0,39.0,601.0,449.0,22.0,51.0,128.0, nan, nan
1738139544,209.0,292.0,39.0,602.0,449.0,22.0,52.0,128.0, nan, nan
1738139545,210.0,293.0,39.0,604.0,449.0,22.0,51.0,128.0, nan, nan
1738139546,209.0,292.0,39.0,600.0,448.0,22.0,51.0,128.0, nan, nan
1738139547,209.0,292.0,39.0,601.0,448.0,22.0,51.0,128.0, nan, nan
1738139548,209.0,292.0,39.0,600.0,448.0,22.0,51.0,128.0, nan, nan
1738139549,209.0,292.0,39.0,600.0,447.0,22.0,51.0,128.0, nan, nan
1738139550,208.0,293.0,39.0,602.0,448.0,22.0,51.0,128.0, nan, nan
1738139551,208.0,291.0,39.0,604.0,447.0,22.0,51.0,128.0, nan, nan
1738139552,207.0,292.0,39.0,603.0,447.0,23.0,51.0,128.0, nan, nan
1738139553,207.0,292.0,39.0,600.0,447.0,22.0,51.0,128.0, nan, nan
1738139554,207.0,292.0,39.0,601.0,447.0,22.0,51.0,128.0, nan, nan
1738139555,207.0,292.0,39.0,601.0,447.0,22.0,51.0,128.0, nan, nan
1738139556,207.0,291.0,39.0,602.0,447.0,22.0,50.0,127.0, nan, nan
1738139557,207.0,292.0,39.0,603.0,447.0,22.0,50.0,128.0, nan, nan
1738139558,207.0,292.0,39.0,602.0,447.0,22.0,50.0,128.0, nan, nan
1738139559,207.0,292.0,39.0,603.0,447.0,22.0,50.0,128.0, nan, nan
1738139560,207.0,292.0,39.0,606.0,447.0,22.0,51.0,128.0, nan, nan
1738139561,207.0,292.0,39.0,605.0,447.0,22.0,51.0,128.0, nan, nan
1738139562,206.0,292.0,39.0,606.0,447.0,22.0,50.0,128.0, nan, nan
1738139563,206.0,292.0,39.0,605.0,447.0,22.0,50.0,128.0, nan, nan
1738139564,206.0,292.0,39.0,606.0,447.0,22.0,50.0,128.0, nan, nan
