Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739353300,167.00, 101.00, 23.00, 792.00, 227.00, 15.00, 20.00, 130.00, 25.50, 42.40
1739353301,165.00, 102.00, 23.00, 796.00, 226.00, 15.00, 21.00, 129.00, 25.50, 42.40
1739353302,164.00, 101.00, 22.00, 795.00, 225.00, 15.00, 21.00, 128.00, 25.50, 42.40
1739353303,162.00, 101.00, 23.00, 794.00, 225.00, 15.00, 21.00, 128.00, 25.50, 42.40
1739353304,162.00, 101.00, 23.00, 793.00, 226.00, 15.00, 21.00, 127.00, 25.50, 42.40
1739353305,160.00, 100.00, 23.00, 791.00, 225.00, 16.00, 21.00, 126.00, 25.50, 42.40
1739353306,160.00, 101.00, 22.00, 794.00, 224.00, 16.00, 21.00, 126.00, 25.50, 42.40
1739353307,158.00, 101.00, 22.00, 792.00, 224.00, 15.00, 20.00, 125.00, 25.50, 42.40
1739353308,156.00, 99.00, 23.00, 790.00, 223.00, 15.00, 21.00, 125.00, 25.50, 42.40
1739353309,155.00, 100.00, 23.00, 795.00, 223.00, 15.00, 21.00, 124.00, 25.50, 42.40
1739353310,153.00, 100.00, 23.00, 792.00, 222.00, 15.00, 21.00, 124.00, 25.50, 42.40
1739353311,154.00, 100.00, 24.00, 790.00, 221.00, 15.00, 20.00, 123.00, 25.50, 42.40
1739353312,153.00, 99.00, 22.00, 792.00, 222.00, 16.00, 20.00, 124.00, 25.50, 42.40
1739353313,152.00, 100.00, 22.00, 791.00, 221.00, 16.00, 21.00, 123.00, 25.50, 42.40
1739353314,151.00, 100.00, 22.00, 796.00, 221.00, 16.00, 21.00, 122.00, 25.50, 42.40
1739353315,150.00, 100.00, 23.00, 790.00, 221.00, 16.00, 22.00, 122.00, 25.50, 42.40
1739353316,150.00, 99.00, 22.00, 794.00, 221.00, 16.00, 20.00, 122.00, 25.50, 42.40
1739353317,149.00, 99.00, 23.00, 796.00, 220.00, 15.00, 21.00, 121.00, 25.50, 42.40
1739353318,149.00, 99.00, 23.00, 794.00, 220.00, 16.00, 20.00, 120.00, 25.50, 42.40
1739353319,148.00, 99.00, 22.00, 795.00, 220.00, 16.00, 20.00, 120.00, 25.50, 42.40
1739353320,146.00, 99.00, 23.00, 794.00, 220.00, 15.00, 21.00, 120.00, 25.50, 42.40
1739353321,146.00, 98.00, 22.00, 792.00, 219.00, 15.00, 21.00, 120.00, 25.50, 42.40
1739353322,146.00, 99.00, 22.00, 791.00, 218.00, 16.00, 21.00, 119.00, 25.50, 42.40
1739353323,144.00, 98.00, 23.00, 790.00, 217.00, 16.00, 20.00, 118.00, 25.50, 42.40
1739353324,144.00, 98.00, 22.00, 794.00, 218.00, 15.00, 20.00, 118.00, 25.50, 42.40
1739353325,143.00, 97.00, 23.00, 792.00, 217.00, 15.00, 20.00, 118.00, 25.50, 42.40
1739353326,142.00, 98.00, 23.00, 790.00, 216.00, 15.00, 20.00, 117.00, 25.50, 42.40
1739353327,142.00, 97.00, 22.00, 793.00, 216.00, 15.00, 20.00, 117.00, 25.50, 42.40
1739353328,141.00, 98.00, 23.00, 790.00, 215.00, 16.00, 20.00, 116.00, 25.50, 42.40
1739353329,142.00, 97.00, 22.00, 792.00, 216.00, 15.00, 20.00, 116.00, 25.50, 42.40
1739353330,142.00, 97.00, 22.00, 793.00, 215.00, 15.00, 20.00, 116.00, 25.50, 42.40
1739353331,140.00, 98.00, 23.00, 796.00, 214.00, 15.00, 20.00, 116.00, 25.50, 42.40
1739353332,140.00, 97.00, 22.00, 794.00, 215.00, 15.00, 20.00, 116.00, 25.50, 42.40
1739353333,140.00, 96.00, 23.00, 793.00, 215.00, 16.00, 20.00, 115.00, 25.50, 42.40
1739353334,140.00, 97.00, 22.00, 795.00, 214.00, 15.00, 20.00, 114.00, 25.50, 42.40
1739353335,140.00, 97.00, 22.00, 792.00, 214.00, 15.00, 20.00, 114.00, 25.50, 42.40
1739353336,139.00, 97.00, 23.00, 793.00, 214.00, 16.00, 20.00, 114.00, 25.50, 42.40
1739353337,138.00, 96.00, 22.00, 795.00, 214.00, 16.00, 20.00, 113.00, 25.50, 42.40
1739353338,138.00, 97.00, 23.00, 793.00, 212.00, 15.00, 20.00, 112.00, 25.50, 42.40
1739353339,137.00, 97.00, 23.00, 795.00, 212.00, 15.00, 20.00, 113.00, 25.50, 42.40
