Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739353644,167.00, 102.00, 23.00, 810.00, 234.00, 16.00, 22.00, 136.00, 24.90, 43.20
1739353645,173.00, 106.00, 25.00, 829.00, 240.00, 17.00, 23.00, 139.00, 24.90, 43.20
1739353646,174.00, 105.00, 25.00, 829.00, 240.00, 17.00, 23.00, 139.00, 24.90, 43.20
1739353647,175.00, 106.00, 25.00, 834.00, 240.00, 16.00, 23.00, 138.00, 24.90, 43.20
1739353648,174.00, 106.00, 25.00, 830.00, 240.00, 18.00, 23.00, 138.00, 24.90, 43.20
1739353650,175.00, 107.00, 25.00, 829.00, 241.00, 17.00, 22.00, 139.00, 24.90, 43.20
1739353651,176.00, 106.00, 25.00, 829.00, 242.00, 17.00, 22.00, 139.00, 24.90, 43.20
1739353652,177.00, 106.00, 25.00, 830.00, 240.00, 16.00, 22.00, 140.00, 24.90, 43.20
1739353653,176.00, 106.00, 26.00, 828.00, 241.00, 17.00, 23.00, 140.00, 24.90, 43.20
1739353654,177.00, 107.00, 25.00, 828.00, 241.00, 16.00, 23.00, 140.00, 24.90, 43.20
1739353655,177.00, 106.00, 25.00, 829.00, 241.00, 17.00, 22.00, 140.00, 24.90, 43.20
1739353656,177.00, 106.00, 26.00, 830.00, 241.00, 17.00, 23.00, 141.00, 24.90, 43.20
1739353657,178.00, 106.00, 25.00, 830.00, 241.00, 16.00, 23.00, 141.00, 24.90, 43.20
1739353658,178.00, 106.00, 25.00, 833.00, 241.00, 16.00, 23.00, 141.00, 24.90, 43.20
1739353659,179.00, 106.00, 25.00, 830.00, 241.00, 17.00, 23.00, 141.00, 24.90, 43.20
1739353660,179.00, 106.00, 24.00, 832.00, 241.00, 16.00, 22.00, 142.00, 24.90, 43.20
1739353661,178.00, 107.00, 25.00, 833.00, 241.00, 17.00, 23.00, 141.00, 24.90, 43.20
1739353662,178.00, 106.00, 26.00, 830.00, 241.00, 16.00, 23.00, 141.00, 24.90, 43.20
1739353663,178.00, 106.00, 26.00, 828.00, 241.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353664,178.00, 107.00, 25.00, 832.00, 241.00, 17.00, 22.00, 141.00, 24.90, 43.20
1739353665,179.00, 107.00, 25.00, 828.00, 242.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353666,179.00, 106.00, 26.00, 831.00, 241.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353667,180.00, 106.00, 24.00, 832.00, 242.00, 17.00, 23.00, 141.00, 24.90, 43.20
1739353668,180.00, 106.00, 25.00, 831.00, 242.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353669,180.00, 106.00, 26.00, 832.00, 241.00, 17.00, 22.00, 142.00, 24.90, 43.20
1739353670,180.00, 106.00, 25.00, 829.00, 242.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353671,179.00, 106.00, 26.00, 826.00, 240.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353672,179.00, 105.00, 26.00, 829.00, 241.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353673,180.00, 107.00, 24.00, 829.00, 241.00, 16.00, 23.00, 142.00, 24.90, 43.20
1739353674,179.00, 106.00, 26.00, 826.00, 241.00, 17.00, 22.00, 142.00, 24.90, 43.20
1739353675,179.00, 105.00, 26.00, 827.00, 241.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353676,179.00, 107.00, 25.00, 827.00, 241.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353677,181.00, 106.00, 25.00, 830.00, 242.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353678,179.00, 107.00, 25.00, 827.00, 241.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353679,180.00, 107.00, 25.00, 831.00, 242.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353680,180.00, 107.00, 25.00, 828.00, 241.00, 17.00, 23.00, 143.00, 24.90, 43.20
1739353681,180.00, 107.00, 25.00, 824.00, 242.00, 17.00, 23.00, 143.00, 24.90, 43.20
1739353682,182.00, 106.00, 25.00, 830.00, 242.00, 16.00, 23.00, 143.00, 24.90, 43.20
1739353683,181.00, 106.00, 25.00, 832.00, 242.00, 17.00, 23.00, 142.00, 24.90, 43.20
1739353684,181.00, 106.00, 26.00, 833.00, 242.00, 17.00, 23.00, 142.00, 24.90, 43.20
