Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739963939,182.00, 82.00, 22.00, 806.00, 232.00, 16.00, 21.00, 94.00, 23.40, 44.10
1739963940,192.00, 88.00, 25.00, 838.00, 242.00, 17.00, 23.00, 98.00, 23.40, 44.10
1739963941,193.00, 87.00, 24.00, 839.00, 242.00, 18.00, 23.00, 97.00, 23.40, 44.10
1739963942,192.00, 88.00, 25.00, 844.00, 242.00, 17.00, 23.00, 98.00, 23.40, 44.10
1739963943,192.00, 88.00, 25.00, 839.00, 243.00, 17.00, 23.00, 97.00, 23.40, 44.10
1739963944,192.00, 87.00, 27.00, 843.00, 241.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963945,192.00, 87.00, 26.00, 843.00, 242.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963946,191.00, 88.00, 25.00, 839.00, 243.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963947,193.00, 88.00, 25.00, 840.00, 242.00, 17.00, 23.00, 98.00, 23.40, 44.10
1739963948,192.00, 87.00, 25.00, 838.00, 242.00, 17.00, 23.00, 98.00, 23.40, 44.10
1739963949,192.00, 88.00, 25.00, 838.00, 243.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963950,192.00, 87.00, 26.00, 840.00, 242.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963951,193.00, 87.00, 26.00, 841.00, 243.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963952,194.00, 87.00, 26.00, 841.00, 244.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963953,194.00, 88.00, 25.00, 843.00, 244.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963954,193.00, 87.00, 25.00, 842.00, 242.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963955,193.00, 87.00, 26.00, 842.00, 242.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963956,193.00, 87.00, 25.00, 839.00, 243.00, 17.00, 23.00, 99.00, 23.40, 44.10
1739963957,194.00, 88.00, 25.00, 840.00, 243.00, 17.00, 23.00, 98.00, 23.40, 44.10
1739963958,193.00, 88.00, 26.00, 838.00, 244.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963960,194.00, 87.00, 26.00, 838.00, 243.00, 17.00, 23.00, 98.00, 23.40, 44.10
1739963961,194.00, 88.00, 25.00, 838.00, 243.00, 18.00, 23.00, 98.00, 23.40, 44.10
1739963962,193.00, 88.00, 26.00, 838.00, 242.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963963,193.00, 88.00, 25.00, 840.00, 243.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963964,195.00, 88.00, 25.00, 843.00, 243.00, 17.00, 23.00, 99.00, 23.40, 44.10
1739963965,194.00, 87.00, 26.00, 839.00, 243.00, 17.00, 23.00, 99.00, 23.40, 44.10
1739963966,194.00, 87.00, 26.00, 839.00, 243.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963967,195.00, 88.00, 25.00, 839.00, 244.00, 17.00, 23.00, 99.00, 23.40, 44.10
1739963968,194.00, 88.00, 25.00, 841.00, 243.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963969,195.00, 87.00, 26.00, 839.00, 243.00, 18.00, 23.00, 100.00, 23.40, 44.10
1739963970,195.00, 87.00, 25.00, 841.00, 243.00, 17.00, 23.00, 99.00, 23.40, 44.10
1739963971,195.00, 88.00, 26.00, 839.00, 244.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963972,196.00, 88.00, 26.00, 841.00, 244.00, 17.00, 23.00, 99.00, 23.40, 44.10
1739963973,195.00, 88.00, 26.00, 840.00, 244.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963974,196.00, 88.00, 24.00, 843.00, 244.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963975,196.00, 88.00, 25.00, 839.00, 244.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963976,196.00, 88.00, 24.00, 840.00, 244.00, 17.00, 23.00, 99.00, 23.40, 44.10
1739963977,195.00, 88.00, 25.00, 842.00, 243.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963978,195.00, 89.00, 25.00, 842.00, 244.00, 18.00, 23.00, 99.00, 23.40, 44.10
1739963979,195.00, 87.00, 26.00, 842.00, 244.00, 17.00, 23.00, 99.00, 23.40, 44.10
