Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1738234190,242.0,287.0,42.0,525.0,468.0,22.0,66.0,117.0, nan, nan
1738234191,240.0,286.0,42.0,521.0,468.0,22.0,65.0,117.0, nan, nan
1738234192,240.0,286.0,42.0,523.0,468.0,21.0,66.0,117.0, nan, nan
1738234193,240.0,285.0,42.0,523.0,468.0,22.0,66.0,117.0, nan, nan
1738234194,240.0,286.0,42.0,523.0,468.0,22.0,66.0,117.0, nan, nan
1738234195,240.0,285.0,42.0,522.0,468.0,22.0,65.0,117.0, nan, nan
1738234196,240.0,286.0,42.0,524.0,468.0,21.0,65.0,117.0, nan, nan
1738234197,240.0,285.0,42.0,524.0,467.0,21.0,65.0,117.0, nan, nan
1738234198,240.0,285.0,42.0,523.0,468.0,21.0,65.0,117.0, nan, nan
1738234199,240.0,285.0,42.0,523.0,467.0,22.0,64.0,117.0, nan, nan
1738234200,240.0,285.0,42.0,522.0,467.0,22.0,65.0,116.0, nan, nan
1738234201,240.0,285.0,42.0,522.0,468.0,21.0,64.0,117.0, nan, nan
1738234202,239.0,285.0,42.0,522.0,467.0,22.0,64.0,117.0, nan, nan
1738234203,239.0,285.0,42.0,523.0,467.0,22.0,64.0,117.0, nan, nan
1738234204,239.0,285.0,42.0,524.0,467.0,22.0,64.0,117.0, nan, nan
1738234205,239.0,284.0,42.0,521.0,467.0,21.0,64.0,117.0, nan, nan
1738234206,239.0,284.0,42.0,521.0,467.0,22.0,63.0,117.0, nan, nan
1738234207,239.0,284.0,42.0,522.0,466.0,21.0,64.0,116.0, nan, nan
1738234208,239.0,284.0,42.0,521.0,466.0,21.0,63.0,117.0, nan, nan
1738234209,238.0,284.0,42.0,523.0,467.0,21.0,63.0,117.0, nan, nan
1738234210,238.0,284.0,42.0,522.0,466.0,22.0,63.0,117.0, nan, nan
1738234211,238.0,284.0,42.0,522.0,466.0,21.0,63.0,117.0, nan, nan
1738234212,238.0,285.0,42.0,521.0,466.0,21.0,63.0,117.0, nan, nan
1738234213,238.0,284.0,42.0,524.0,466.0,22.0,62.0,117.0, nan, nan
1738234214,238.0,284.0,42.0,521.0,466.0,21.0,62.0,117.0, nan, nan
1738234215,238.0,284.0,42.0,524.0,466.0,21.0,62.0,117.0, nan, nan
1738234216,238.0,284.0,42.0,524.0,466.0,21.0,62.0,117.0, nan, nan
1738234217,237.0,284.0,42.0,524.0,466.0,21.0,61.0,117.0, nan, nan
1738234218,237.0,283.0,42.0,521.0,466.0,21.0,62.0,117.0, nan, nan
1738234219,237.0,284.0,42.0,524.0,466.0,22.0,61.0,117.0, nan, nan
1738234220,237.0,284.0,42.0,522.0,465.0,22.0,61.0,117.0, nan, nan
1738234221,237.0,283.0,42.0,521.0,465.0,21.0,61.0,117.0, nan, nan
1738234222,237.0,283.0,42.0,523.0,465.0,21.0,61.0,117.0, nan, nan
1738234223,236.0,283.0,42.0,521.0,465.0,22.0,61.0,117.0, nan, nan
1738234224,236.0,283.0,42.0,522.0,465.0,21.0,61.0,117.0, nan, nan
1738234225,237.0,283.0,42.0,523.0,465.0,21.0,60.0,117.0, nan, nan
1738234226,236.0,283.0,42.0,522.0,465.0,21.0,60.0,117.0, nan, nan
1738234227,236.0,283.0,42.0,522.0,465.0,21.0,60.0,116.0, nan, nan
1738234228,236.0,283.0,42.0,521.0,464.0,21.0,60.0,117.0, nan, nan
1738234229,236.0,283.0,41.0,522.0,464.0,21.0,60.0,117.0, nan, nan
