Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739356854,153.00, 96.00, 23.00, 804.00, 234.00, 15.00, 20.00, 115.00, 25.10, 41.30
1739356855,160.00, 99.00, 25.00, 829.00, 240.00, 17.00, 22.00, 117.00, 25.10, 41.30
1739356856,160.00, 100.00, 25.00, 828.00, 241.00, 17.00, 22.00, 117.00, 25.10, 41.30
1739356857,160.00, 99.00, 25.00, 828.00, 240.00, 17.00, 22.00, 117.00, 25.10, 41.30
1739356858,161.00, 100.00, 25.00, 829.00, 241.00, 16.00, 22.00, 116.00, 25.10, 41.30
1739356859,162.00, 100.00, 24.00, 833.00, 241.00, 16.00, 21.00, 117.00, 25.10, 41.30
1739356860,161.00, 100.00, 25.00, 827.00, 240.00, 17.00, 21.00, 117.00, 25.10, 41.30
1739356861,163.00, 100.00, 24.00, 828.00, 241.00, 17.00, 22.00, 118.00, 25.10, 41.30
1739356862,162.00, 101.00, 25.00, 828.00, 242.00, 17.00, 22.00, 117.00, 25.10, 41.30
1739356863,163.00, 100.00, 25.00, 828.00, 241.00, 17.00, 22.00, 119.00, 25.10, 41.30
1739356864,163.00, 101.00, 24.00, 832.00, 242.00, 17.00, 22.00, 118.00, 25.10, 41.30
1739356865,164.00, 100.00, 24.00, 832.00, 242.00, 17.00, 21.00, 119.00, 25.10, 41.30
1739356866,163.00, 101.00, 25.00, 830.00, 242.00, 17.00, 22.00, 119.00, 25.10, 41.30
1739356867,164.00, 100.00, 25.00, 827.00, 241.00, 18.00, 22.00, 119.00, 25.10, 41.30
1739356868,164.00, 100.00, 25.00, 829.00, 242.00, 16.00, 22.00, 119.00, 25.10, 41.30
1739356869,164.00, 100.00, 25.00, 833.00, 242.00, 16.00, 22.00, 119.00, 25.10, 41.30
1739356870,164.00, 101.00, 25.00, 831.00, 243.00, 17.00, 22.00, 119.00, 25.10, 41.30
1739356871,165.00, 100.00, 26.00, 828.00, 242.00, 18.00, 22.00, 120.00, 25.10, 41.30
1739356872,166.00, 100.00, 25.00, 829.00, 243.00, 16.00, 22.00, 120.00, 25.10, 41.30
1739356873,165.00, 100.00, 25.00, 829.00, 242.00, 17.00, 22.00, 119.00, 25.10, 41.30
1739356874,165.00, 100.00, 25.00, 830.00, 242.00, 18.00, 22.00, 120.00, 25.10, 41.30
1739356875,165.00, 100.00, 25.00, 832.00, 242.00, 16.00, 22.00, 120.00, 25.10, 41.30
1739356876,165.00, 100.00, 24.00, 831.00, 242.00, 16.00, 22.00, 120.00, 25.10, 41.30
1739356877,166.00, 101.00, 25.00, 827.00, 243.00, 16.00, 22.00, 119.00, 25.10, 41.30
1739356878,165.00, 101.00, 25.00, 831.00, 242.00, 17.00, 22.00, 119.00, 25.10, 41.30
1739356879,165.00, 99.00, 26.00, 829.00, 242.00, 15.00, 22.00, 119.00, 25.10, 41.30
1739356880,166.00, 100.00, 25.00, 830.00, 242.00, 16.00, 22.00, 120.00, 25.10, 41.30
1739356881,165.00, 100.00, 26.00, 830.00, 242.00, 17.00, 22.00, 120.00, 25.10, 41.30
1739356882,166.00, 100.00, 24.00, 834.00, 243.00, 16.00, 22.00, 120.00, 25.10, 41.30
1739356883,165.00, 100.00, 25.00, 830.00, 242.00, 17.00, 22.00, 119.00, 25.10, 41.30
1739356884,166.00, 100.00, 24.00, 829.00, 243.00, 17.00, 22.00, 120.00, 25.10, 41.30
1739356885,165.00, 101.00, 25.00, 828.00, 242.00, 17.00, 22.00, 119.00, 25.10, 41.30
1739356886,166.00, 99.00, 24.00, 832.00, 242.00, 16.00, 22.00, 120.00, 25.10, 41.30
1739356887,165.00, 99.00, 24.00, 828.00, 242.00, 16.00, 22.00, 120.00, 25.10, 41.30
1739356888,166.00, 100.00, 25.00, 829.00, 242.00, 16.00, 22.00, 120.00, 25.10, 41.30
1739356889,166.00, 99.00, 26.00, 828.00, 242.00, 17.00, 22.00, 120.00, 25.10, 41.30
1739356890,165.00, 100.00, 25.00, 828.00, 243.00, 17.00, 22.00, 120.00, 25.10, 41.30
1739356891,166.00, 100.00, 25.00, 833.00, 242.00, 16.00, 22.00, 119.00, 25.10, 41.30
1739356892,166.00, 100.00, 24.00, 833.00, 242.00, 17.00, 22.00, 120.00, 25.10, 41.30
1739356893,165.00, 100.00, 25.00, 829.00, 242.00, 17.00, 22.00, 119.00, 25.10, 41.30
