Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739955192,156.00, 74.00, 22.00, 796.00, 217.00, 15.00, 19.00, 78.00, 23.40, 42.80
1739955193,163.00, 78.00, 23.00, 820.00, 223.00, 16.00, 20.00, 81.00, 23.40, 42.80
1739955194,162.00, 78.00, 24.00, 817.00, 223.00, 17.00, 20.00, 81.00, 23.40, 42.80
1739955195,162.00, 78.00, 24.00, 820.00, 223.00, 17.00, 20.00, 80.00, 23.40, 42.80
1739955196,163.00, 78.00, 23.00, 820.00, 224.00, 16.00, 20.00, 80.00, 23.40, 42.80
1739955197,162.00, 78.00, 23.00, 819.00, 224.00, 16.00, 21.00, 80.00, 23.40, 42.80
1739955198,162.00, 78.00, 24.00, 822.00, 223.00, 17.00, 20.00, 80.00, 23.40, 42.80
1739955199,163.00, 77.00, 24.00, 823.00, 223.00, 16.00, 20.00, 80.00, 23.40, 42.80
1739955200,163.00, 78.00, 23.00, 818.00, 224.00, 17.00, 21.00, 80.00, 23.40, 42.80
1739955201,164.00, 77.00, 24.00, 822.00, 223.00, 17.00, 21.00, 80.00, 23.40, 42.80
1739955202,162.00, 78.00, 24.00, 820.00, 224.00, 16.00, 20.00, 81.00, 23.40, 42.80
1739955203,163.00, 77.00, 24.00, 823.00, 224.00, 16.00, 21.00, 80.00, 23.40, 42.80
1739955204,164.00, 78.00, 24.00, 819.00, 224.00, 16.00, 21.00, 80.00, 23.40, 42.80
1739955205,163.00, 78.00, 24.00, 818.00, 224.00, 17.00, 20.00, 80.00, 23.40, 42.80
1739955206,163.00, 77.00, 23.00, 822.00, 224.00, 16.00, 20.00, 81.00, 23.40, 42.80
1739955207,164.00, 78.00, 25.00, 819.00, 224.00, 17.00, 21.00, 80.00, 23.40, 42.80
1739955208,163.00, 78.00, 24.00, 819.00, 225.00, 17.00, 21.00, 81.00, 23.40, 42.80
1739955209,164.00, 78.00, 23.00, 818.00, 224.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955210,164.00, 78.00, 23.00, 819.00, 224.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955211,165.00, 78.00, 23.00, 820.00, 225.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955212,166.00, 78.00, 23.00, 819.00, 224.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955213,164.00, 78.00, 24.00, 818.00, 224.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955214,165.00, 78.00, 24.00, 818.00, 225.00, 17.00, 21.00, 81.00, 23.40, 42.80
1739955215,165.00, 78.00, 23.00, 819.00, 225.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955216,165.00, 77.00, 24.00, 819.00, 224.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955217,165.00, 78.00, 24.00, 823.00, 225.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955218,165.00, 78.00, 23.00, 820.00, 225.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955219,164.00, 78.00, 24.00, 819.00, 225.00, 17.00, 20.00, 81.00, 23.40, 42.80
1739955220,165.00, 77.00, 24.00, 819.00, 224.00, 16.00, 20.00, 81.00, 23.40, 42.80
1739955221,166.00, 78.00, 23.00, 821.00, 225.00, 17.00, 21.00, 82.00, 23.40, 42.80
1739955222,165.00, 79.00, 24.00, 818.00, 225.00, 16.00, 20.00, 82.00, 23.40, 42.80
1739955223,166.00, 78.00, 24.00, 821.00, 225.00, 16.00, 21.00, 82.00, 23.40, 42.80
1739955224,166.00, 78.00, 24.00, 818.00, 225.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955225,166.00, 78.00, 24.00, 819.00, 225.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955226,166.00, 78.00, 24.00, 819.00, 225.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955227,166.00, 77.00, 25.00, 821.00, 224.00, 17.00, 21.00, 82.00, 23.40, 42.80
1739955228,166.00, 79.00, 24.00, 818.00, 225.00, 17.00, 20.00, 82.00, 23.40, 42.80
1739955229,166.00, 78.00, 23.00, 820.00, 225.00, 16.00, 21.00, 81.00, 23.40, 42.80
1739955230,167.00, 78.00, 24.00, 822.00, 225.00, 16.00, 21.00, 82.00, 23.40, 42.80
1739955231,166.00, 78.00, 23.00, 819.00, 226.00, 16.00, 21.00, 82.00, 23.40, 42.80
