Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739956828,165.00, 76.00, 23.00, 812.00, 224.00, 16.00, 20.00, 86.00, 23.40, 43.20
1739956829,175.00, 81.00, 25.00, 848.00, 234.00, 16.00, 22.00, 90.00, 23.40, 43.20
1739956830,175.00, 81.00, 25.00, 846.00, 233.00, 17.00, 22.00, 89.00, 23.40, 43.20
1739956831,175.00, 82.00, 26.00, 849.00, 233.00, 17.00, 22.00, 89.00, 23.40, 43.20
1739956832,174.00, 82.00, 25.00, 846.00, 233.00, 17.00, 22.00, 89.00, 23.40, 43.20
1739956833,174.00, 82.00, 25.00, 845.00, 233.00, 17.00, 22.00, 89.00, 23.40, 43.20
1739956834,176.00, 82.00, 25.00, 849.00, 234.00, 17.00, 22.00, 90.00, 23.40, 43.20
1739956835,176.00, 82.00, 24.00, 848.00, 234.00, 17.00, 22.00, 90.00, 23.40, 43.20
1739956836,175.00, 81.00, 26.00, 846.00, 234.00, 17.00, 22.00, 90.00, 23.40, 43.20
1739956837,175.00, 83.00, 25.00, 845.00, 234.00, 17.00, 22.00, 90.00, 23.40, 43.20
1739956838,175.00, 83.00, 24.00, 850.00, 234.00, 18.00, 22.00, 91.00, 23.40, 43.20
1739956839,176.00, 81.00, 25.00, 849.00, 234.00, 16.00, 22.00, 90.00, 23.40, 43.20
1739956840,176.00, 82.00, 24.00, 849.00, 235.00, 17.00, 22.00, 90.00, 23.40, 43.20
1739956841,176.00, 81.00, 25.00, 849.00, 235.00, 17.00, 22.00, 90.00, 23.40, 43.20
1739956842,177.00, 81.00, 26.00, 845.00, 234.00, 17.00, 22.00, 90.00, 23.40, 43.20
1739956843,176.00, 81.00, 26.00, 849.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956844,177.00, 82.00, 25.00, 848.00, 234.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956845,177.00, 82.00, 24.00, 848.00, 234.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956846,178.00, 82.00, 25.00, 846.00, 235.00, 17.00, 22.00, 90.00, 23.40, 43.20
1739956847,177.00, 82.00, 25.00, 847.00, 235.00, 18.00, 22.00, 91.00, 23.40, 43.20
1739956849,177.00, 82.00, 24.00, 846.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956850,176.00, 83.00, 25.00, 845.00, 234.00, 18.00, 21.00, 90.00, 23.40, 43.20
1739956851,178.00, 82.00, 25.00, 848.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956852,178.00, 81.00, 26.00, 847.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956853,177.00, 82.00, 25.00, 846.00, 234.00, 18.00, 22.00, 91.00, 23.40, 43.20
1739956854,177.00, 82.00, 26.00, 846.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956855,178.00, 81.00, 25.00, 848.00, 234.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956856,177.00, 81.00, 26.00, 845.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956857,178.00, 82.00, 25.00, 844.00, 235.00, 16.00, 22.00, 91.00, 23.40, 43.20
1739956858,178.00, 82.00, 24.00, 846.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956859,177.00, 83.00, 25.00, 845.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956860,178.00, 81.00, 25.00, 847.00, 234.00, 18.00, 22.00, 91.00, 23.40, 43.20
1739956861,178.00, 82.00, 24.00, 846.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956862,177.00, 82.00, 25.00, 847.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956863,178.00, 81.00, 26.00, 846.00, 235.00, 17.00, 22.00, 91.00, 23.40, 43.20
1739956864,178.00, 82.00, 24.00, 852.00, 235.00, 16.00, 22.00, 91.00, 23.40, 43.20
1739956865,179.00, 82.00, 23.00, 850.00, 235.00, 18.00, 22.00, 91.00, 23.40, 43.20
1739956866,179.00, 82.00, 24.00, 846.00, 235.00, 18.00, 22.00, 91.00, 23.40, 43.20
1739956867,178.00, 82.00, 25.00, 846.00, 235.00, 18.00, 22.00, 91.00, 23.40, 43.20
1739956868,179.00, 83.00, 25.00, 850.00, 235.00, 18.00, 22.00, 92.00, 23.40, 43.20
