Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1738142684,243.0,317.0,42.0,570.0,454.0,26.0,73.0,132.0, nan, nan
1738142685,241.0,316.0,41.0,573.0,453.0,25.0,73.0,132.0, nan, nan
1738142686,240.0,316.0,41.0,572.0,453.0,25.0,72.0,132.0, nan, nan
1738142687,240.0,315.0,41.0,573.0,452.0,25.0,72.0,132.0, nan, nan
1738142688,239.0,315.0,41.0,572.0,453.0,25.0,72.0,132.0, nan, nan
1738142689,239.0,314.0,41.0,573.0,452.0,25.0,71.0,132.0, nan, nan
1738142690,239.0,316.0,41.0,574.0,453.0,25.0,71.0,132.0, nan, nan
1738142691,238.0,314.0,41.0,575.0,452.0,25.0,70.0,132.0, nan, nan
1738142692,238.0,315.0,41.0,575.0,453.0,25.0,70.0,132.0, nan, nan
1738142693,237.0,314.0,41.0,574.0,451.0,25.0,70.0,132.0, nan, nan
1738142694,236.0,313.0,41.0,572.0,450.0,25.0,69.0,131.0, nan, nan
1738142695,236.0,313.0,41.0,572.0,451.0,25.0,69.0,131.0, nan, nan
1738142696,235.0,312.0,41.0,572.0,450.0,25.0,69.0,131.0, nan, nan
1738142697,235.0,313.0,41.0,571.0,450.0,24.0,68.0,131.0, nan, nan
1738142698,235.0,313.0,41.0,575.0,451.0,25.0,68.0,132.0, nan, nan
1738142699,233.0,312.0,41.0,573.0,449.0,24.0,68.0,131.0, nan, nan
1738142700,232.0,311.0,40.0,570.0,448.0,25.0,68.0,131.0, nan, nan
1738142701,232.0,311.0,41.0,573.0,448.0,25.0,67.0,131.0, nan, nan
1738142702,232.0,310.0,40.0,573.0,448.0,25.0,67.0,131.0, nan, nan
1738142703,231.0,309.0,40.0,573.0,448.0,24.0,67.0,131.0, nan, nan
1738142704,231.0,310.0,40.0,573.0,447.0,24.0,66.0,131.0, nan, nan
1738142705,230.0,309.0,40.0,571.0,447.0,24.0,66.0,130.0, nan, nan
1738142706,230.0,308.0,40.0,573.0,446.0,25.0,66.0,130.0, nan, nan
1738142707,229.0,308.0,40.0,571.0,446.0,25.0,65.0,131.0, nan, nan
1738142708,228.0,307.0,40.0,570.0,445.0,24.0,65.0,130.0, nan, nan
1738142709,228.0,307.0,40.0,571.0,446.0,24.0,65.0,130.0, nan, nan
1738142710,227.0,307.0,40.0,570.0,445.0,24.0,64.0,130.0, nan, nan
1738142711,227.0,307.0,40.0,573.0,444.0,24.0,64.0,130.0, nan, nan
1738142712,227.0,306.0,40.0,570.0,444.0,24.0,64.0,129.0, nan, nan
1738142714,226.0,305.0,40.0,572.0,444.0,24.0,64.0,130.0, nan, nan
1738142715,225.0,305.0,40.0,571.0,443.0,24.0,64.0,130.0, nan, nan
1738142716,225.0,305.0,40.0,573.0,443.0,24.0,64.0,130.0, nan, nan
1738142717,225.0,304.0,40.0,572.0,442.0,24.0,63.0,129.0, nan, nan
1738142718,224.0,304.0,40.0,570.0,442.0,24.0,63.0,129.0, nan, nan
1738142719,224.0,304.0,40.0,572.0,443.0,24.0,63.0,130.0, nan, nan
1738142720,223.0,303.0,40.0,572.0,441.0,23.0,62.0,129.0, nan, nan
1738142721,223.0,303.0,40.0,573.0,442.0,24.0,62.0,129.0, nan, nan
1738142722,222.0,304.0,40.0,571.0,442.0,24.0,62.0,129.0, nan, nan
1738142723,222.0,302.0,39.0,571.0,441.0,24.0,61.0,129.0, nan, nan
1738142724,222.0,302.0,40.0,574.0,441.0,24.0,61.0,129.0, nan, nan
