Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1738142764,232.0,304.0,40.0,576.0,446.0,24.0,64.0,129.0, nan, nan
1738142765,229.0,303.0,40.0,572.0,445.0,24.0,63.0,129.0, nan, nan
1738142766,230.0,304.0,40.0,574.0,447.0,24.0,63.0,129.0, nan, nan
1738142767,230.0,304.0,40.0,578.0,447.0,24.0,63.0,129.0, nan, nan
1738142768,228.0,303.0,40.0,575.0,445.0,24.0,63.0,128.0, nan, nan
1738142769,227.0,302.0,40.0,573.0,445.0,24.0,62.0,128.0, nan, nan
1738142770,227.0,302.0,40.0,571.0,444.0,23.0,62.0,128.0, nan, nan
1738142771,227.0,302.0,40.0,572.0,444.0,24.0,61.0,128.0, nan, nan
1738142772,226.0,302.0,40.0,575.0,444.0,24.0,61.0,128.0, nan, nan
1738142773,226.0,302.0,40.0,573.0,443.0,23.0,62.0,128.0, nan, nan
1738142774,226.0,301.0,40.0,575.0,443.0,23.0,62.0,128.0, nan, nan
1738142775,225.0,301.0,40.0,572.0,443.0,23.0,61.0,128.0, nan, nan
1738142776,225.0,301.0,40.0,575.0,443.0,23.0,61.0,128.0, nan, nan
1738142777,224.0,301.0,40.0,571.0,443.0,24.0,60.0,128.0, nan, nan
1738142778,224.0,300.0,40.0,573.0,442.0,23.0,60.0,128.0, nan, nan
1738142779,223.0,300.0,40.0,573.0,442.0,23.0,60.0,128.0, nan, nan
1738142780,223.0,300.0,40.0,573.0,442.0,23.0,60.0,128.0, nan, nan
1738142781,222.0,300.0,40.0,574.0,441.0,24.0,59.0,128.0, nan, nan
1738142782,222.0,299.0,39.0,573.0,441.0,24.0,59.0,128.0, nan, nan
1738142783,222.0,299.0,40.0,575.0,441.0,23.0,59.0,128.0, nan, nan
1738142784,222.0,300.0,40.0,573.0,441.0,23.0,59.0,128.0, nan, nan
1738142785,221.0,299.0,39.0,572.0,441.0,23.0,59.0,128.0, nan, nan
1738142786,221.0,299.0,40.0,576.0,441.0,23.0,59.0,128.0, nan, nan
1738142787,221.0,299.0,40.0,579.0,442.0,23.0,59.0,128.0, nan, nan
1738142788,221.0,299.0,40.0,575.0,441.0,23.0,59.0,128.0, nan, nan
1738142789,220.0,299.0,40.0,575.0,441.0,23.0,58.0,127.0, nan, nan
1738142790,220.0,299.0,40.0,575.0,441.0,23.0,58.0,128.0, nan, nan
1738142791,219.0,297.0,39.0,573.0,439.0,23.0,57.0,127.0, nan, nan
1738142792,218.0,297.0,40.0,572.0,439.0,23.0,57.0,127.0, nan, nan
1738142793,218.0,298.0,39.0,574.0,439.0,23.0,57.0,128.0, nan, nan
1738142794,218.0,297.0,39.0,574.0,439.0,23.0,57.0,127.0, nan, nan
1738142795,218.0,297.0,39.0,577.0,438.0,23.0,57.0,127.0, nan, nan
1738142796,216.0,295.0,39.0,572.0,436.0,23.0,56.0,126.0, nan, nan
1738142797,216.0,295.0,39.0,571.0,436.0,23.0,57.0,126.0, nan, nan
1738142798,216.0,295.0,39.0,572.0,437.0,23.0,56.0,126.0, nan, nan
1738142799,215.0,294.0,39.0,573.0,435.0,23.0,56.0,126.0, nan, nan
1738142800,215.0,294.0,39.0,571.0,435.0,23.0,56.0,126.0, nan, nan
1738142801,215.0,294.0,39.0,573.0,435.0,22.0,56.0,126.0, nan, nan
1738142802,214.0,293.0,39.0,570.0,434.0,23.0,55.0,126.0, nan, nan
1738142803,214.0,293.0,39.0,574.0,435.0,23.0,55.0,126.0, nan, nan
