Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1740050660,166.00, 69.00, 21.00, 825.00, 210.00, 16.00, 18.00, 81.00, 24.60, 45.30
1740050661,180.00, 76.00, 25.00, 874.00, 223.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050662,180.00, 75.00, 26.00, 872.00, 221.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050663,179.00, 75.00, 26.00, 874.00, 222.00, 17.00, 20.00, 85.00, 24.60, 45.30
1740050664,179.00, 74.00, 26.00, 876.00, 222.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050665,179.00, 75.00, 26.00, 874.00, 222.00, 18.00, 20.00, 85.00, 24.60, 45.30
1740050666,178.00, 77.00, 25.00, 878.00, 222.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050667,180.00, 76.00, 25.00, 875.00, 223.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050668,179.00, 76.00, 25.00, 875.00, 223.00, 17.00, 21.00, 86.00, 24.60, 45.30
1740050669,179.00, 76.00, 25.00, 874.00, 223.00, 18.00, 20.00, 85.00, 24.60, 45.30
1740050670,180.00, 75.00, 24.00, 875.00, 222.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050671,180.00, 75.00, 24.00, 876.00, 223.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050672,179.00, 75.00, 26.00, 874.00, 222.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050673,179.00, 75.00, 26.00, 875.00, 222.00, 18.00, 21.00, 86.00, 24.60, 45.30
1740050674,179.00, 75.00, 25.00, 877.00, 223.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050675,179.00, 76.00, 25.00, 874.00, 222.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050676,180.00, 75.00, 24.00, 874.00, 222.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050677,180.00, 74.00, 25.00, 878.00, 223.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050678,180.00, 76.00, 24.00, 874.00, 222.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050679,180.00, 75.00, 24.00, 875.00, 223.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050680,180.00, 75.00, 26.00, 879.00, 222.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050681,181.00, 75.00, 24.00, 874.00, 223.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050682,180.00, 76.00, 25.00, 879.00, 223.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050683,180.00, 75.00, 25.00, 877.00, 223.00, 17.00, 21.00, 86.00, 24.60, 45.30
1740050684,180.00, 76.00, 25.00, 879.00, 224.00, 18.00, 21.00, 86.00, 24.60, 45.30
1740050685,180.00, 75.00, 25.00, 874.00, 222.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050686,180.00, 76.00, 25.00, 878.00, 223.00, 18.00, 21.00, 86.00, 24.60, 45.30
1740050687,180.00, 75.00, 26.00, 875.00, 223.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050688,181.00, 75.00, 25.00, 875.00, 223.00, 17.00, 21.00, 86.00, 24.60, 45.30
1740050689,181.00, 75.00, 26.00, 879.00, 222.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050690,180.00, 76.00, 25.00, 879.00, 222.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050691,180.00, 76.00, 26.00, 878.00, 222.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050692,181.00, 76.00, 25.00, 878.00, 224.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050693,181.00, 75.00, 26.00, 875.00, 222.00, 18.00, 20.00, 86.00, 24.60, 45.30
1740050694,181.00, 75.00, 24.00, 876.00, 223.00, 17.00, 21.00, 86.00, 24.60, 45.30
1740050695,181.00, 76.00, 25.00, 879.00, 224.00, 17.00, 20.00, 86.00, 24.60, 45.30
1740050696,180.00, 76.00, 25.00, 874.00, 223.00, 18.00, 20.00, 85.00, 24.60, 45.30
1740050697,181.00, 75.00, 24.00, 875.00, 223.00, 17.00, 21.00, 86.00, 24.60, 45.30
1740050698,180.00, 76.00, 25.00, 879.00, 222.00, 18.00, 20.00, 85.00, 24.60, 45.30
1740050699,181.00, 76.00, 24.00, 874.00, 223.00, 17.00, 20.00, 85.00, 24.60, 45.30
