Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1740050753,162.00, 69.00, 22.00, 827.00, 208.00, 15.00, 18.00, 79.00, 25.00, 44.90
1740050754,176.00, 75.00, 24.00, 880.00, 220.00, 17.00, 20.00, 83.00, 25.00, 44.90
1740050755,177.00, 75.00, 25.00, 877.00, 221.00, 17.00, 20.00, 83.00, 25.00, 44.90
1740050756,176.00, 75.00, 25.00, 875.00, 220.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050757,176.00, 76.00, 25.00, 879.00, 220.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050758,176.00, 76.00, 26.00, 876.00, 221.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050759,176.00, 76.00, 25.00, 875.00, 222.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050760,177.00, 75.00, 26.00, 877.00, 222.00, 17.00, 20.00, 83.00, 25.00, 44.90
1740050761,178.00, 75.00, 25.00, 881.00, 222.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050762,177.00, 76.00, 25.00, 879.00, 222.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050763,177.00, 76.00, 25.00, 875.00, 222.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050764,178.00, 76.00, 25.00, 876.00, 223.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050765,178.00, 75.00, 26.00, 876.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050766,177.00, 76.00, 25.00, 879.00, 222.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050767,178.00, 76.00, 25.00, 876.00, 223.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050768,177.00, 75.00, 25.00, 877.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050769,178.00, 76.00, 24.00, 878.00, 223.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050770,178.00, 76.00, 25.00, 877.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050771,178.00, 75.00, 25.00, 879.00, 223.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050772,178.00, 76.00, 25.00, 876.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050773,178.00, 75.00, 25.00, 875.00, 222.00, 17.00, 21.00, 84.00, 25.00, 44.90
1740050774,177.00, 76.00, 25.00, 875.00, 223.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050775,178.00, 75.00, 25.00, 876.00, 222.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050776,178.00, 75.00, 24.00, 876.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050777,177.00, 75.00, 25.00, 873.00, 221.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050778,178.00, 75.00, 25.00, 876.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050779,177.00, 76.00, 25.00, 875.00, 223.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050780,178.00, 74.00, 26.00, 876.00, 222.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050781,177.00, 74.00, 26.00, 876.00, 222.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050782,178.00, 75.00, 24.00, 877.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050783,178.00, 75.00, 24.00, 879.00, 222.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050784,178.00, 75.00, 24.00, 877.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050785,178.00, 75.00, 24.00, 876.00, 222.00, 17.00, 20.00, 83.00, 25.00, 44.90
1740050786,178.00, 75.00, 26.00, 876.00, 221.00, 17.00, 20.00, 83.00, 25.00, 44.90
1740050787,178.00, 75.00, 24.00, 881.00, 222.00, 17.00, 20.00, 83.00, 25.00, 44.90
1740050789,178.00, 75.00, 25.00, 877.00, 221.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050790,178.00, 74.00, 25.00, 880.00, 222.00, 17.00, 20.00, 84.00, 25.00, 44.90
1740050791,177.00, 75.00, 26.00, 876.00, 221.00, 18.00, 20.00, 83.00, 25.00, 44.90
1740050792,178.00, 75.00, 24.00, 879.00, 222.00, 18.00, 20.00, 84.00, 25.00, 44.90
1740050793,177.00, 75.00, 24.00, 875.00, 222.00, 17.00, 20.00, 83.00, 25.00, 44.90
