Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739964483,178.00, 81.00, 24.00, 809.00, 232.00, 16.00, 21.00, 92.00, 23.40, 44.00
1739964484,189.00, 88.00, 25.00, 840.00, 242.00, 17.00, 22.00, 96.00, 23.40, 44.00
1739964485,189.00, 87.00, 26.00, 846.00, 242.00, 17.00, 23.00, 95.00, 23.40, 44.00
1739964486,187.00, 88.00, 26.00, 840.00, 241.00, 18.00, 22.00, 95.00, 23.40, 44.00
1739964487,188.00, 87.00, 25.00, 845.00, 241.00, 17.00, 22.00, 95.00, 23.40, 44.00
1739964488,189.00, 87.00, 25.00, 841.00, 242.00, 17.00, 22.00, 95.00, 23.40, 44.00
1739964489,187.00, 87.00, 26.00, 841.00, 241.00, 17.00, 22.00, 95.00, 23.40, 44.00
1739964490,188.00, 87.00, 25.00, 844.00, 241.00, 17.00, 23.00, 96.00, 23.40, 44.00
1739964491,187.00, 88.00, 25.00, 840.00, 242.00, 18.00, 23.00, 95.00, 23.40, 44.00
1739964492,188.00, 86.00, 26.00, 841.00, 241.00, 17.00, 23.00, 95.00, 23.40, 44.00
1739964493,188.00, 87.00, 26.00, 841.00, 241.00, 18.00, 22.00, 95.00, 23.40, 44.00
1739964494,189.00, 87.00, 25.00, 844.00, 242.00, 18.00, 22.00, 96.00, 23.40, 44.00
1739964495,189.00, 87.00, 26.00, 840.00, 241.00, 18.00, 23.00, 96.00, 23.40, 44.00
1739964496,189.00, 87.00, 25.00, 840.00, 242.00, 18.00, 23.00, 96.00, 23.40, 44.00
1739964497,189.00, 86.00, 26.00, 844.00, 242.00, 17.00, 23.00, 96.00, 23.40, 44.00
1739964498,188.00, 88.00, 26.00, 840.00, 242.00, 18.00, 23.00, 96.00, 23.40, 44.00
1739964499,190.00, 87.00, 25.00, 840.00, 242.00, 17.00, 23.00, 97.00, 23.40, 44.00
1739964500,190.00, 87.00, 26.00, 842.00, 243.00, 17.00, 23.00, 96.00, 23.40, 44.00
1739964501,190.00, 86.00, 27.00, 843.00, 242.00, 17.00, 23.00, 97.00, 23.40, 44.00
1739964502,190.00, 87.00, 26.00, 845.00, 242.00, 17.00, 23.00, 97.00, 23.40, 44.00
1739964503,191.00, 88.00, 25.00, 840.00, 242.00, 17.00, 23.00, 96.00, 23.40, 44.00
1739964504,191.00, 88.00, 25.00, 839.00, 243.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964505,191.00, 88.00, 25.00, 840.00, 243.00, 18.00, 23.00, 96.00, 23.40, 44.00
1739964506,191.00, 88.00, 25.00, 840.00, 244.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964507,190.00, 87.00, 26.00, 840.00, 242.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964508,192.00, 88.00, 25.00, 840.00, 243.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964509,191.00, 89.00, 26.00, 843.00, 243.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964510,191.00, 87.00, 26.00, 842.00, 244.00, 17.00, 22.00, 97.00, 23.40, 44.00
1739964511,190.00, 89.00, 25.00, 841.00, 244.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964512,192.00, 88.00, 25.00, 840.00, 243.00, 17.00, 23.00, 97.00, 23.40, 44.00
1739964513,191.00, 87.00, 26.00, 842.00, 243.00, 17.00, 23.00, 97.00, 23.40, 44.00
1739964514,192.00, 87.00, 26.00, 840.00, 243.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964515,192.00, 88.00, 25.00, 840.00, 243.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964516,191.00, 88.00, 26.00, 841.00, 244.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964517,192.00, 88.00, 25.00, 844.00, 243.00, 17.00, 22.00, 97.00, 23.40, 44.00
1739964518,192.00, 88.00, 25.00, 840.00, 243.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964519,192.00, 87.00, 26.00, 841.00, 243.00, 17.00, 23.00, 97.00, 23.40, 44.00
1739964520,191.00, 87.00, 26.00, 840.00, 243.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964521,192.00, 88.00, 25.00, 842.00, 244.00, 18.00, 23.00, 97.00, 23.40, 44.00
1739964522,192.00, 87.00, 26.00, 840.00, 243.00, 17.00, 23.00, 97.00, 23.40, 44.00
