Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1739964576,176.00, 81.00, 22.00, 807.00, 232.00, 16.00, 20.00, 92.00, 23.50, 43.90
1739964577,187.00, 87.00, 25.00, 842.00, 241.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964578,187.00, 87.00, 25.00, 840.00, 241.00, 17.00, 22.00, 95.00, 23.50, 43.90
1739964579,186.00, 86.00, 26.00, 842.00, 241.00, 17.00, 22.00, 95.00, 23.50, 43.90
1739964580,186.00, 87.00, 26.00, 842.00, 240.00, 18.00, 23.00, 95.00, 23.50, 43.90
1739964581,185.00, 88.00, 25.00, 841.00, 241.00, 18.00, 22.00, 95.00, 23.50, 43.90
1739964582,185.00, 86.00, 26.00, 844.00, 241.00, 17.00, 23.00, 94.00, 23.50, 43.90
1739964583,186.00, 87.00, 25.00, 844.00, 241.00, 18.00, 22.00, 95.00, 23.50, 43.90
1739964584,187.00, 87.00, 25.00, 843.00, 242.00, 18.00, 23.00, 95.00, 23.50, 43.90
1739964585,187.00, 86.00, 26.00, 843.00, 242.00, 18.00, 23.00, 95.00, 23.50, 43.90
1739964586,186.00, 86.00, 26.00, 840.00, 240.00, 18.00, 23.00, 95.00, 23.50, 43.90
1739964587,186.00, 86.00, 26.00, 843.00, 241.00, 17.00, 23.00, 96.00, 23.50, 43.90
1739964588,187.00, 87.00, 25.00, 843.00, 242.00, 17.00, 23.00, 95.00, 23.50, 43.90
1739964589,187.00, 87.00, 25.00, 841.00, 241.00, 18.00, 22.00, 96.00, 23.50, 43.90
1739964590,187.00, 86.00, 26.00, 844.00, 241.00, 17.00, 23.00, 96.00, 23.50, 43.90
1739964591,186.00, 88.00, 25.00, 845.00, 241.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964592,187.00, 86.00, 26.00, 841.00, 241.00, 18.00, 22.00, 96.00, 23.50, 43.90
1739964593,188.00, 87.00, 25.00, 842.00, 242.00, 17.00, 22.00, 96.00, 23.50, 43.90
1739964594,187.00, 87.00, 26.00, 842.00, 242.00, 17.00, 23.00, 96.00, 23.50, 43.90
1739964595,187.00, 87.00, 26.00, 844.00, 242.00, 17.00, 22.00, 96.00, 23.50, 43.90
1739964596,187.00, 87.00, 25.00, 841.00, 242.00, 18.00, 22.00, 96.00, 23.50, 43.90
1739964597,187.00, 88.00, 26.00, 843.00, 243.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964598,187.00, 87.00, 25.00, 845.00, 241.00, 18.00, 23.00, 95.00, 23.50, 43.90
1739964599,187.00, 88.00, 26.00, 840.00, 241.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964600,188.00, 87.00, 25.00, 842.00, 242.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964601,188.00, 87.00, 25.00, 844.00, 241.00, 18.00, 23.00, 97.00, 23.50, 43.90
1739964602,189.00, 87.00, 25.00, 840.00, 242.00, 17.00, 23.00, 96.00, 23.50, 43.90
1739964603,188.00, 87.00, 25.00, 840.00, 241.00, 17.00, 23.00, 96.00, 23.50, 43.90
1739964604,188.00, 88.00, 26.00, 845.00, 242.00, 18.00, 23.00, 97.00, 23.50, 43.90
1739964605,187.00, 87.00, 25.00, 845.00, 243.00, 18.00, 23.00, 97.00, 23.50, 43.90
1739964606,188.00, 87.00, 25.00, 841.00, 243.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964607,189.00, 87.00, 24.00, 846.00, 242.00, 17.00, 22.00, 97.00, 23.50, 43.90
1739964608,188.00, 88.00, 26.00, 842.00, 242.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964609,188.00, 88.00, 25.00, 841.00, 242.00, 18.00, 23.00, 97.00, 23.50, 43.90
1739964610,188.00, 88.00, 26.00, 841.00, 243.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964611,189.00, 88.00, 25.00, 842.00, 242.00, 18.00, 23.00, 96.00, 23.50, 43.90
1739964612,189.00, 87.00, 25.00, 847.00, 242.00, 17.00, 23.00, 96.00, 23.50, 43.90
1739964613,190.00, 87.00, 25.00, 841.00, 242.00, 18.00, 23.00, 97.00, 23.50, 43.90
1739964614,189.00, 88.00, 25.00, 839.00, 243.00, 17.00, 23.00, 97.00, 23.50, 43.90
1739964615,189.00, 88.00, 26.00, 844.00, 242.00, 18.00, 23.00, 96.00, 23.50, 43.90
