Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1733564199,81,76,28,331,23,127,143,48,31.1,30.4
1733564200,79,75,27,330,23,126,142,48,31.1,30.4
1733564201,79,77,28,331,23,128,143,49,31.1,30.4
1733564202,79,77,28,331,21,127,142,50,31.1,30.4
1733564203,78,75,26,331,21,125,143,48,31.1,30.4
1733564204,78,76,28,330,23,126,144,48,31.1,30.4
1733564205,78,76,28,331,23,128,141,48,31.1,30.4
1733564206,78,77,28,330,23,125,143,48,31.1,30.4
1733564207,79,76,28,331,23,126,142,51,31.1,30.4
1733564208,79,75,28,331,23,127,144,50,31.1,30.4
1733564209,79,76,28,331,23,126,144,49,31.1,30.4
1733564210,78,76,27,330,23,126,141,48,31.1,30.4
1733564211,79,77,28,331,23,126,145,48,31.1,30.4
1733564212,80,78,28,331,22,128,144,49,31.1,30.4
1733564213,78,75,27,330,23,127,143,48,31.1,30.4
1733564214,79,76,28,331,23,127,143,48,31.1,30.4
1733564215,78,77,28,331,23,127,143,48,31.1,30.4
1733564216,78,76,28,330,23,127,142,48,31.1,30.4
1733564217,79,76,28,332,23,127,144,48,31.1,30.4
1733564218,78,77,28,331,23,127,143,48,31.1,30.4
1733564219,79,78,28,331,23,128,143,48,31.1,30.4
1733564220,79,77,27,330,23,127,143,49,31.1,30.4
1733564221,79,77,27,331,23,131,143,51,31.1,30.4
1733564222,77,76,27,331,23,126,143,48,31.1,30.4
1733564223,76,76,27,330,23,127,144,50,31.1,30.4
1733564224,79,77,28,332,22,126,144,49,31.1,30.4
1733564225,79,76,26,330,23,125,143,48,31.1,30.4
1733564226,78,76,27,330,23,127,142,48,31.1,30.4
1733564227,79,76,27,331,22,125,142,48,31.1,30.4
1733564228,78,77,28,330,22,126,146,48,31.1,30.4
1733564240,79,77,28,331,23,128,144,49,31,30.5
1733564241,79,77,28,330,23,127,144,48,31,30.5
1733564242,78,77,28,331,23,126,144,48,31,30.5
1733564243,79,78,29,331,22,127,144,49,31,30.5
1733564244,78,77,28,332,23,127,146,48,31,30.5
1733564245,79,78,28,331,23,127,147,48,31,30.5
1733564246,78,77,30,332,24,128,144,48,31,30.5
1733564247,79,78,28,332,28,128,143,50,31,30.5
1733564248,78,76,28,329,22,128,144,49,31,30.5
1733564249,80,78,28,332,23,128,146,49,31,30.5
1733564250,79,78,27,331,23,128,145,49,31,30.5
1733564251,77,77,28,330,23,126,144,47,31,30.5
1733564252,78,77,28,331,22,126,145,49,31,30.5
1733564253,78,78,28,331,22,126,144,49,31,30.5
1733564254,78,77,26,331,23,127,147,49,31,30.5
1733564255,78,77,26,331,22,125,143,48,31,30.5
1733564256,78,78,28,331,23,127,145,49,31,30.5
1733564257,79,78,28,331,22,128,147,48,31,30.5
1733564258,78,77,27,330,23,126,144,48,31,30.5
1733564259,78,77,28,332,23,127,144,48,31,30.5
1733564260,79,79,29,335,22,129,148,49,31,30.5
1733564261,79,79,27,334,24,129,145,50,31,30.5
1733564262,79,78,27,334,24,128,145,48,31,30.5
1733564264,79,78,28,335,23,128,147,50,31,30.5
1733564265,80,79,28,335,23,129,145,50,31,30.5
1733564266,80,80,26,336,23,129,147,50,31,30.5
1733564267,82,79,27,335,23,128,146,49,31,30.5
