Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1734776064,79.00, 116.00, 27.00, 380.00, 25.00, 214.00, 157.00, 62.00, 50.50, 23.40
1734776065,81.00, 118.00, 28.00, 383.00, 25.00, 218.00, 159.00, 63.00, 50.50, 23.40
1734776066,79.00, 116.00, 28.00, 382.00, 25.00, 217.00, 157.00, 62.00, 50.50, 23.40
1734776067,79.00, 117.00, 27.00, 381.00, 25.00, 217.00, 160.00, 63.00, 50.50, 23.40
1734776068,80.00, 118.00, 28.00, 384.00, 25.00, 218.00, 161.00, 63.00, 50.50, 23.40
1734776069,80.00, 118.00, 28.00, 383.00, 25.00, 219.00, 158.00, 62.00, 50.50, 23.40
1734776070,80.00, 118.00, 29.00, 384.00, 25.00, 220.00, 162.00, 64.00, 50.50, 23.40
1734776071,80.00, 118.00, 28.00, 385.00, 26.00, 219.00, 161.00, 64.00, 50.50, 23.40
1734776072,79.00, 119.00, 29.00, 385.00, 25.00, 219.00, 163.00, 64.00, 50.50, 23.40
1734776073,79.00, 118.00, 29.00, 385.00, 25.00, 220.00, 162.00, 64.00, 50.50, 23.40
1734776074,78.00, 118.00, 29.00, 386.00, 25.00, 220.00, 164.00, 64.00, 50.50, 23.40
1734776075,81.00, 119.00, 29.00, 385.00, 25.00, 220.00, 163.00, 64.00, 50.50, 23.40
1734776077,80.00, 120.00, 28.00, 385.00, 26.00, 221.00, 164.00, 66.00, 50.50, 23.40
1734776078,79.00, 119.00, 28.00, 384.00, 25.00, 221.00, 164.00, 64.00, 50.50, 23.40
1734776079,80.00, 119.00, 29.00, 386.00, 25.00, 218.00, 161.00, 64.00, 50.50, 23.40
1734776080,80.00, 120.00, 29.00, 385.00, 25.00, 219.00, 164.00, 64.00, 50.50, 23.40
1734776081,80.00, 120.00, 27.00, 385.00, 26.00, 220.00, 161.00, 64.00, 50.50, 23.40
1734776082,80.00, 119.00, 28.00, 386.00, 25.00, 221.00, 166.00, 64.00, 50.50, 23.40
1734776083,80.00, 120.00, 29.00, 386.00, 26.00, 221.00, 163.00, 64.00, 50.50, 23.40
1734776084,80.00, 120.00, 27.00, 386.00, 26.00, 221.00, 163.00, 64.00, 50.50, 23.40
1734776085,81.00, 120.00, 28.00, 383.00, 26.00, 219.00, 163.00, 63.00, 50.50, 23.40
1734776086,80.00, 119.00, 28.00, 385.00, 25.00, 220.00, 165.00, 64.00, 50.50, 23.40
1734776087,79.00, 118.00, 28.00, 382.00, 24.00, 218.00, 163.00, 63.00, 50.50, 23.40
1734776088,80.00, 118.00, 28.00, 383.00, 25.00, 218.00, 162.00, 64.00, 50.50, 23.40
1734776089,80.00, 118.00, 28.00, 381.00, 25.00, 218.00, 162.00, 64.00, 50.50, 23.40
1734776090,79.00, 118.00, 28.00, 381.00, 25.00, 218.00, 161.00, 64.00, 50.50, 23.40
1734776091,78.00, 117.00, 28.00, 379.00, 25.00, 217.00, 162.00, 63.00, 50.50, 23.40
1734776092,77.00, 116.00, 28.00, 376.00, 24.00, 216.00, 160.00, 64.00, 50.50, 23.40
1734776093,78.00, 117.00, 28.00, 378.00, 25.00, 217.00, 163.00, 65.00, 50.50, 23.40
1734776094,79.00, 119.00, 28.00, 380.00, 24.00, 218.00, 163.00, 65.00, 50.50, 23.40
