Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735203848,65.00, 117.00, 24.00, 359.00, 24.00, 173.00, 170.00, 55.00, 57.10, 20.90
1735203849,65.00, 117.00, 24.00, 359.00, 24.00, 172.00, 169.00, 56.00, 57.10, 20.90
1735203850,65.00, 118.00, 24.00, 360.00, 25.00, 172.00, 170.00, 56.00, 57.10, 20.90
1735203851,68.00, 117.00, 27.00, 359.00, 24.00, 173.00, 169.00, 57.00, 57.10, 20.90
1735203852,65.00, 117.00, 24.00, 359.00, 24.00, 173.00, 170.00, 56.00, 57.10, 20.90
1735203853,66.00, 116.00, 24.00, 359.00, 24.00, 172.00, 169.00, 56.00, 57.10, 20.90
1735203854,65.00, 117.00, 23.00, 358.00, 24.00, 172.00, 170.00, 56.00, 57.10, 20.90
1735203855,65.00, 117.00, 24.00, 360.00, 24.00, 172.00, 169.00, 56.00, 57.10, 20.90
1735203856,65.00, 118.00, 24.00, 359.00, 23.00, 172.00, 169.00, 55.00, 57.10, 20.90
1735203857,65.00, 118.00, 24.00, 359.00, 24.00, 172.00, 168.00, 56.00, 57.10, 20.90
1735203858,65.00, 118.00, 25.00, 359.00, 24.00, 172.00, 169.00, 57.00, 57.10, 20.90
1735203859,65.00, 117.00, 24.00, 359.00, 24.00, 174.00, 169.00, 56.00, 57.10, 20.90
1735203860,65.00, 116.00, 24.00, 359.00, 24.00, 171.00, 168.00, 55.00, 57.10, 20.90
1735203861,65.00, 117.00, 24.00, 359.00, 24.00, 172.00, 169.00, 55.00, 57.10, 20.90
1735203862,65.00, 116.00, 25.00, 358.00, 24.00, 172.00, 169.00, 55.00, 57.10, 20.90
1735203863,64.00, 116.00, 23.00, 358.00, 22.00, 171.00, 167.00, 55.00, 57.10, 20.90
1735203864,65.00, 116.00, 24.00, 358.00, 24.00, 171.00, 169.00, 56.00, 57.10, 20.90
1735203865,66.00, 116.00, 24.00, 358.00, 24.00, 172.00, 168.00, 55.00, 57.10, 20.90
1735203866,64.00, 116.00, 24.00, 359.00, 24.00, 171.00, 168.00, 55.00, 57.10, 20.90
1735203867,65.00, 116.00, 24.00, 358.00, 24.00, 171.00, 168.00, 55.00, 57.10, 20.90
1735203868,66.00, 116.00, 24.00, 358.00, 24.00, 171.00, 167.00, 57.00, 57.10, 20.90
1735203869,64.00, 116.00, 24.00, 359.00, 24.00, 171.00, 167.00, 55.00, 57.10, 20.90
1735203870,66.00, 117.00, 24.00, 359.00, 24.00, 171.00, 168.00, 56.00, 57.10, 20.90
1735203871,64.00, 117.00, 26.00, 358.00, 24.00, 172.00, 168.00, 55.00, 57.10, 20.90
1735203872,65.00, 115.00, 24.00, 359.00, 24.00, 171.00, 167.00, 56.00, 57.10, 20.90
1735203873,65.00, 117.00, 24.00, 358.00, 24.00, 170.00, 168.00, 54.00, 57.10, 20.90
1735203874,65.00, 117.00, 25.00, 358.00, 24.00, 171.00, 167.00, 56.00, 57.10, 20.90
1735203875,65.00, 117.00, 24.00, 359.00, 24.00, 170.00, 169.00, 54.00, 57.10, 20.90
1735203876,66.00, 116.00, 24.00, 357.00, 24.00, 169.00, 168.00, 54.00, 57.10, 20.90
1735203877,64.00, 116.00, 24.00, 357.00, 24.00, 169.00, 169.00, 55.00, 57.10, 20.90
