Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735210935,93.0,211.0,42.0,511.0,37.0,331.0,180.0,98.0,54.5,24.6
1735210936,93.0,210.0,42.0,510.0,38.0,331.0,179.0,97.0,54.5,24.6
1735210937,93.0,207.0,42.0,509.0,38.0,329.0,178.0,95.0,54.5,24.6
1735210938,91.0,206.0,41.0,507.0,37.0,329.0,177.0,95.0,54.5,24.6
1735210939,92.0,204.0,41.0,507.0,36.0,328.0,178.0,94.0,54.5,24.6
1735210940,92.0,204.0,40.0,507.0,37.0,327.0,178.0,93.0,54.5,24.6
1735210941,90.0,201.0,40.0,506.0,36.0,326.0,177.0,93.0,54.5,24.6
1735210942,91.0,199.0,41.0,505.0,37.0,325.0,178.0,93.0,54.5,24.6
1735210943,91.0,198.0,40.0,506.0,37.0,324.0,178.0,91.0,54.5,24.6
1735210944,91.0,196.0,40.0,504.0,36.0,323.0,177.0,91.0,54.5,24.6
1735210945,90.0,196.0,40.0,503.0,36.0,321.0,177.0,90.0,54.5,24.6
1735210946,90.0,194.0,39.0,502.0,35.0,321.0,176.0,90.0,54.5,24.6
1735210947,90.0,193.0,39.0,501.0,36.0,320.0,177.0,89.0,54.5,24.6
1735210948,90.0,192.0,39.0,500.0,36.0,317.0,177.0,90.0,54.5,24.6
1735210949,89.0,191.0,39.0,500.0,36.0,317.0,178.0,89.0,54.5,24.6
1735210950,89.0,190.0,39.0,499.0,36.0,316.0,177.0,89.0,54.5,24.6
1735210951,89.0,190.0,39.0,500.0,35.0,315.0,177.0,86.0,54.5,24.6
1735210952,88.0,189.0,38.0,498.0,36.0,314.0,176.0,87.0,54.5,24.6
1735210953,89.0,187.0,38.0,497.0,36.0,312.0,177.0,87.0,54.5,24.6
1735210954,89.0,187.0,38.0,496.0,36.0,311.0,178.0,86.0,54.5,24.6
1735210955,89.0,186.0,38.0,495.0,35.0,310.0,176.0,86.0,54.5,24.6
1735210956,88.0,185.0,37.0,496.0,36.0,309.0,177.0,86.0,54.5,24.6
1735210957,88.0,184.0,38.0,494.0,34.0,307.0,176.0,86.0,54.5,24.6
1735210958,87.0,184.0,37.0,494.0,34.0,307.0,176.0,85.0,54.5,24.6
1735210959,87.0,182.0,37.0,493.0,35.0,305.0,176.0,84.0,54.5,24.6
1735210960,88.0,181.0,38.0,490.0,35.0,304.0,175.0,84.0,54.5,24.6
1735210961,87.0,180.0,38.0,492.0,35.0,303.0,175.0,83.0,54.5,24.6
1735210962,88.0,180.0,36.0,491.0,35.0,301.0,176.0,83.0,54.5,24.6
1735210963,88.0,179.0,38.0,490.0,35.0,299.0,176.0,84.0,54.5,24.6
1735210964,87.0,180.0,35.0,490.0,34.0,298.0,176.0,83.0,54.5,24.6
