Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735209929,73.00, 169.00, 30.00, 440.00, 31.00, 230.00, 173.00, 83.00, 57.00, 22.40
1735209931,74.00, 169.00, 30.00, 440.00, 29.00, 228.00, 173.00, 79.00, 57.00, 22.40
1735209932,75.00, 169.00, 30.00, 440.00, 29.00, 227.00, 174.00, 79.00, 57.00, 22.40
1735209933,74.00, 169.00, 28.00, 438.00, 30.00, 232.00, 174.00, 78.00, 57.00, 22.40
1735209934,74.00, 171.00, 31.00, 442.00, 30.00, 230.00, 173.00, 81.00, 57.00, 22.40
1735209935,75.00, 167.00, 31.00, 441.00, 30.00, 229.00, 174.00, 80.00, 57.00, 22.40
1735209936,75.00, 168.00, 30.00, 440.00, 29.00, 229.00, 173.00, 79.00, 57.00, 22.40
1735209937,74.00, 169.00, 29.00, 443.00, 30.00, 228.00, 174.00, 79.00, 57.00, 22.40
1735209938,74.00, 166.00, 30.00, 436.00, 31.00, 225.00, 170.00, 78.00, 57.00, 22.40
1735209939,72.00, 167.00, 28.00, 436.00, 30.00, 224.00, 171.00, 78.00, 57.00, 22.40
1735209940,73.00, 165.00, 30.00, 436.00, 29.00, 224.00, 171.00, 78.00, 57.00, 22.40
1735209941,72.00, 165.00, 29.00, 436.00, 29.00, 224.00, 171.00, 78.00, 57.00, 22.40
1735209942,73.00, 166.00, 29.00, 435.00, 30.00, 224.00, 171.00, 78.00, 57.00, 22.40
1735209943,73.00, 165.00, 30.00, 436.00, 30.00, 224.00, 171.00, 77.00, 57.00, 22.40
1735209944,74.00, 165.00, 29.00, 436.00, 29.00, 224.00, 171.00, 79.00, 57.00, 22.40
1735209945,73.00, 168.00, 30.00, 440.00, 30.00, 226.00, 174.00, 78.00, 57.00, 22.40
1735209946,74.00, 168.00, 31.00, 441.00, 30.00, 228.00, 173.00, 79.00, 57.00, 22.40
1735209947,74.00, 169.00, 29.00, 441.00, 30.00, 227.00, 174.00, 78.00, 57.00, 22.40
1735209948,75.00, 168.00, 30.00, 442.00, 30.00, 227.00, 174.00, 77.00, 57.00, 22.40
1735209949,74.00, 168.00, 30.00, 442.00, 30.00, 227.00, 173.00, 79.00, 57.00, 22.40
1735209950,78.00, 168.00, 29.00, 442.00, 30.00, 227.00, 173.00, 77.00, 57.00, 22.40
1735209951,75.00, 168.00, 30.00, 443.00, 30.00, 226.00, 173.00, 78.00, 57.00, 22.40
1735209952,75.00, 167.00, 28.00, 443.00, 30.00, 226.00, 173.00, 78.00, 57.00, 22.40
1735209953,73.00, 169.00, 31.00, 442.00, 30.00, 226.00, 172.00, 77.00, 57.00, 22.40
1735209954,75.00, 168.00, 29.00, 443.00, 30.00, 226.00, 172.00, 78.00, 57.00, 22.40
1735209955,76.00, 168.00, 30.00, 443.00, 31.00, 226.00, 172.00, 78.00, 57.00, 22.40
1735209956,75.00, 167.00, 31.00, 444.00, 32.00, 226.00, 173.00, 75.00, 57.00, 22.40
1735209957,78.00, 169.00, 31.00, 445.00, 30.00, 227.00, 173.00, 77.00, 57.00, 22.40
1735209958,76.00, 169.00, 30.00, 444.00, 32.00, 226.00, 174.00, 78.00, 57.00, 22.40
1735209959,75.00, 166.00, 36.00, 443.00, 35.00, 214.00, 179.00, 74.00, 57.00, 22.40
1735209971,76.00, 163.00, 30.00, 442.00, 29.00, 222.00, 171.00, 76.00, 55.70, 22.80
1735209972,74.00, 161.00, 28.00, 435.00, 29.00, 219.00, 168.00, 73.00, 55.70, 22.80
1735209973,73.00, 160.00, 28.00, 434.00, 29.00, 217.00, 168.00, 73.00, 55.70, 22.80
1735209974,74.00, 164.00, 29.00, 440.00, 28.00, 220.00, 171.00, 74.00, 55.70, 22.80
1735209975,75.00, 163.00, 30.00, 441.00, 30.00, 221.00, 170.00, 75.00, 55.70, 22.80
1735209976,75.00, 163.00, 29.00, 440.00, 29.00, 221.00, 171.00, 75.00, 55.70, 22.80
1735209977,74.00, 163.00, 30.00, 440.00, 29.00, 220.00, 170.00, 75.00, 55.70, 22.80
1735209978,75.00, 162.00, 29.00, 440.00, 29.00, 220.00, 171.00, 74.00, 55.70, 22.80
1735209979,75.00, 162.00, 30.00, 440.00, 29.00, 220.00, 171.00, 74.00, 55.70, 22.80
1735209980,74.00, 162.00, 30.00, 440.00, 30.00, 218.00, 171.00, 75.00, 55.70, 22.80
1735209981,76.00, 162.00, 29.00, 440.00, 30.00, 219.00, 170.00, 75.00, 55.70, 22.80
1735209982,75.00, 162.00, 29.00, 440.00, 29.00, 218.00, 171.00, 74.00, 55.70, 22.80
1735209983,75.00, 163.00, 29.00, 441.00, 30.00, 219.00, 170.00, 76.00, 55.70, 22.80
1735209984,75.00, 162.00, 29.00, 440.00, 29.00, 218.00, 171.00, 74.00, 55.70, 22.80
1735209985,75.00, 162.00, 29.00, 440.00, 29.00, 217.00, 170.00, 74.00, 55.70, 22.80
