Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735295626,58.00, 96.00, 16.00, 297.00, 19.00, 118.00, 79.00, 30.00, 55.10, 24.20
1735295627,57.00, 96.00, 16.00, 296.00, 18.00, 117.00, 78.00, 30.00, 55.10, 24.20
1735295628,56.00, 95.00, 16.00, 295.00, 19.00, 118.00, 78.00, 31.00, 55.10, 24.20
1735295629,57.00, 95.00, 17.00, 293.00, 19.00, 117.00, 77.00, 29.00, 55.10, 24.20
1735295630,56.00, 94.00, 16.00, 291.00, 19.00, 115.00, 78.00, 29.00, 55.10, 24.20
1735295631,56.00, 93.00, 16.00, 289.00, 18.00, 116.00, 77.00, 29.00, 55.10, 24.20
1735295632,55.00, 92.00, 16.00, 287.00, 18.00, 114.00, 78.00, 29.00, 55.10, 24.20
1735295633,56.00, 94.00, 15.00, 288.00, 19.00, 114.00, 76.00, 30.00, 55.10, 24.20
1735295634,55.00, 91.00, 15.00, 285.00, 18.00, 113.00, 78.00, 29.00, 55.10, 24.20
1735295635,56.00, 92.00, 15.00, 285.00, 18.00, 113.00, 78.00, 30.00, 55.10, 24.20
1735295636,56.00, 93.00, 17.00, 288.00, 18.00, 114.00, 79.00, 30.00, 55.10, 24.20
1735295637,54.00, 93.00, 16.00, 285.00, 18.00, 113.00, 77.00, 30.00, 55.10, 24.20
1735295638,56.00, 94.00, 17.00, 288.00, 19.00, 114.00, 79.00, 30.00, 55.10, 24.20
1735295639,55.00, 91.00, 16.00, 283.00, 19.00, 112.00, 77.00, 28.00, 55.10, 24.20
1735295640,55.00, 93.00, 16.00, 287.00, 18.00, 113.00, 77.00, 30.00, 55.10, 24.20
1735295641,55.00, 93.00, 16.00, 286.00, 18.00, 114.00, 77.00, 29.00, 55.10, 24.20
1735295642,56.00, 93.00, 17.00, 285.00, 18.00, 114.00, 79.00, 29.00, 55.10, 24.20
1735295643,56.00, 95.00, 17.00, 292.00, 19.00, 116.00, 80.00, 30.00, 55.10, 24.20
1735295644,56.00, 96.00, 16.00, 293.00, 19.00, 118.00, 78.00, 29.00, 55.10, 24.20
1735295645,56.00, 97.00, 15.00, 298.00, 19.00, 118.00, 79.00, 32.00, 55.10, 24.20
1735295646,57.00, 97.00, 17.00, 299.00, 19.00, 120.00, 80.00, 31.00, 55.10, 24.20
1735295647,57.00, 99.00, 18.00, 301.00, 20.00, 121.00, 80.00, 31.00, 55.10, 24.20
1735295648,60.00, 99.00, 17.00, 302.00, 19.00, 121.00, 80.00, 31.00, 55.10, 24.20
1735295649,58.00, 98.00, 17.00, 302.00, 19.00, 123.00, 80.00, 31.00, 55.10, 24.20
1735295650,59.00, 98.00, 16.00, 301.00, 19.00, 121.00, 80.00, 31.00, 55.10, 24.20
1735295651,58.00, 100.00, 16.00, 303.00, 20.00, 122.00, 80.00, 30.00, 55.10, 24.20
1735295652,59.00, 99.00, 16.00, 304.00, 19.00, 121.00, 80.00, 30.00, 55.10, 24.20
1735295653,58.00, 99.00, 17.00, 304.00, 19.00, 121.00, 80.00, 32.00, 55.10, 24.20
1735295654,58.00, 98.00, 16.00, 303.00, 20.00, 121.00, 80.00, 31.00, 55.10, 24.20
1735295655,59.00, 99.00, 17.00, 305.00, 19.00, 122.00, 80.00, 30.00, 55.10, 24.20
1735295667,61.00, 98.00, 17.00, 306.00, 19.00, 126.00, 80.00, 30.00, 55.00, 24.30
1735295668,60.00, 98.00, 16.00, 306.00, 20.00, 119.00, 79.00, 29.00, 55.00, 24.30
1735295669,60.00, 98.00, 16.00, 307.00, 19.00, 120.00, 80.00, 29.00, 55.00, 24.30
1735295670,58.00, 98.00, 16.00, 306.00, 19.00, 121.00, 80.00, 29.00, 55.00, 24.30
1735295671,60.00, 97.00, 16.00, 306.00, 19.00, 120.00, 80.00, 30.00, 55.00, 24.30
1735295672,60.00, 97.00, 17.00, 304.00, 20.00, 119.00, 80.00, 28.00, 55.00, 24.30
1735295673,60.00, 98.00, 17.00, 305.00, 20.00, 119.00, 81.00, 29.00, 55.00, 24.30
1735295674,59.00, 97.00, 18.00, 305.00, 19.00, 119.00, 79.00, 30.00, 55.00, 24.30
1735295675,59.00, 96.00, 16.00, 304.00, 20.00, 119.00, 79.00, 29.00, 55.00, 24.30
1735295676,62.00, 96.00, 17.00, 303.00, 20.00, 119.00, 81.00, 30.00, 55.00, 24.30
1735295677,59.00, 95.00, 16.00, 303.00, 19.00, 119.00, 81.00, 29.00, 55.00, 24.30
1735295678,59.00, 97.00, 18.00, 304.00, 19.00, 118.00, 80.00, 29.00, 55.00, 24.30
