Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735379828,57.00, 173.00, 97.00, 19.00, 290.00, 23.00, 187.00, 53.00, 58.30, 28.20
1735379829,57.00, 176.00, 97.00, 19.00, 290.00, 23.00, 188.00, 52.00, 58.30, 28.20
1735379830,58.00, 176.00, 96.00, 19.00, 289.00, 23.00, 188.00, 52.00, 58.30, 28.20
1735379831,57.00, 175.00, 97.00, 18.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379832,56.00, 175.00, 96.00, 19.00, 290.00, 23.00, 187.00, 52.00, 58.30, 28.20
1735379833,58.00, 175.00, 97.00, 18.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379834,57.00, 176.00, 96.00, 19.00, 290.00, 23.00, 187.00, 53.00, 58.30, 28.20
1735379835,57.00, 177.00, 96.00, 19.00, 290.00, 23.00, 189.00, 52.00, 58.30, 28.20
1735379836,57.00, 175.00, 96.00, 19.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379837,57.00, 175.00, 96.00, 19.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379838,58.00, 175.00, 97.00, 18.00, 291.00, 23.00, 187.00, 53.00, 58.30, 28.20
1735379839,56.00, 176.00, 97.00, 19.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379840,56.00, 176.00, 97.00, 19.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379841,57.00, 175.00, 96.00, 18.00, 290.00, 23.00, 188.00, 52.00, 58.30, 28.20
1735379842,56.00, 175.00, 96.00, 19.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379843,57.00, 176.00, 96.00, 18.00, 291.00, 23.00, 188.00, 52.00, 58.30, 28.20
1735379844,57.00, 177.00, 97.00, 18.00, 290.00, 23.00, 188.00, 52.00, 58.30, 28.20
1735379845,57.00, 176.00, 97.00, 18.00, 290.00, 23.00, 188.00, 52.00, 58.30, 28.20
1735379846,57.00, 176.00, 97.00, 18.00, 290.00, 22.00, 188.00, 53.00, 58.30, 28.20
1735379847,57.00, 175.00, 96.00, 18.00, 290.00, 23.00, 187.00, 53.00, 58.30, 28.20
1735379849,57.00, 176.00, 97.00, 19.00, 290.00, 23.00, 187.00, 53.00, 58.30, 28.20
1735379850,57.00, 177.00, 96.00, 19.00, 290.00, 23.00, 188.00, 52.00, 58.30, 28.20
1735379851,57.00, 177.00, 96.00, 18.00, 291.00, 23.00, 187.00, 53.00, 58.30, 28.20
1735379852,56.00, 176.00, 96.00, 18.00, 290.00, 24.00, 188.00, 53.00, 58.30, 28.20
1735379853,57.00, 176.00, 96.00, 18.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379854,57.00, 176.00, 97.00, 19.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
1735379855,57.00, 176.00, 97.00, 19.00, 290.00, 23.00, 188.00, 53.00, 58.30, 28.20
