Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735296030,59.00, 84.00, 18.00, 262.00, 19.00, 93.00, 110.00, 30.00, 58.80, 24.80
1735296031,60.00, 85.00, 18.00, 263.00, 19.00, 93.00, 113.00, 32.00, 58.80, 24.80
1735296032,56.00, 86.00, 17.00, 267.00, 16.00, 93.00, 113.00, 34.00, 58.80, 24.80
1735296033,57.00, 86.00, 16.00, 264.00, 18.00, 93.00, 113.00, 30.00, 58.80, 24.80
1735296034,58.00, 86.00, 17.00, 265.00, 18.00, 93.00, 113.00, 29.00, 58.80, 24.80
1735296035,60.00, 86.00, 21.00, 266.00, 17.00, 94.00, 111.00, 32.00, 58.80, 24.80
1735296036,59.00, 91.00, 20.00, 267.00, 18.00, 92.00, 114.00, 32.00, 58.80, 24.80
1735296037,57.00, 86.00, 18.00, 264.00, 18.00, 93.00, 115.00, 30.00, 58.80, 24.80
1735296038,58.00, 87.00, 17.00, 264.00, 18.00, 94.00, 112.00, 30.00, 58.80, 24.80
1735296039,59.00, 83.00, 16.00, 264.00, 18.00, 93.00, 113.00, 31.00, 58.80, 24.80
1735296040,58.00, 84.00, 17.00, 261.00, 18.00, 93.00, 113.00, 31.00, 58.80, 24.80
1735296041,57.00, 86.00, 17.00, 260.00, 17.00, 92.00, 112.00, 29.00, 58.80, 24.80
1735296043,57.00, 84.00, 17.00, 260.00, 18.00, 90.00, 113.00, 30.00, 58.80, 24.80
1735296044,57.00, 84.00, 17.00, 260.00, 19.00, 92.00, 113.00, 29.00, 58.80, 24.80
1735296045,57.00, 86.00, 17.00, 261.00, 17.00, 92.00, 114.00, 30.00, 58.80, 24.80
1735296046,56.00, 84.00, 16.00, 258.00, 17.00, 91.00, 114.00, 29.00, 58.80, 24.80
1735296047,57.00, 86.00, 17.00, 262.00, 18.00, 92.00, 115.00, 29.00, 58.80, 24.80
1735296048,57.00, 85.00, 17.00, 262.00, 18.00, 93.00, 114.00, 30.00, 58.80, 24.80
1735296049,57.00, 86.00, 16.00, 259.00, 17.00, 93.00, 114.00, 29.00, 58.80, 24.80
1735296050,57.00, 87.00, 16.00, 264.00, 15.00, 93.00, 115.00, 30.00, 58.80, 24.80
1735296051,58.00, 87.00, 17.00, 265.00, 18.00, 94.00, 117.00, 29.00, 58.80, 24.80
1735296052,58.00, 88.00, 17.00, 266.00, 18.00, 94.00, 116.00, 30.00, 58.80, 24.80
1735296053,59.00, 88.00, 16.00, 266.00, 17.00, 94.00, 118.00, 30.00, 58.80, 24.80
1735296054,58.00, 88.00, 17.00, 266.00, 18.00, 95.00, 120.00, 29.00, 58.80, 24.80
1735296055,58.00, 89.00, 18.00, 268.00, 17.00, 95.00, 116.00, 31.00, 58.80, 24.80
1735296056,59.00, 88.00, 16.00, 268.00, 18.00, 96.00, 118.00, 30.00, 58.80, 24.80
1735296057,59.00, 88.00, 16.00, 269.00, 18.00, 95.00, 117.00, 30.00, 58.80, 24.80
1735296058,59.00, 89.00, 17.00, 268.00, 18.00, 95.00, 117.00, 30.00, 58.80, 24.80
1735296059,58.00, 90.00, 17.00, 271.00, 16.00, 96.00, 117.00, 30.00, 58.80, 24.80
1735296060,60.00, 88.00, 17.00, 269.00, 18.00, 95.00, 119.00, 30.00, 58.80, 24.80
1735296072,59.00, 90.00, 17.00, 268.00, 18.00, 96.00, 119.00, 31.00, 60.20, 25.10
1735296073,59.00, 89.00, 15.00, 269.00, 16.00, 95.00, 119.00, 31.00, 60.20, 25.10
1735296074,59.00, 89.00, 17.00, 268.00, 18.00, 96.00, 120.00, 30.00, 60.20, 25.10
1735296075,59.00, 89.00, 17.00, 269.00, 17.00, 95.00, 120.00, 30.00, 60.20, 25.10
1735296076,59.00, 89.00, 17.00, 268.00, 18.00, 96.00, 120.00, 30.00, 60.20, 25.10
1735296077,59.00, 90.00, 17.00, 269.00, 17.00, 96.00, 122.00, 30.00, 60.20, 25.10
1735296078,59.00, 89.00, 17.00, 268.00, 18.00, 95.00, 120.00, 30.00, 60.20, 25.10
1735296079,59.00, 87.00, 18.00, 268.00, 18.00, 96.00, 120.00, 29.00, 60.20, 25.10
1735296080,59.00, 88.00, 17.00, 267.00, 18.00, 93.00, 122.00, 31.00, 60.20, 25.10
1735296081,59.00, 88.00, 17.00, 268.00, 18.00, 95.00, 122.00, 30.00, 60.20, 25.10
1735296082,60.00, 89.00, 17.00, 268.00, 18.00, 95.00, 120.00, 30.00, 60.20, 25.10
1735296083,60.00, 89.00, 18.00, 268.00, 18.00, 95.00, 122.00, 30.00, 60.20, 25.10
1735296084,59.00, 89.00, 18.00, 268.00, 18.00, 95.00, 121.00, 31.00, 60.20, 25.10
1735296085,59.00, 90.00, 17.00, 268.00, 18.00, 95.00, 121.00, 30.00, 60.20, 25.10
1735296086,60.00, 89.00, 17.00, 268.00, 18.00, 97.00, 121.00, 31.00, 60.20, 25.10
1735296087,58.00, 89.00, 16.00, 268.00, 17.00, 97.00, 122.00, 31.00, 60.20, 25.10
1735296088,60.00, 89.00, 18.00, 268.00, 18.00, 95.00, 123.00, 30.00, 60.20, 25.10
1735296089,58.00, 89.00, 17.00, 269.00, 18.00, 95.00, 121.00, 30.00, 60.20, 25.10
1735296090,60.00, 89.00, 17.00, 268.00, 19.00, 95.00, 123.00, 31.00, 60.20, 25.10
1735296091,60.00, 89.00, 18.00, 268.00, 18.00, 95.00, 123.00, 30.00, 60.20, 25.10
1735296092,59.00, 90.00, 17.00, 269.00, 18.00, 96.00, 121.00, 30.00, 60.20, 25.10
1735296093,59.00, 90.00, 17.00, 268.00, 18.00, 95.00, 123.00, 30.00, 60.20, 25.10
1735296094,57.00, 92.00, 16.00, 267.00, 19.00, 96.00, 125.00, 31.00, 60.20, 25.10
1735296095,60.00, 90.00, 17.00, 268.00, 18.00, 96.00, 124.00, 30.00, 60.20, 25.10
1735296096,59.00, 90.00, 18.00, 268.00, 17.00, 96.00, 123.00, 31.00, 60.20, 25.10
1735296097,60.00, 91.00, 17.00, 269.00, 18.00, 95.00, 125.00, 30.00, 60.20, 25.10
1735296098,60.00, 90.00, 18.00, 268.00, 18.00, 95.00, 123.00, 30.00, 60.20, 25.10
1735296099,59.00, 90.00, 18.00, 267.00, 18.00, 96.00, 123.00, 31.00, 60.20, 25.10
1735296100,60.00, 90.00, 17.00, 268.00, 19.00, 95.00, 124.00, 31.00, 60.20, 25.10
1735296101,58.00, 92.00, 17.00, 271.00, 19.00, 95.00, 124.00, 30.00, 60.20, 25.10
