Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735383928,99.00, 110.00, 96.00, 19.00, 278.00, 41.00, 176.00, 45.00, 64.30, 24.60
1735383929,99.00, 111.00, 98.00, 20.00, 279.00, 41.00, 176.00, 46.00, 64.30, 24.60
1735383930,99.00, 111.00, 97.00, 19.00, 280.00, 41.00, 176.00, 47.00, 64.30, 24.60
1735383931,99.00, 111.00, 99.00, 20.00, 280.00, 41.00, 176.00, 45.00, 64.30, 24.60
1735383932,98.00, 112.00, 99.00, 19.00, 281.00, 41.00, 177.00, 46.00, 64.30, 24.60
1735383933,99.00, 112.00, 99.00, 19.00, 281.00, 40.00, 177.00, 46.00, 64.30, 24.60
1735383934,98.00, 112.00, 99.00, 19.00, 282.00, 41.00, 177.00, 46.00, 64.30, 24.60
1735383935,99.00, 112.00, 99.00, 19.00, 282.00, 41.00, 178.00, 47.00, 64.30, 24.60
1735383936,98.00, 113.00, 99.00, 20.00, 283.00, 40.00, 178.00, 47.00, 64.30, 24.60
1735383937,98.00, 112.00, 100.00, 19.00, 283.00, 40.00, 178.00, 47.00, 64.30, 24.60
1735383938,98.00, 113.00, 100.00, 20.00, 283.00, 40.00, 179.00, 47.00, 64.30, 24.60
1735383939,98.00, 113.00, 100.00, 20.00, 283.00, 40.00, 179.00, 47.00, 64.30, 24.60
1735383940,98.00, 113.00, 100.00, 19.00, 284.00, 40.00, 179.00, 46.00, 64.30, 24.60
1735383941,98.00, 113.00, 101.00, 20.00, 283.00, 40.00, 179.00, 47.00, 64.30, 24.60
1735383942,98.00, 112.00, 100.00, 19.00, 284.00, 40.00, 179.00, 47.00, 64.30, 24.60
1735383943,97.00, 113.00, 101.00, 20.00, 284.00, 40.00, 179.00, 47.00, 64.30, 24.60
1735383944,98.00, 113.00, 101.00, 20.00, 283.00, 40.00, 179.00, 46.00, 64.30, 24.60
1735383945,97.00, 113.00, 101.00, 19.00, 283.00, 40.00, 179.00, 47.00, 64.30, 24.60
1735383946,97.00, 113.00, 101.00, 20.00, 284.00, 39.00, 180.00, 47.00, 64.30, 24.60
1735383947,97.00, 113.00, 101.00, 20.00, 284.00, 39.00, 179.00, 48.00, 64.30, 24.60
1735383948,97.00, 114.00, 101.00, 19.00, 284.00, 39.00, 180.00, 47.00, 64.30, 24.60
1735383949,96.00, 113.00, 101.00, 19.00, 284.00, 39.00, 179.00, 47.00, 64.30, 24.60
1735383950,97.00, 113.00, 101.00, 20.00, 283.00, 40.00, 179.00, 46.00, 64.30, 24.60
1735383951,96.00, 113.00, 101.00, 20.00, 283.00, 39.00, 179.00, 47.00, 64.30, 24.60
1735383952,96.00, 113.00, 100.00, 19.00, 284.00, 39.00, 179.00, 47.00, 64.30, 24.60
1735383953,96.00, 113.00, 100.00, 20.00, 283.00, 39.00, 179.00, 46.00, 64.30, 24.60
1735383954,96.00, 113.00, 101.00, 20.00, 283.00, 39.00, 179.00, 46.00, 64.30, 24.60
1735383955,96.00, 113.00, 100.00, 19.00, 283.00, 38.00, 179.00, 48.00, 64.30, 24.60
1735383956,95.00, 114.00, 100.00, 19.00, 283.00, 39.00, 180.00, 47.00, 64.30, 24.60
1735383957,96.00, 114.00, 99.00, 20.00, 283.00, 38.00, 180.00, 46.00, 64.30, 24.60
1735383958,96.00, 115.00, 100.00, 19.00, 283.00, 39.00, 179.00, 47.00, 64.30, 24.60
1735383959,96.00, 114.00, 100.00, 19.00, 283.00, 38.00, 180.00, 47.00, 64.30, 24.60
1735383960,96.00, 115.00, 100.00, 19.00, 282.00, 38.00, 180.00, 46.00, 64.30, 24.60
1735383961,96.00, 114.00, 100.00, 20.00, 283.00, 38.00, 179.00, 47.00, 64.30, 24.60
1735383962,95.00, 114.00, 100.00, 20.00, 283.00, 38.00, 180.00, 47.00, 64.30, 24.60
1735383963,95.00, 114.00, 100.00, 20.00, 283.00, 38.00, 180.00, 47.00, 64.30, 24.60
1735383964,95.00, 115.00, 100.00, 20.00, 283.00, 39.00, 181.00, 47.00, 64.30, 24.60
1735383965,95.00, 115.00, 100.00, 19.00, 282.00, 39.00, 180.00, 47.00, 64.30, 24.60
1735383966,95.00, 114.00, 100.00, 19.00, 283.00, 39.00, 180.00, 47.00, 64.30, 24.60
1735383967,95.00, 115.00, 99.00, 19.00, 283.00, 38.00, 180.00, 46.00, 64.30, 24.60
1735384000,101.00, 119.00, 97.00, 19.00, 278.00, 41.00, 183.00, 45.00, 65.30, 24.70
1735384001,100.00, 119.00, 96.00, 20.00, 279.00, 41.00, 184.00, 45.00, 65.30, 24.70
1735384002,100.00, 119.00, 97.00, 19.00, 280.00, 41.00, 184.00, 46.00, 65.30, 24.70
1735384003,100.00, 120.00, 97.00, 19.00, 281.00, 41.00, 185.00, 46.00, 65.30, 24.70
1735384004,100.00, 121.00, 98.00, 20.00, 281.00, 41.00, 185.00, 46.00, 65.30, 24.70
1735384005,100.00, 120.00, 98.00, 19.00, 282.00, 42.00, 185.00, 46.00, 65.30, 24.70
1735384006,100.00, 121.00, 99.00, 20.00, 283.00, 42.00, 186.00, 47.00, 65.30, 24.70
1735384007,100.00, 120.00, 100.00, 20.00, 283.00, 41.00, 186.00, 46.00, 65.30, 24.70
1735384008,100.00, 120.00, 99.00, 19.00, 283.00, 41.00, 186.00, 48.00, 65.30, 24.70
1735384009,100.00, 120.00, 100.00, 20.00, 284.00, 41.00, 187.00, 47.00, 65.30, 24.70
1735384010,100.00, 121.00, 99.00, 20.00, 284.00, 41.00, 187.00, 47.00, 65.30, 24.70
1735384011,100.00, 121.00, 100.00, 20.00, 285.00, 41.00, 187.00, 47.00, 65.30, 24.70
1735384012,100.00, 121.00, 101.00, 19.00, 284.00, 42.00, 187.00, 47.00, 65.30, 24.70
1735384013,100.00, 121.00, 100.00, 20.00, 285.00, 42.00, 188.00, 46.00, 65.30, 24.70
1735384014,100.00, 121.00, 100.00, 20.00, 285.00, 41.00, 187.00, 48.00, 65.30, 24.70
1735384015,100.00, 121.00, 101.00, 20.00, 285.00, 41.00, 187.00, 47.00, 65.30, 24.70
1735384016,99.00, 122.00, 101.00, 20.00, 285.00, 41.00, 188.00, 47.00, 65.30, 24.70
1735384017,99.00, 121.00, 101.00, 20.00, 286.00, 42.00, 187.00, 47.00, 65.30, 24.70
1735384018,99.00, 121.00, 101.00, 20.00, 285.00, 41.00, 187.00, 47.00, 65.30, 24.70
1735384019,99.00, 121.00, 101.00, 20.00, 285.00, 41.00, 187.00, 47.00, 65.30, 24.70
1735384020,99.00, 121.00, 101.00, 20.00, 286.00, 41.00, 188.00, 47.00, 65.30, 24.70
1735384021,99.00, 122.00, 102.00, 19.00, 286.00, 41.00, 188.00, 47.00, 65.30, 24.70
1735384022,99.00, 122.00, 101.00, 20.00, 286.00, 41.00, 188.00, 48.00, 65.30, 24.70
1735384023,99.00, 121.00, 101.00, 20.00, 286.00, 40.00, 188.00, 47.00, 65.30, 24.70
1735384024,98.00, 121.00, 102.00, 20.00, 286.00, 40.00, 188.00, 48.00, 65.30, 24.70
1735384025,98.00, 122.00, 101.00, 20.00, 286.00, 39.00, 188.00, 47.00, 65.30, 24.70
1735384026,98.00, 122.00, 101.00, 20.00, 286.00, 40.00, 188.00, 47.00, 65.30, 24.70
1735384027,98.00, 121.00, 101.00, 19.00, 286.00, 40.00, 188.00, 47.00, 65.30, 24.70
1735384028,97.00, 122.00, 102.00, 20.00, 285.00, 39.00, 187.00, 48.00, 65.30, 24.70
1735384029,98.00, 121.00, 101.00, 20.00, 285.00, 39.00, 188.00, 47.00, 65.30, 24.70
1735384030,98.00, 122.00, 101.00, 19.00, 286.00, 40.00, 187.00, 47.00, 65.30, 24.70
1735384031,97.00, 121.00, 102.00, 19.00, 286.00, 39.00, 187.00, 47.00, 65.30, 24.70
1735384032,97.00, 121.00, 100.00, 20.00, 286.00, 40.00, 188.00, 47.00, 65.30, 24.70
1735384033,98.00, 122.00, 101.00, 20.00, 285.00, 39.00, 188.00, 47.00, 65.30, 24.70
1735384034,98.00, 121.00, 101.00, 20.00, 286.00, 40.00, 188.00, 48.00, 65.30, 24.70
1735384035,97.00, 122.00, 101.00, 19.00, 286.00, 40.00, 187.00, 47.00, 65.30, 24.70
1735384036,98.00, 123.00, 101.00, 19.00, 286.00, 39.00, 188.00, 48.00, 65.30, 24.70
1735384037,98.00, 123.00, 101.00, 20.00, 286.00, 40.00, 187.00, 48.00, 65.30, 24.70
1735384038,97.00, 123.00, 101.00, 20.00, 286.00, 39.00, 188.00, 47.00, 65.30, 24.70
1735384039,97.00, 123.00, 102.00, 20.00, 286.00, 39.00, 187.00, 48.00, 65.30, 24.70
