Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735299392,52.00, 125.00, 18.00, 296.00, 19.00, 124.00, 158.00, 41.00, 63.00, 22.20
1735299393,54.00, 126.00, 18.00, 298.00, 20.00, 123.00, 160.00, 41.00, 63.00, 22.20
1735299394,53.00, 125.00, 18.00, 300.00, 19.00, 124.00, 161.00, 41.00, 63.00, 22.20
1735299395,53.00, 126.00, 18.00, 300.00, 20.00, 123.00, 161.00, 42.00, 63.00, 22.20
1735299396,54.00, 130.00, 19.00, 308.00, 20.00, 128.00, 166.00, 43.00, 63.00, 22.20
1735299397,54.00, 127.00, 18.00, 302.00, 20.00, 123.00, 160.00, 41.00, 63.00, 22.20
1735299398,55.00, 130.00, 18.00, 309.00, 19.00, 128.00, 164.00, 42.00, 63.00, 22.20
1735299399,54.00, 130.00, 19.00, 307.00, 20.00, 127.00, 161.00, 41.00, 63.00, 22.20
1735299400,57.00, 133.00, 19.00, 317.00, 21.00, 132.00, 163.00, 44.00, 63.00, 22.20
1735299401,58.00, 136.00, 20.00, 325.00, 21.00, 136.00, 164.00, 43.00, 63.00, 22.20
1735299402,59.00, 138.00, 20.00, 331.00, 22.00, 139.00, 163.00, 43.00, 63.00, 22.20
1735299403,59.00, 139.00, 20.00, 333.00, 22.00, 139.00, 161.00, 42.00, 63.00, 22.20
1735299404,60.00, 138.00, 20.00, 334.00, 22.00, 139.00, 158.00, 41.00, 63.00, 22.20
1735299405,60.00, 138.00, 19.00, 336.00, 22.00, 140.00, 158.00, 42.00, 63.00, 22.20
1735299406,61.00, 137.00, 21.00, 336.00, 22.00, 139.00, 156.00, 41.00, 63.00, 22.20
1735299407,61.00, 137.00, 20.00, 337.00, 22.00, 140.00, 154.00, 40.00, 63.00, 22.20
1735299408,62.00, 136.00, 19.00, 337.00, 22.00, 138.00, 153.00, 40.00, 63.00, 22.20
1735299409,61.00, 136.00, 19.00, 337.00, 22.00, 138.00, 152.00, 40.00, 63.00, 22.20
1735299410,62.00, 134.00, 19.00, 336.00, 22.00, 136.00, 151.00, 39.00, 63.00, 22.20
1735299411,61.00, 133.00, 19.00, 336.00, 22.00, 135.00, 149.00, 38.00, 63.00, 22.20
1735299412,62.00, 133.00, 19.00, 336.00, 23.00, 136.00, 150.00, 38.00, 63.00, 22.20
1735299413,62.00, 131.00, 19.00, 335.00, 22.00, 134.00, 149.00, 38.00, 63.00, 22.20
1735299414,62.00, 131.00, 18.00, 335.00, 23.00, 132.00, 148.00, 38.00, 63.00, 22.20
1735299415,62.00, 130.00, 20.00, 334.00, 22.00, 133.00, 148.00, 37.00, 63.00, 22.20
1735299416,62.00, 129.00, 19.00, 332.00, 22.00, 131.00, 147.00, 37.00, 63.00, 22.20
1735299417,62.00, 128.00, 20.00, 331.00, 21.00, 130.00, 148.00, 36.00, 63.00, 22.20
1735299418,63.00, 127.00, 19.00, 330.00, 21.00, 130.00, 148.00, 37.00, 63.00, 22.20
1735299419,63.00, 126.00, 19.00, 331.00, 22.00, 129.00, 147.00, 36.00, 63.00, 22.20
1735299420,62.00, 125.00, 19.00, 329.00, 22.00, 128.00, 146.00, 36.00, 63.00, 22.20
1735299421,61.00, 125.00, 20.00, 328.00, 21.00, 128.00, 147.00, 35.00, 63.00, 22.20
1735299433,61.00, 117.00, 18.00, 316.00, 20.00, 118.00, 146.00, 34.00, 63.20, 22.20
1735299434,60.00, 116.00, 19.00, 314.00, 21.00, 118.00, 147.00, 34.00, 63.20, 22.20
1735299435,60.00, 116.00, 19.00, 314.00, 21.00, 117.00, 147.00, 34.00, 63.20, 22.20
1735299436,60.00, 116.00, 19.00, 313.00, 21.00, 117.00, 147.00, 34.00, 63.20, 22.20
1735299437,60.00, 116.00, 18.00, 312.00, 20.00, 116.00, 147.00, 33.00, 63.20, 22.20
1735299438,60.00, 114.00, 18.00, 311.00, 20.00, 115.00, 146.00, 34.00, 63.20, 22.20
1735299439,59.00, 115.00, 20.00, 311.00, 21.00, 116.00, 148.00, 33.00, 63.20, 22.20
