Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735300232,51.00, 93.00, 17.00, 263.00, 18.00, 104.00, 142.00, 30.00, 62.20, 23.30
1735300233,51.00, 93.00, 16.00, 263.00, 18.00, 105.00, 142.00, 29.00, 62.20, 23.30
1735300234,51.00, 93.00, 16.00, 262.00, 18.00, 104.00, 143.00, 29.00, 62.20, 23.30
1735300235,51.00, 94.00, 16.00, 262.00, 18.00, 105.00, 143.00, 30.00, 62.20, 23.30
1735300236,52.00, 94.00, 17.00, 263.00, 20.00, 105.00, 144.00, 30.00, 62.20, 23.30
1735300237,52.00, 93.00, 16.00, 261.00, 18.00, 104.00, 142.00, 30.00, 62.20, 23.30
1735300238,51.00, 93.00, 16.00, 262.00, 18.00, 105.00, 144.00, 29.00, 62.20, 23.30
1735300239,52.00, 93.00, 16.00, 262.00, 18.00, 105.00, 144.00, 30.00, 62.20, 23.30
1735300240,51.00, 94.00, 16.00, 262.00, 18.00, 104.00, 144.00, 30.00, 62.20, 23.30
1735300241,51.00, 94.00, 16.00, 264.00, 19.00, 106.00, 146.00, 30.00, 62.20, 23.30
1735300242,51.00, 94.00, 16.00, 264.00, 18.00, 106.00, 146.00, 30.00, 62.20, 23.30
1735300243,52.00, 94.00, 17.00, 265.00, 19.00, 106.00, 147.00, 30.00, 62.20, 23.30
1735300244,52.00, 93.00, 16.00, 264.00, 19.00, 105.00, 148.00, 32.00, 62.20, 23.30
1735300245,52.00, 94.00, 18.00, 265.00, 18.00, 106.00, 148.00, 31.00, 62.20, 23.30
1735300246,52.00, 94.00, 17.00, 266.00, 18.00, 106.00, 150.00, 30.00, 62.20, 23.30
1735300247,52.00, 94.00, 16.00, 266.00, 18.00, 106.00, 149.00, 30.00, 62.20, 23.30
1735300248,52.00, 95.00, 17.00, 267.00, 18.00, 106.00, 149.00, 30.00, 62.20, 23.30
1735300249,52.00, 94.00, 17.00, 267.00, 19.00, 106.00, 150.00, 30.00, 62.20, 23.30
1735300250,52.00, 96.00, 17.00, 267.00, 18.00, 106.00, 149.00, 30.00, 62.20, 23.30
1735300251,53.00, 95.00, 18.00, 268.00, 19.00, 106.00, 149.00, 30.00, 62.20, 23.30
1735300252,54.00, 94.00, 16.00, 268.00, 18.00, 106.00, 150.00, 30.00, 62.20, 23.30
1735300253,52.00, 94.00, 16.00, 268.00, 18.00, 106.00, 150.00, 30.00, 62.20, 23.30
1735300254,53.00, 94.00, 16.00, 268.00, 18.00, 106.00, 149.00, 30.00, 62.20, 23.30
1735300255,53.00, 94.00, 17.00, 267.00, 18.00, 106.00, 149.00, 30.00, 62.20, 23.30
1735300256,51.00, 93.00, 16.00, 265.00, 18.00, 105.00, 149.00, 30.00, 62.20, 23.30
1735300257,53.00, 94.00, 17.00, 266.00, 18.00, 105.00, 149.00, 30.00, 62.20, 23.30
1735300258,52.00, 94.00, 16.00, 267.00, 19.00, 105.00, 150.00, 29.00, 62.20, 23.30
1735300259,52.00, 94.00, 17.00, 267.00, 18.00, 106.00, 150.00, 30.00, 62.20, 23.30
1735300260,52.00, 94.00, 16.00, 267.00, 19.00, 104.00, 150.00, 29.00, 62.20, 23.30
1735300261,52.00, 93.00, 17.00, 267.00, 18.00, 104.00, 150.00, 30.00, 62.20, 23.30
1735300273,52.00, 93.00, 16.00, 266.00, 19.00, 103.00, 154.00, 29.00, 62.50, 23.20
1735300274,53.00, 93.00, 16.00, 266.00, 18.00, 103.00, 154.00, 30.00, 62.50, 23.20
1735300275,52.00, 93.00, 17.00, 266.00, 17.00, 104.00, 154.00, 29.00, 62.50, 23.20
1735300276,52.00, 93.00, 16.00, 266.00, 19.00, 104.00, 155.00, 30.00, 62.50, 23.20
1735300277,52.00, 93.00, 17.00, 265.00, 18.00, 104.00, 156.00, 29.00, 62.50, 23.20
1735300278,52.00, 93.00, 17.00, 265.00, 18.00, 104.00, 156.00, 29.00, 62.50, 23.20
1735300279,51.00, 93.00, 16.00, 265.00, 18.00, 103.00, 157.00, 29.00, 62.50, 23.20
1735300280,52.00, 92.00, 16.00, 266.00, 18.00, 103.00, 157.00, 29.00, 62.50, 23.20
1735300281,52.00, 94.00, 16.00, 265.00, 18.00, 103.00, 157.00, 30.00, 62.50, 23.20
1735300282,51.00, 93.00, 17.00, 265.00, 18.00, 103.00, 157.00, 31.00, 62.50, 23.20
1735300283,52.00, 92.00, 15.00, 265.00, 18.00, 103.00, 158.00, 30.00, 62.50, 23.20
1735300284,52.00, 92.00, 17.00, 265.00, 18.00, 103.00, 159.00, 30.00, 62.50, 23.20
1735300286,52.00, 92.00, 16.00, 266.00, 19.00, 103.00, 158.00, 29.00, 62.50, 23.20
1735300287,52.00, 93.00, 16.00, 265.00, 18.00, 103.00, 159.00, 30.00, 62.50, 23.20
1735300288,52.00, 92.00, 17.00, 265.00, 18.00, 103.00, 160.00, 29.00, 62.50, 23.20
1735300289,52.00, 92.00, 16.00, 265.00, 17.00, 102.00, 161.00, 30.00, 62.50, 23.20
1735300290,52.00, 92.00, 17.00, 264.00, 19.00, 102.00, 160.00, 30.00, 62.50, 23.20
1735300291,51.00, 92.00, 16.00, 265.00, 18.00, 103.00, 161.00, 29.00, 62.50, 23.20
1735300292,52.00, 92.00, 16.00, 264.00, 18.00, 102.00, 161.00, 29.00, 62.50, 23.20
1735300293,52.00, 92.00, 16.00, 264.00, 19.00, 102.00, 161.00, 29.00, 62.50, 23.20
1735300294,52.00, 92.00, 16.00, 264.00, 18.00, 102.00, 162.00, 30.00, 62.50, 23.20
1735300295,52.00, 92.00, 17.00, 264.00, 18.00, 101.00, 163.00, 29.00, 62.50, 23.20
1735300296,52.00, 91.00, 16.00, 264.00, 19.00, 102.00, 163.00, 30.00, 62.50, 23.20
1735300297,52.00, 91.00, 17.00, 263.00, 18.00, 102.00, 162.00, 29.00, 62.50, 23.20
1735300298,52.00, 91.00, 16.00, 263.00, 19.00, 102.00, 164.00, 30.00, 62.50, 23.20
1735300299,52.00, 91.00, 16.00, 264.00, 18.00, 101.00, 164.00, 29.00, 62.50, 23.20
1735300300,51.00, 91.00, 17.00, 263.00, 18.00, 101.00, 165.00, 29.00, 62.50, 23.20
1735300301,51.00, 92.00, 16.00, 263.00, 18.00, 101.00, 164.00, 30.00, 62.50, 23.20
1735300302,51.00, 91.00, 16.00, 263.00, 18.00, 102.00, 165.00, 30.00, 62.50, 23.20
1735300303,51.00, 92.00, 16.00, 263.00, 18.00, 101.00, 165.00, 29.00, 62.50, 23.20
