Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736077271,51.00, 118.00, 102.00, 19.00, 301.00, 28.00, 155.00, 55.00, 62.60, 20.60
1736077272,50.00, 117.00, 103.00, 18.00, 302.00, 27.00, 155.00, 55.00, 62.60, 20.60
1736077273,51.00, 118.00, 103.00, 20.00, 301.00, 27.00, 154.00, 55.00, 62.60, 20.60
1736077274,51.00, 117.00, 103.00, 18.00, 303.00, 27.00, 155.00, 55.00, 62.60, 20.60
1736077275,51.00, 117.00, 105.00, 19.00, 303.00, 27.00, 156.00, 55.00, 62.60, 20.60
1736077276,51.00, 117.00, 104.00, 20.00, 304.00, 27.00, 156.00, 55.00, 62.60, 20.60
1736077277,52.00, 118.00, 105.00, 18.00, 304.00, 27.00, 156.00, 55.00, 62.60, 20.60
1736077278,51.00, 118.00, 105.00, 19.00, 305.00, 28.00, 157.00, 56.00, 62.60, 20.60
1736077279,51.00, 118.00, 106.00, 19.00, 305.00, 28.00, 156.00, 56.00, 62.60, 20.60
1736077280,51.00, 118.00, 105.00, 19.00, 305.00, 27.00, 158.00, 56.00, 62.60, 20.60
1736077281,51.00, 117.00, 105.00, 19.00, 306.00, 27.00, 157.00, 56.00, 62.60, 20.60
1736077282,51.00, 118.00, 106.00, 19.00, 306.00, 28.00, 157.00, 56.00, 62.60, 20.60
1736077283,51.00, 118.00, 106.00, 19.00, 306.00, 27.00, 157.00, 56.00, 62.60, 20.60
1736077284,52.00, 118.00, 106.00, 19.00, 306.00, 28.00, 157.00, 56.00, 62.60, 20.60
1736077285,51.00, 118.00, 107.00, 20.00, 306.00, 28.00, 157.00, 56.00, 62.60, 20.60
1736077286,51.00, 118.00, 107.00, 19.00, 307.00, 28.00, 157.00, 56.00, 62.60, 20.60
1736077287,51.00, 118.00, 106.00, 19.00, 306.00, 27.00, 157.00, 57.00, 62.60, 20.60
1736077288,51.00, 118.00, 106.00, 19.00, 306.00, 27.00, 157.00, 57.00, 62.60, 20.60
1736077289,51.00, 118.00, 107.00, 19.00, 307.00, 27.00, 156.00, 56.00, 62.60, 20.60
1736077290,51.00, 118.00, 108.00, 19.00, 306.00, 27.00, 157.00, 56.00, 62.60, 20.60
1736077291,51.00, 118.00, 108.00, 19.00, 308.00, 27.00, 157.00, 57.00, 62.60, 20.60
1736077292,52.00, 118.00, 107.00, 19.00, 307.00, 27.00, 156.00, 56.00, 62.60, 20.60
1736077293,51.00, 117.00, 107.00, 19.00, 306.00, 28.00, 157.00, 56.00, 62.60, 20.60
1736077294,51.00, 118.00, 107.00, 19.00, 307.00, 27.00, 157.00, 57.00, 62.60, 20.60
1736077295,51.00, 117.00, 107.00, 19.00, 307.00, 26.00, 157.00, 57.00, 62.60, 20.60
1736077296,52.00, 118.00, 107.00, 19.00, 307.00, 27.00, 156.00, 57.00, 62.60, 20.60
1736077297,52.00, 117.00, 107.00, 19.00, 308.00, 28.00, 156.00, 57.00, 62.60, 20.60
1736077298,50.00, 118.00, 107.00, 19.00, 307.00, 28.00, 157.00, 57.00, 62.60, 20.60
1736077299,51.00, 118.00, 107.00, 20.00, 307.00, 27.00, 156.00, 57.00, 62.60, 20.60
1736077300,52.00, 117.00, 108.00, 18.00, 307.00, 27.00, 156.00, 57.00, 62.60, 20.60
1736077301,51.00, 117.00, 107.00, 19.00, 308.00, 27.00, 156.00, 57.00, 62.60, 20.60
1736077302,51.00, 117.00, 107.00, 19.00, 307.00, 28.00, 156.00, 57.00, 62.60, 20.60
1736077303,51.00, 117.00, 107.00, 19.00, 307.00, 27.00, 156.00, 56.00, 62.60, 20.60
