Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736075908,63.00, 152.00, 91.00, 18.00, 295.00, 42.00, 165.00, 56.00, 54.70, 22.70
1736075909,63.00, 152.00, 92.00, 18.00, 296.00, 42.00, 165.00, 56.00, 54.70, 22.70
1736075910,64.00, 151.00, 93.00, 19.00, 296.00, 41.00, 165.00, 56.00, 54.70, 22.70
1736075911,63.00, 152.00, 92.00, 18.00, 296.00, 41.00, 166.00, 56.00, 54.70, 22.70
1736075912,62.00, 152.00, 93.00, 18.00, 297.00, 41.00, 166.00, 57.00, 54.70, 22.70
1736075913,63.00, 153.00, 93.00, 18.00, 298.00, 42.00, 166.00, 56.00, 54.70, 22.70
1736075914,64.00, 152.00, 93.00, 18.00, 298.00, 41.00, 166.00, 57.00, 54.70, 22.70
1736075915,63.00, 152.00, 93.00, 18.00, 298.00, 42.00, 167.00, 57.00, 54.70, 22.70
1736075916,63.00, 152.00, 93.00, 18.00, 299.00, 42.00, 167.00, 57.00, 54.70, 22.70
1736075917,63.00, 152.00, 95.00, 18.00, 298.00, 42.00, 167.00, 57.00, 54.70, 22.70
1736075918,63.00, 152.00, 95.00, 18.00, 299.00, 41.00, 167.00, 57.00, 54.70, 22.70
1736075919,63.00, 152.00, 94.00, 18.00, 299.00, 41.00, 168.00, 57.00, 54.70, 22.70
1736075920,63.00, 152.00, 94.00, 18.00, 300.00, 41.00, 167.00, 57.00, 54.70, 22.70
1736075921,62.00, 152.00, 94.00, 18.00, 300.00, 41.00, 168.00, 57.00, 54.70, 22.70
1736075922,62.00, 152.00, 94.00, 18.00, 299.00, 41.00, 168.00, 57.00, 54.70, 22.70
1736075923,63.00, 152.00, 95.00, 18.00, 299.00, 41.00, 168.00, 57.00, 54.70, 22.70
1736075925,63.00, 152.00, 96.00, 18.00, 300.00, 41.00, 169.00, 57.00, 54.70, 22.70
1736075926,63.00, 152.00, 95.00, 18.00, 300.00, 41.00, 169.00, 58.00, 54.70, 22.70
1736075927,62.00, 152.00, 95.00, 18.00, 299.00, 41.00, 168.00, 57.00, 54.70, 22.70
1736075928,62.00, 153.00, 95.00, 18.00, 300.00, 41.00, 169.00, 58.00, 54.70, 22.70
1736075929,62.00, 152.00, 95.00, 19.00, 300.00, 41.00, 168.00, 57.00, 54.70, 22.70
1736075930,62.00, 153.00, 95.00, 19.00, 300.00, 41.00, 169.00, 58.00, 54.70, 22.70
1736075931,62.00, 153.00, 96.00, 18.00, 301.00, 41.00, 169.00, 57.00, 54.70, 22.70
1736075932,63.00, 154.00, 96.00, 18.00, 300.00, 41.00, 169.00, 58.00, 54.70, 22.70
1736075933,62.00, 153.00, 96.00, 18.00, 300.00, 41.00, 169.00, 58.00, 54.70, 22.70
1736075934,62.00, 153.00, 96.00, 18.00, 301.00, 41.00, 169.00, 58.00, 54.70, 22.70
1736075935,62.00, 153.00, 96.00, 18.00, 300.00, 41.00, 170.00, 57.00, 54.70, 22.70
1736075936,62.00, 153.00, 96.00, 19.00, 300.00, 41.00, 169.00, 58.00, 54.70, 22.70
1736075937,62.00, 153.00, 96.00, 18.00, 300.00, 41.00, 169.00, 57.00, 54.70, 22.70
1736075938,62.00, 153.00, 95.00, 18.00, 300.00, 41.00, 169.00, 58.00, 54.70, 22.70
1736075939,61.00, 153.00, 96.00, 18.00, 300.00, 41.00, 170.00, 58.00, 54.70, 22.70
1736075940,62.00, 153.00, 96.00, 18.00, 301.00, 41.00, 170.00, 57.00, 54.70, 22.70
1736075941,62.00, 153.00, 96.00, 18.00, 300.00, 41.00, 170.00, 58.00, 54.70, 22.70
1736075942,62.00, 153.00, 95.00, 18.00, 301.00, 41.00, 170.00, 58.00, 54.70, 22.70
1736075943,62.00, 153.00, 95.00, 18.00, 300.00, 41.00, 170.00, 58.00, 54.70, 22.70
1736075944,62.00, 154.00, 95.00, 18.00, 301.00, 41.00, 170.00, 58.00, 54.70, 22.70
1736075945,61.00, 154.00, 96.00, 19.00, 300.00, 40.00, 170.00, 58.00, 54.70, 22.70
1736075946,62.00, 153.00, 96.00, 19.00, 300.00, 41.00, 171.00, 58.00, 54.70, 22.70
1736075947,62.00, 154.00, 96.00, 18.00, 301.00, 40.00, 171.00, 58.00, 54.70, 22.70
1736075948,62.00, 153.00, 96.00, 18.00, 301.00, 41.00, 171.00, 58.00, 54.70, 22.70
1736075980,65.00, 158.00, 93.00, 18.00, 294.00, 43.00, 174.00, 56.00, 54.30, 22.90
1736075981,65.00, 159.00, 92.00, 18.00, 296.00, 43.00, 174.00, 56.00, 54.30, 22.90
1736075982,65.00, 158.00, 93.00, 18.00, 296.00, 43.00, 175.00, 56.00, 54.30, 22.90
1736075983,65.00, 159.00, 93.00, 18.00, 297.00, 43.00, 175.00, 57.00, 54.30, 22.90
1736075984,65.00, 159.00, 94.00, 18.00, 297.00, 42.00, 175.00, 57.00, 54.30, 22.90
1736075985,65.00, 160.00, 94.00, 18.00, 298.00, 42.00, 176.00, 56.00, 54.30, 22.90
1736075986,65.00, 159.00, 95.00, 18.00, 298.00, 43.00, 176.00, 57.00, 54.30, 22.90
1736075987,65.00, 159.00, 95.00, 17.00, 299.00, 42.00, 176.00, 57.00, 54.30, 22.90
1736075988,65.00, 160.00, 95.00, 18.00, 299.00, 42.00, 176.00, 57.00, 54.30, 22.90
1736075989,65.00, 159.00, 95.00, 18.00, 300.00, 42.00, 176.00, 57.00, 54.30, 22.90
1736075990,65.00, 158.00, 95.00, 18.00, 300.00, 42.00, 177.00, 57.00, 54.30, 22.90
1736075991,65.00, 158.00, 95.00, 18.00, 300.00, 42.00, 177.00, 57.00, 54.30, 22.90
1736075992,65.00, 158.00, 96.00, 18.00, 300.00, 42.00, 177.00, 57.00, 54.30, 22.90
1736075993,65.00, 159.00, 96.00, 18.00, 300.00, 42.00, 177.00, 57.00, 54.30, 22.90
1736075994,65.00, 159.00, 96.00, 18.00, 300.00, 42.00, 178.00, 57.00, 54.30, 22.90
1736075995,65.00, 159.00, 96.00, 18.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736075996,65.00, 159.00, 96.00, 19.00, 301.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736075997,65.00, 159.00, 97.00, 19.00, 301.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736075998,65.00, 159.00, 97.00, 18.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736075999,64.00, 159.00, 96.00, 18.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076000,64.00, 159.00, 97.00, 18.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076001,65.00, 159.00, 97.00, 19.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076002,65.00, 160.00, 96.00, 18.00, 302.00, 42.00, 179.00, 57.00, 54.30, 22.90
1736076003,64.00, 159.00, 97.00, 19.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076004,65.00, 159.00, 97.00, 18.00, 302.00, 42.00, 178.00, 57.00, 54.30, 22.90
1736076005,64.00, 159.00, 97.00, 20.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076006,64.00, 159.00, 97.00, 18.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076007,64.00, 159.00, 98.00, 19.00, 302.00, 42.00, 179.00, 58.00, 54.30, 22.90
1736076008,63.00, 159.00, 97.00, 18.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076009,64.00, 158.00, 97.00, 19.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076010,63.00, 159.00, 97.00, 18.00, 302.00, 41.00, 178.00, 58.00, 54.30, 22.90
1736076011,64.00, 159.00, 97.00, 18.00, 302.00, 42.00, 178.00, 58.00, 54.30, 22.90
1736076012,64.00, 159.00, 97.00, 18.00, 303.00, 42.00, 179.00, 58.00, 54.30, 22.90
1736076013,63.00, 159.00, 97.00, 19.00, 302.00, 42.00, 179.00, 58.00, 54.30, 22.90
1736076014,63.00, 159.00, 97.00, 18.00, 302.00, 42.00, 179.00, 58.00, 54.30, 22.90
1736076015,63.00, 159.00, 97.00, 18.00, 302.00, 41.00, 179.00, 58.00, 54.30, 22.90
1736076016,63.00, 159.00, 97.00, 19.00, 302.00, 41.00, 179.00, 58.00, 54.30, 22.90
1736076017,62.00, 159.00, 97.00, 18.00, 302.00, 41.00, 179.00, 58.00, 54.30, 22.90
1736076018,63.00, 159.00, 98.00, 19.00, 302.00, 41.00, 179.00, 58.00, 54.30, 22.90
1736076019,64.00, 160.00, 97.00, 18.00, 302.00, 41.00, 179.00, 58.00, 54.30, 22.90
