Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736076617,80.00, 184.00, 99.00, 18.00, 298.00, 49.00, 217.00, 56.00, 52.50, 23.60
1736076618,78.00, 184.00, 97.00, 19.00, 300.00, 51.00, 217.00, 55.00, 52.50, 23.60
1736076619,78.00, 184.00, 99.00, 19.00, 299.00, 52.00, 217.00, 56.00, 52.50, 23.60
1736076620,78.00, 184.00, 100.00, 19.00, 300.00, 51.00, 217.00, 56.00, 52.50, 23.60
1736076621,78.00, 183.00, 100.00, 17.00, 302.00, 51.00, 219.00, 57.00, 52.50, 23.60
1736076622,76.00, 184.00, 101.00, 19.00, 301.00, 51.00, 219.00, 56.00, 52.50, 23.60
1736076623,78.00, 184.00, 101.00, 19.00, 301.00, 51.00, 217.00, 56.00, 52.50, 23.60
1736076624,78.00, 183.00, 101.00, 16.00, 302.00, 50.00, 219.00, 57.00, 52.50, 23.60
1736076625,78.00, 184.00, 101.00, 19.00, 302.00, 50.00, 220.00, 57.00, 52.50, 23.60
1736076626,78.00, 183.00, 102.00, 19.00, 302.00, 50.00, 216.00, 57.00, 52.50, 23.60
1736076627,78.00, 183.00, 102.00, 18.00, 303.00, 50.00, 219.00, 57.00, 52.50, 23.60
1736076628,77.00, 181.00, 102.00, 19.00, 303.00, 51.00, 219.00, 57.00, 52.50, 23.60
1736076629,77.00, 183.00, 102.00, 19.00, 303.00, 50.00, 217.00, 58.00, 52.50, 23.60
1736076630,78.00, 183.00, 102.00, 18.00, 304.00, 50.00, 219.00, 57.00, 52.50, 23.60
1736076631,75.00, 183.00, 102.00, 19.00, 304.00, 50.00, 219.00, 57.00, 52.50, 23.60
1736076632,78.00, 183.00, 102.00, 20.00, 303.00, 50.00, 218.00, 57.00, 52.50, 23.60
1736076633,78.00, 183.00, 102.00, 19.00, 304.00, 50.00, 220.00, 57.00, 52.50, 23.60
1736076634,76.00, 183.00, 102.00, 19.00, 304.00, 50.00, 218.00, 57.00, 52.50, 23.60
1736076635,77.00, 183.00, 102.00, 19.00, 304.00, 50.00, 218.00, 57.00, 52.50, 23.60
1736076636,77.00, 182.00, 103.00, 18.00, 305.00, 50.00, 219.00, 57.00, 52.50, 23.60
1736076637,76.00, 183.00, 104.00, 19.00, 304.00, 50.00, 219.00, 57.00, 52.50, 23.60
1736076638,77.00, 183.00, 103.00, 18.00, 304.00, 49.00, 218.00, 57.00, 52.50, 23.60
1736076639,77.00, 182.00, 103.00, 18.00, 305.00, 50.00, 219.00, 57.00, 52.50, 23.60
1736076640,76.00, 183.00, 103.00, 19.00, 306.00, 50.00, 219.00, 57.00, 52.50, 23.60
1736076641,76.00, 183.00, 103.00, 19.00, 304.00, 49.00, 218.00, 57.00, 52.50, 23.60
