Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736171945,174.00, 211.00, 124.00, 19.00, 318.00, 179.00, 270.00, 55.00, 54.80, 24.00
1736171946,172.00, 210.00, 125.00, 21.00, 315.00, 179.00, 267.00, 53.00, 54.80, 24.00
1736171947,174.00, 211.00, 123.00, 21.00, 319.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171948,174.00, 211.00, 126.00, 21.00, 319.00, 180.00, 268.00, 56.00, 54.80, 24.00
1736171949,174.00, 210.00, 127.00, 20.00, 320.00, 180.00, 271.00, 56.00, 54.80, 24.00
1736171950,174.00, 210.00, 126.00, 20.00, 317.00, 178.00, 270.00, 55.00, 54.80, 24.00
1736171951,172.00, 211.00, 126.00, 21.00, 319.00, 179.00, 270.00, 56.00, 54.80, 24.00
1736171952,173.00, 210.00, 126.00, 20.00, 318.00, 180.00, 270.00, 56.00, 54.80, 24.00
1736171954,174.00, 211.00, 127.00, 21.00, 320.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171955,172.00, 209.00, 126.00, 20.00, 318.00, 179.00, 269.00, 55.00, 54.80, 24.00
1736171956,174.00, 212.00, 128.00, 20.00, 321.00, 181.00, 271.00, 54.00, 54.80, 24.00
1736171957,174.00, 211.00, 128.00, 21.00, 322.00, 181.00, 272.00, 56.00, 54.80, 24.00
1736171958,174.00, 211.00, 128.00, 21.00, 321.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171959,174.00, 209.00, 129.00, 21.00, 323.00, 181.00, 272.00, 57.00, 54.80, 24.00
1736171960,174.00, 211.00, 128.00, 20.00, 321.00, 180.00, 273.00, 57.00, 54.80, 24.00
1736171961,173.00, 211.00, 129.00, 21.00, 322.00, 181.00, 272.00, 56.00, 54.80, 24.00
1736171962,173.00, 210.00, 128.00, 21.00, 320.00, 179.00, 271.00, 56.00, 54.80, 24.00
1736171963,170.00, 210.00, 128.00, 21.00, 320.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171964,172.00, 209.00, 128.00, 20.00, 321.00, 181.00, 271.00, 57.00, 54.80, 24.00
1736171965,171.00, 208.00, 127.00, 21.00, 319.00, 179.00, 269.00, 54.00, 54.80, 24.00
1736171966,172.00, 212.00, 128.00, 21.00, 322.00, 182.00, 272.00, 57.00, 54.80, 24.00
1736171967,171.00, 208.00, 127.00, 20.00, 317.00, 179.00, 267.00, 56.00, 54.80, 24.00
1736171968,171.00, 208.00, 128.00, 20.00, 321.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171969,172.00, 210.00, 129.00, 21.00, 320.00, 179.00, 270.00, 56.00, 54.80, 24.00
1736171970,173.00, 210.00, 128.00, 21.00, 321.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171971,172.00, 210.00, 128.00, 21.00, 320.00, 180.00, 271.00, 56.00, 54.80, 24.00
1736171972,171.00, 210.00, 129.00, 20.00, 322.00, 182.00, 272.00, 57.00, 54.80, 24.00
1736171973,172.00, 211.00, 129.00, 17.00, 324.00, 183.00, 274.00, 57.00, 54.80, 24.00
1736171974,173.00, 212.00, 130.00, 21.00, 323.00, 183.00, 272.00, 55.00, 54.80, 24.00
1736171975,172.00, 210.00, 128.00, 21.00, 323.00, 182.00, 272.00, 57.00, 54.80, 24.00
1736171976,171.00, 211.00, 129.00, 22.00, 322.00, 181.00, 270.00, 57.00, 54.80, 24.00
1736171977,170.00, 209.00, 129.00, 20.00, 322.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171978,171.00, 210.00, 129.00, 20.00, 323.00, 182.00, 272.00, 56.00, 54.80, 24.00
1736171979,169.00, 209.00, 129.00, 21.00, 321.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171980,171.00, 210.00, 130.00, 21.00, 320.00, 181.00, 271.00, 57.00, 54.80, 24.00
1736171981,170.00, 210.00, 129.00, 20.00, 321.00, 181.00, 271.00, 56.00, 54.80, 24.00
1736171982,170.00, 210.00, 129.00, 20.00, 323.00, 182.00, 273.00, 57.00, 54.80, 24.00
1736171983,170.00, 210.00, 129.00, 20.00, 322.00, 182.00, 272.00, 56.00, 54.80, 24.00
1736171984,170.00, 209.00, 128.00, 20.00, 322.00, 182.00, 272.00, 56.00, 54.80, 24.00
1736171985,170.00, 210.00, 129.00, 20.00, 320.00, 180.00, 270.00, 56.00, 54.80, 24.00
1736172017,179.00, 213.00, 126.00, 21.00, 321.00, 188.00, 275.00, 55.00, 54.80, 24.00
1736172018,179.00, 213.00, 125.00, 20.00, 321.00, 187.00, 275.00, 55.00, 54.80, 24.00
1736172019,178.00, 212.00, 127.00, 21.00, 319.00, 186.00, 272.00, 55.00, 54.80, 24.00
1736172020,175.00, 208.00, 125.00, 20.00, 317.00, 185.00, 271.00, 55.00, 54.80, 24.00
1736172021,178.00, 212.00, 127.00, 20.00, 319.00, 186.00, 273.00, 56.00, 54.80, 24.00
