Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735900844,272.00, 140.00, 290.00, 45.00, 450.00, 213.00, 253.00, 124.00, 54.20, 23.50
1735900845,272.00, 140.00, 291.00, 45.00, 450.00, 214.00, 254.00, 123.00, 54.20, 23.50
1735900846,272.00, 140.00, 291.00, 45.00, 451.00, 214.00, 254.00, 123.00, 54.20, 23.50
1735900847,272.00, 141.00, 292.00, 46.00, 452.00, 213.00, 256.00, 123.00, 54.20, 23.50
1735900848,272.00, 140.00, 293.00, 46.00, 452.00, 213.00, 255.00, 124.00, 54.20, 23.50
1735900849,271.00, 141.00, 292.00, 46.00, 453.00, 213.00, 256.00, 124.00, 54.20, 23.50
1735900850,272.00, 141.00, 293.00, 46.00, 453.00, 213.00, 255.00, 124.00, 54.20, 23.50
1735900851,272.00, 140.00, 293.00, 46.00, 453.00, 213.00, 256.00, 124.00, 54.20, 23.50
1735900852,271.00, 140.00, 293.00, 46.00, 454.00, 212.00, 256.00, 124.00, 54.20, 23.50
1735900853,271.00, 140.00, 293.00, 46.00, 453.00, 213.00, 256.00, 125.00, 54.20, 23.50
1735900854,271.00, 141.00, 294.00, 46.00, 454.00, 212.00, 256.00, 125.00, 54.20, 23.50
1735900855,271.00, 141.00, 294.00, 46.00, 454.00, 211.00, 256.00, 125.00, 54.20, 23.50
1735900856,270.00, 140.00, 294.00, 46.00, 454.00, 211.00, 256.00, 126.00, 54.20, 23.50
1735900857,270.00, 141.00, 294.00, 46.00, 453.00, 211.00, 256.00, 125.00, 54.20, 23.50
1735900858,270.00, 141.00, 294.00, 46.00, 454.00, 210.00, 256.00, 125.00, 54.20, 23.50
1735900859,270.00, 141.00, 295.00, 45.00, 454.00, 210.00, 256.00, 125.00, 54.20, 23.50
1735900860,269.00, 141.00, 295.00, 46.00, 454.00, 210.00, 256.00, 125.00, 54.20, 23.50
1735900861,270.00, 141.00, 295.00, 47.00, 455.00, 209.00, 256.00, 126.00, 54.20, 23.50
1735900862,269.00, 140.00, 295.00, 46.00, 454.00, 209.00, 256.00, 125.00, 54.20, 23.50
1735900863,268.00, 141.00, 294.00, 46.00, 453.00, 209.00, 255.00, 125.00, 54.20, 23.50
1735900864,269.00, 141.00, 295.00, 45.00, 455.00, 209.00, 256.00, 126.00, 54.20, 23.50
1735900865,269.00, 141.00, 295.00, 46.00, 454.00, 208.00, 256.00, 125.00, 54.20, 23.50
1735900866,268.00, 140.00, 295.00, 46.00, 453.00, 207.00, 255.00, 126.00, 54.20, 23.50
1735900867,269.00, 141.00, 296.00, 46.00, 454.00, 208.00, 256.00, 125.00, 54.20, 23.50
1735900868,268.00, 142.00, 295.00, 47.00, 455.00, 208.00, 255.00, 126.00, 54.20, 23.50
1735900869,267.00, 141.00, 294.00, 47.00, 454.00, 207.00, 256.00, 126.00, 54.20, 23.50
1735900871,268.00, 142.00, 295.00, 46.00, 455.00, 207.00, 256.00, 126.00, 54.20, 23.50
1735900872,267.00, 142.00, 295.00, 46.00, 454.00, 207.00, 256.00, 126.00, 54.20, 23.50
1735900873,267.00, 141.00, 295.00, 46.00, 455.00, 207.00, 255.00, 126.00, 54.20, 23.50
1735900874,268.00, 141.00, 295.00, 47.00, 454.00, 205.00, 254.00, 125.00, 54.20, 23.50
1735900875,267.00, 141.00, 295.00, 45.00, 454.00, 206.00, 256.00, 126.00, 54.20, 23.50
1735900876,267.00, 142.00, 295.00, 46.00, 455.00, 205.00, 255.00, 126.00, 54.20, 23.50
1735900877,266.00, 141.00, 295.00, 46.00, 454.00, 205.00, 254.00, 126.00, 54.20, 23.50
1735900878,266.00, 141.00, 296.00, 45.00, 455.00, 206.00, 255.00, 126.00, 54.20, 23.50
1735900879,266.00, 142.00, 295.00, 46.00, 454.00, 205.00, 256.00, 126.00, 54.20, 23.50
1735900880,266.00, 142.00, 296.00, 46.00, 455.00, 205.00, 254.00, 126.00, 54.20, 23.50
1735900881,265.00, 141.00, 295.00, 46.00, 454.00, 204.00, 254.00, 126.00, 54.20, 23.50
