Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1735902077,264.00, 146.00, 283.00, 43.00, 446.00, 198.00, 250.00, 124.00, 52.20, 25.00
1735902078,265.00, 147.00, 284.00, 43.00, 447.00, 198.00, 250.00, 125.00, 52.20, 25.00
1735902079,264.00, 146.00, 284.00, 43.00, 448.00, 199.00, 251.00, 125.00, 52.20, 25.00
1735902080,265.00, 146.00, 285.00, 44.00, 447.00, 198.00, 251.00, 125.00, 52.20, 25.00
1735902081,266.00, 147.00, 286.00, 44.00, 450.00, 199.00, 253.00, 125.00, 52.20, 25.00
1735902082,265.00, 147.00, 285.00, 44.00, 448.00, 198.00, 252.00, 125.00, 52.20, 25.00
1735902083,266.00, 147.00, 285.00, 44.00, 449.00, 198.00, 252.00, 125.00, 52.20, 25.00
1735902084,265.00, 147.00, 286.00, 44.00, 449.00, 199.00, 252.00, 126.00, 52.20, 25.00
1735902085,264.00, 147.00, 285.00, 44.00, 448.00, 197.00, 252.00, 125.00, 52.20, 25.00
1735902086,264.00, 147.00, 284.00, 44.00, 448.00, 197.00, 251.00, 126.00, 52.20, 25.00
1735902087,264.00, 148.00, 284.00, 44.00, 448.00, 197.00, 251.00, 125.00, 52.20, 25.00
1735902088,265.00, 146.00, 284.00, 44.00, 448.00, 197.00, 251.00, 125.00, 52.20, 25.00
1735902090,263.00, 146.00, 284.00, 44.00, 447.00, 197.00, 251.00, 125.00, 52.20, 25.00
1735902091,264.00, 147.00, 285.00, 44.00, 448.00, 196.00, 252.00, 125.00, 52.20, 25.00
1735902092,266.00, 147.00, 288.00, 44.00, 453.00, 199.00, 254.00, 127.00, 52.20, 25.00
1735902093,268.00, 148.00, 288.00, 44.00, 453.00, 199.00, 254.00, 127.00, 52.20, 25.00
1735902094,266.00, 148.00, 288.00, 44.00, 454.00, 198.00, 254.00, 127.00, 52.20, 25.00
1735902095,266.00, 149.00, 289.00, 44.00, 454.00, 198.00, 254.00, 127.00, 52.20, 25.00
1735902096,266.00, 149.00, 289.00, 44.00, 453.00, 199.00, 256.00, 128.00, 52.20, 25.00
1735902097,265.00, 149.00, 289.00, 44.00, 454.00, 198.00, 255.00, 128.00, 52.20, 25.00
1735902098,266.00, 149.00, 289.00, 45.00, 454.00, 197.00, 254.00, 128.00, 52.20, 25.00
1735902099,265.00, 149.00, 290.00, 44.00, 454.00, 198.00, 255.00, 128.00, 52.20, 25.00
1735902100,266.00, 149.00, 290.00, 44.00, 455.00, 198.00, 255.00, 128.00, 52.20, 25.00
1735902101,267.00, 149.00, 290.00, 44.00, 455.00, 197.00, 255.00, 129.00, 52.20, 25.00
1735902102,267.00, 149.00, 290.00, 46.00, 456.00, 198.00, 256.00, 129.00, 52.20, 25.00
1735902103,266.00, 150.00, 291.00, 45.00, 456.00, 198.00, 256.00, 129.00, 52.20, 25.00
1735902104,266.00, 149.00, 291.00, 45.00, 455.00, 197.00, 256.00, 128.00, 52.20, 25.00
1735902105,266.00, 149.00, 292.00, 45.00, 456.00, 197.00, 256.00, 129.00, 52.20, 25.00
1735902106,265.00, 150.00, 292.00, 46.00, 456.00, 197.00, 256.00, 129.00, 52.20, 25.00
1735902107,266.00, 150.00, 292.00, 45.00, 456.00, 196.00, 256.00, 129.00, 52.20, 25.00
1735902108,265.00, 150.00, 292.00, 45.00, 456.00, 196.00, 256.00, 129.00, 52.20, 25.00
1735902109,265.00, 150.00, 292.00, 44.00, 456.00, 196.00, 256.00, 129.00, 52.20, 25.00
1735902110,265.00, 151.00, 292.00, 45.00, 456.00, 196.00, 256.00, 129.00, 52.20, 25.00
1735902111,264.00, 150.00, 292.00, 45.00, 456.00, 196.00, 256.00, 129.00, 52.20, 25.00
1735902112,264.00, 150.00, 292.00, 45.00, 456.00, 195.00, 256.00, 129.00, 52.20, 25.00
1735902113,264.00, 150.00, 292.00, 44.00, 456.00, 195.00, 256.00, 129.00, 52.20, 25.00
1735902114,264.00, 150.00, 292.00, 45.00, 457.00, 195.00, 256.00, 129.00, 52.20, 25.00
1735902115,264.00, 150.00, 292.00, 44.00, 456.00, 195.00, 256.00, 129.00, 52.20, 25.00
1735902116,264.00, 150.00, 293.00, 45.00, 457.00, 194.00, 257.00, 129.00, 52.20, 25.00
1735902117,264.00, 151.00, 293.00, 45.00, 457.00, 194.00, 256.00, 129.00, 52.20, 25.00
1735902149,260.00, 151.00, 293.00, 45.00, 455.00, 190.00, 254.00, 129.00, 52.20, 25.10
1735902150,260.00, 151.00, 293.00, 44.00, 455.00, 189.00, 254.00, 129.00, 52.20, 25.10
1735902151,260.00, 151.00, 293.00, 45.00, 455.00, 189.00, 254.00, 130.00, 52.20, 25.10
1735902152,260.00, 151.00, 293.00, 44.00, 455.00, 188.00, 253.00, 129.00, 52.20, 25.10
1735902153,260.00, 151.00, 293.00, 44.00, 456.00, 188.00, 254.00, 129.00, 52.20, 25.10
1735902154,261.00, 151.00, 293.00, 44.00, 456.00, 189.00, 254.00, 129.00, 52.20, 25.10
1735902155,260.00, 151.00, 293.00, 44.00, 456.00, 189.00, 254.00, 130.00, 52.20, 25.10
1735902156,260.00, 151.00, 293.00, 44.00, 456.00, 189.00, 254.00, 129.00, 52.20, 25.10
1735902157,260.00, 151.00, 293.00, 44.00, 455.00, 188.00, 254.00, 129.00, 52.20, 25.10
1735902158,259.00, 151.00, 294.00, 44.00, 455.00, 188.00, 253.00, 129.00, 52.20, 25.10
1735902159,259.00, 151.00, 293.00, 44.00, 455.00, 188.00, 253.00, 129.00, 52.20, 25.10
1735902160,259.00, 151.00, 293.00, 44.00, 455.00, 188.00, 253.00, 130.00, 52.20, 25.10
1735902161,259.00, 151.00, 293.00, 45.00, 455.00, 187.00, 253.00, 129.00, 52.20, 25.10
1735902162,259.00, 151.00, 293.00, 44.00, 455.00, 187.00, 253.00, 129.00, 52.20, 25.10
1735902163,260.00, 151.00, 293.00, 45.00, 455.00, 188.00, 253.00, 130.00, 52.20, 25.10
1735902164,259.00, 151.00, 294.00, 44.00, 456.00, 187.00, 253.00, 129.00, 52.20, 25.10
1735902165,259.00, 151.00, 293.00, 45.00, 455.00, 188.00, 252.00, 129.00, 52.20, 25.10
1735902166,259.00, 151.00, 293.00, 43.00, 455.00, 187.00, 253.00, 129.00, 52.20, 25.10
1735902167,260.00, 152.00, 293.00, 44.00, 455.00, 187.00, 253.00, 129.00, 52.20, 25.10
1735902168,259.00, 151.00, 293.00, 44.00, 455.00, 187.00, 253.00, 129.00, 52.20, 25.10
1735902169,258.00, 152.00, 293.00, 44.00, 455.00, 187.00, 253.00, 129.00, 52.20, 25.10
1735902170,259.00, 152.00, 293.00, 43.00, 454.00, 186.00, 253.00, 129.00, 52.20, 25.10
1735902171,259.00, 151.00, 293.00, 44.00, 456.00, 187.00, 253.00, 129.00, 52.20, 25.10
1735902172,259.00, 151.00, 293.00, 44.00, 455.00, 187.00, 252.00, 128.00, 52.20, 25.10
1735902174,258.00, 150.00, 292.00, 44.00, 454.00, 186.00, 253.00, 128.00, 52.20, 25.10
1735902175,259.00, 151.00, 292.00, 44.00, 454.00, 186.00, 252.00, 129.00, 52.20, 25.10
1735902176,258.00, 151.00, 292.00, 44.00, 454.00, 186.00, 252.00, 128.00, 52.20, 25.10
1735902177,258.00, 151.00, 292.00, 44.00, 454.00, 186.00, 251.00, 128.00, 52.20, 25.10
1735902178,258.00, 152.00, 292.00, 44.00, 454.00, 186.00, 251.00, 128.00, 52.20, 25.10
1735902179,258.00, 150.00, 292.00, 43.00, 453.00, 186.00, 251.00, 128.00, 52.20, 25.10
1735902180,258.00, 151.00, 292.00, 44.00, 453.00, 186.00, 252.00, 128.00, 52.20, 25.10
1735902181,257.00, 151.00, 292.00, 44.00, 454.00, 185.00, 251.00, 128.00, 52.20, 25.10
1735902182,258.00, 151.00, 292.00, 43.00, 453.00, 185.00, 251.00, 128.00, 52.20, 25.10
1735902183,257.00, 151.00, 291.00, 44.00, 453.00, 186.00, 251.00, 128.00, 52.20, 25.10
1735902184,258.00, 150.00, 292.00, 44.00, 452.00, 185.00, 251.00, 128.00, 52.20, 25.10
1735902185,257.00, 151.00, 291.00, 43.00, 453.00, 186.00, 252.00, 128.00, 52.20, 25.10
1735902186,257.00, 151.00, 291.00, 44.00, 453.00, 186.00, 250.00, 128.00, 52.20, 25.10
1735902187,257.00, 150.00, 290.00, 44.00, 452.00, 185.00, 250.00, 128.00, 52.20, 25.10
1735902188,258.00, 151.00, 291.00, 44.00, 452.00, 185.00, 251.00, 128.00, 52.20, 25.10
1735902189,258.00, 151.00, 291.00, 43.00, 452.00, 185.00, 251.00, 128.00, 52.20, 25.10
