Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736156912,70.00, 116.00, 136.00, 21.00, 324.00, 41.00, 118.00, 58.00, 54.60, 24.20
1736156913,69.00, 116.00, 137.00, 22.00, 324.00, 41.00, 119.00, 59.00, 54.60, 24.20
1736156914,69.00, 118.00, 137.00, 22.00, 325.00, 41.00, 119.00, 59.00, 54.60, 24.20
1736156915,70.00, 116.00, 137.00, 22.00, 326.00, 41.00, 119.00, 59.00, 54.60, 24.20
1736156916,70.00, 116.00, 138.00, 21.00, 326.00, 41.00, 120.00, 59.00, 54.60, 24.20
1736156917,70.00, 117.00, 139.00, 22.00, 327.00, 41.00, 120.00, 59.00, 54.60, 24.20
1736156918,71.00, 117.00, 139.00, 22.00, 327.00, 41.00, 120.00, 60.00, 54.60, 24.20
1736156919,70.00, 118.00, 139.00, 22.00, 327.00, 41.00, 120.00, 59.00, 54.60, 24.20
1736156920,70.00, 117.00, 139.00, 22.00, 327.00, 41.00, 120.00, 60.00, 54.60, 24.20
1736156921,70.00, 117.00, 140.00, 22.00, 328.00, 42.00, 121.00, 59.00, 54.60, 24.20
1736156922,70.00, 117.00, 140.00, 22.00, 328.00, 41.00, 121.00, 60.00, 54.60, 24.20
1736156923,71.00, 117.00, 140.00, 22.00, 329.00, 42.00, 121.00, 60.00, 54.60, 24.20
1736156924,70.00, 117.00, 140.00, 23.00, 328.00, 41.00, 120.00, 60.00, 54.60, 24.20
1736156925,70.00, 117.00, 140.00, 21.00, 328.00, 41.00, 120.00, 60.00, 54.60, 24.20
1736156926,70.00, 117.00, 141.00, 22.00, 329.00, 41.00, 120.00, 60.00, 54.60, 24.20
1736156927,71.00, 117.00, 141.00, 22.00, 329.00, 42.00, 121.00, 60.00, 54.60, 24.20
1736156928,70.00, 117.00, 141.00, 21.00, 330.00, 41.00, 121.00, 60.00, 54.60, 24.20
1736156929,70.00, 117.00, 141.00, 22.00, 329.00, 41.00, 121.00, 60.00, 54.60, 24.20
1736156930,70.00, 117.00, 141.00, 22.00, 330.00, 41.00, 120.00, 60.00, 54.60, 24.20
1736156931,70.00, 118.00, 142.00, 22.00, 330.00, 42.00, 121.00, 61.00, 54.60, 24.20
1736156932,70.00, 117.00, 141.00, 22.00, 330.00, 42.00, 120.00, 60.00, 54.60, 24.20
1736156933,70.00, 118.00, 141.00, 22.00, 329.00, 42.00, 121.00, 60.00, 54.60, 24.20
1736156934,70.00, 117.00, 142.00, 22.00, 330.00, 42.00, 121.00, 61.00, 54.60, 24.20
1736156935,70.00, 117.00, 142.00, 22.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156936,70.00, 118.00, 143.00, 21.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156937,70.00, 118.00, 142.00, 22.00, 330.00, 42.00, 121.00, 60.00, 54.60, 24.20
1736156938,70.00, 117.00, 141.00, 22.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156939,70.00, 118.00, 142.00, 22.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156940,70.00, 117.00, 142.00, 22.00, 330.00, 41.00, 120.00, 61.00, 54.60, 24.20
1736156942,70.00, 117.00, 142.00, 22.00, 330.00, 42.00, 121.00, 60.00, 54.60, 24.20
1736156943,70.00, 118.00, 142.00, 21.00, 331.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156944,70.00, 118.00, 142.00, 22.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156945,70.00, 117.00, 142.00, 22.00, 329.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156946,70.00, 117.00, 142.00, 22.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156947,70.00, 117.00, 141.00, 22.00, 330.00, 41.00, 120.00, 61.00, 54.60, 24.20
1736156948,69.00, 117.00, 142.00, 21.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156949,70.00, 117.00, 142.00, 22.00, 330.00, 41.00, 121.00, 60.00, 54.60, 24.20
1736156950,70.00, 117.00, 142.00, 22.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156951,70.00, 117.00, 142.00, 22.00, 330.00, 41.00, 121.00, 61.00, 54.60, 24.20
1736156952,70.00, 117.00, 141.00, 22.00, 331.00, 41.00, 121.00, 62.00, 54.60, 24.20
1736156984,69.00, 116.00, 137.00, 22.00, 326.00, 40.00, 118.00, 58.00, 54.60, 24.20
1736156985,69.00, 117.00, 137.00, 22.00, 326.00, 41.00, 119.00, 59.00, 54.60, 24.20
1736156986,70.00, 117.00, 138.00, 22.00, 326.00, 41.00, 119.00, 59.00, 54.60, 24.20
1736156987,70.00, 117.00, 139.00, 21.00, 327.00, 42.00, 120.00, 59.00, 54.60, 24.20
1736156988,70.00, 117.00, 140.00, 21.00, 328.00, 41.00, 120.00, 59.00, 54.60, 24.20
1736156989,70.00, 117.00, 139.00, 22.00, 328.00, 41.00, 120.00, 60.00, 54.60, 24.20
1736156990,70.00, 117.00, 140.00, 22.00, 328.00, 41.00, 120.00, 60.00, 54.60, 24.20
