Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736324752,181.0,158.0,301.0,38.0,415.0,157.0,230.0,102.0,49.8,20.6
1736324753,181.0,158.0,302.0,38.0,417.0,158.0,232.0,103.0,49.8,20.6
1736324754,182.0,159.0,302.0,38.0,417.0,158.0,232.0,103.0,49.8,20.6
1736324755,181.0,159.0,303.0,38.0,417.0,158.0,233.0,104.0,49.8,20.6
1736324757,182.0,159.0,305.0,39.0,419.0,159.0,234.0,104.0,49.8,20.6
1736324758,182.0,159.0,304.0,38.0,419.0,159.0,234.0,104.0,49.8,20.6
1736324759,182.0,160.0,306.0,39.0,420.0,160.0,235.0,104.0,49.8,20.6
1736324760,182.0,159.0,306.0,39.0,420.0,159.0,235.0,105.0,49.8,20.6
1736324761,182.0,159.0,305.0,39.0,419.0,158.0,234.0,105.0,49.8,20.6
1736324762,181.0,158.0,305.0,39.0,418.0,158.0,234.0,104.0,49.8,20.6
1736324763,182.0,158.0,306.0,38.0,419.0,158.0,235.0,104.0,49.8,20.6
1736324764,182.0,159.0,308.0,38.0,420.0,159.0,235.0,105.0,49.8,20.6
1736324765,181.0,158.0,308.0,39.0,420.0,158.0,235.0,105.0,49.8,20.6
1736324766,181.0,158.0,306.0,39.0,418.0,157.0,233.0,102.0,49.8,20.6
1736324767,182.0,158.0,308.0,39.0,419.0,158.0,235.0,105.0,49.8,20.6
1736324768,181.0,159.0,307.0,39.0,420.0,158.0,235.0,105.0,49.8,20.6
1736324769,181.0,159.0,308.0,38.0,420.0,158.0,235.0,105.0,49.8,20.6
1736324770,182.0,160.0,308.0,39.0,420.0,158.0,235.0,105.0,49.8,20.6
1736324771,180.0,157.0,305.0,40.0,416.0,156.0,233.0,105.0,49.8,20.6
1736324772,180.0,158.0,306.0,39.0,417.0,156.0,233.0,105.0,49.8,20.6
1736324773,179.0,157.0,306.0,39.0,417.0,156.0,233.0,105.0,49.8,20.6
1736324774,179.0,156.0,305.0,39.0,416.0,156.0,232.0,104.0,49.8,20.6
1736324775,179.0,156.0,304.0,38.0,415.0,155.0,231.0,104.0,49.8,20.6
1736324776,178.0,155.0,302.0,39.0,412.0,154.0,230.0,103.0,49.8,20.6
1736324777,177.0,155.0,302.0,38.0,412.0,155.0,229.0,104.0,49.8,20.6
1736324778,177.0,155.0,303.0,39.0,413.0,155.0,230.0,103.0,49.8,20.6
1736324779,188.0,165.0,321.0,41.0,436.0,164.0,243.0,110.0,49.8,20.6
1736324780,182.0,159.0,310.0,39.0,423.0,158.0,236.0,106.0,49.8,20.6
1736324781,183.0,160.0,311.0,39.0,422.0,158.0,236.0,106.0,49.8,20.6
1736324782,183.0,161.0,312.0,40.0,425.0,160.0,237.0,107.0,49.8,20.6
1736324783,177.0,156.0,304.0,38.0,414.0,155.0,231.0,104.0,49.8,20.6
1736324784,177.0,156.0,303.0,38.0,412.0,153.0,229.0,104.0,49.8,20.6
1736324785,177.0,156.0,304.0,39.0,413.0,154.0,231.0,104.0,49.8,20.6
1736324786,177.0,155.0,303.0,39.0,413.0,154.0,230.0,103.0,49.8,20.6
1736324787,176.0,154.0,301.0,38.0,411.0,153.0,228.0,104.0,49.8,20.6
1736324788,176.0,156.0,303.0,37.0,412.0,154.0,230.0,104.0,49.8,20.6
1736324789,175.0,154.0,301.0,38.0,409.0,152.0,228.0,103.0,49.8,20.6
1736324790,176.0,154.0,301.0,38.0,411.0,153.0,228.0,104.0,49.8,20.6
1736324791,176.0,154.0,301.0,38.0,410.0,152.0,227.0,103.0,49.8,20.6
1736324792,175.0,154.0,299.0,37.0,408.0,152.0,227.0,102.0,49.8,20.6
1736324824,175.0,153.0,294.0,36.0,409.0,152.0,226.0,100.0,49.9,20.6
1736324825,175.0,154.0,295.0,38.0,410.0,152.0,227.0,101.0,49.9,20.6
1736324826,176.0,155.0,297.0,38.0,411.0,153.0,227.0,101.0,49.9,20.6
1736324827,176.0,155.0,297.0,38.0,412.0,153.0,228.0,102.0,49.9,20.6
1736324828,176.0,155.0,297.0,38.0,412.0,152.0,228.0,102.0,49.9,20.6
1736324829,175.0,155.0,297.0,38.0,411.0,153.0,228.0,102.0,49.9,20.6
1736324830,176.0,155.0,298.0,37.0,412.0,153.0,229.0,102.0,49.9,20.6
1736324831,176.0,155.0,298.0,37.0,411.0,154.0,228.0,102.0,49.9,20.6
1736324832,176.0,155.0,298.0,37.0,411.0,152.0,228.0,102.0,49.9,20.6
1736324833,176.0,155.0,298.0,37.0,412.0,153.0,229.0,101.0,49.9,20.6
1736324834,176.0,155.0,299.0,38.0,413.0,153.0,229.0,102.0,49.9,20.6
1736324835,176.0,155.0,299.0,38.0,413.0,153.0,229.0,102.0,49.9,20.6
1736324836,176.0,155.0,300.0,38.0,413.0,153.0,230.0,102.0,49.9,20.6
1736324837,175.0,154.0,298.0,37.0,411.0,152.0,228.0,102.0,49.9,20.6
1736324838,175.0,155.0,299.0,37.0,413.0,153.0,229.0,102.0,49.9,20.6
1736324839,175.0,154.0,298.0,37.0,411.0,151.0,228.0,102.0,49.9,20.6
1736324840,175.0,155.0,300.0,38.0,412.0,152.0,229.0,102.0,49.9,20.6
1736324842,175.0,155.0,300.0,38.0,413.0,152.0,229.0,102.0,49.9,20.6
1736324843,175.0,154.0,299.0,39.0,413.0,152.0,229.0,102.0,49.9,20.6
1736324844,175.0,155.0,299.0,38.0,412.0,151.0,229.0,102.0,49.9,20.6
1736324845,175.0,154.0,299.0,38.0,413.0,152.0,230.0,103.0,49.9,20.6
1736324846,175.0,155.0,300.0,38.0,412.0,151.0,229.0,103.0,49.9,20.6
1736324847,175.0,154.0,299.0,38.0,412.0,151.0,228.0,103.0,49.9,20.6
1736324848,174.0,154.0,299.0,38.0,411.0,151.0,228.0,103.0,49.9,20.6
1736324849,174.0,154.0,299.0,37.0,411.0,150.0,228.0,102.0,49.9,20.6
1736324850,174.0,154.0,299.0,38.0,412.0,151.0,229.0,103.0,49.9,20.6
1736324851,174.0,154.0,300.0,38.0,412.0,152.0,229.0,103.0,49.9,20.6
1736324852,174.0,155.0,299.0,38.0,411.0,151.0,228.0,103.0,49.9,20.6
1736324853,174.0,154.0,298.0,37.0,411.0,150.0,228.0,102.0,49.9,20.6
1736324854,174.0,154.0,299.0,37.0,412.0,151.0,228.0,103.0,49.9,20.6
1736324855,173.0,153.0,298.0,37.0,410.0,150.0,228.0,102.0,49.9,20.6
1736324856,174.0,154.0,299.0,38.0,412.0,150.0,228.0,103.0,49.9,20.6
1736324857,174.0,154.0,299.0,37.0,411.0,151.0,228.0,102.0,49.9,20.6
1736324858,173.0,154.0,298.0,37.0,410.0,150.0,228.0,102.0,49.9,20.6
1736324859,175.0,156.0,301.0,38.0,415.0,152.0,230.0,104.0,49.9,20.6
1736324860,173.0,154.0,298.0,39.0,410.0,151.0,227.0,103.0,49.9,20.6
1736324861,172.0,153.0,296.0,37.0,408.0,149.0,226.0,102.0,49.9,20.6
1736324862,172.0,153.0,296.0,37.0,408.0,149.0,226.0,101.0,49.9,20.6
1736324863,172.0,153.0,296.0,37.0,408.0,149.0,226.0,102.0,49.9,20.6
1736324864,172.0,152.0,295.0,37.0,407.0,148.0,225.0,101.0,49.9,20.6
