Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736590621,175.0,138.0,230.0,30.0,393.0,149.0,208.0,87.0,57.9,20.9
1736590622,174.0,138.0,230.0,31.0,395.0,150.0,208.0,87.0,57.9,20.9
1736590623,175.0,139.0,232.0,30.0,394.0,150.0,208.0,87.0,57.9,20.9
1736590624,175.0,139.0,231.0,31.0,395.0,150.0,208.0,88.0,57.9,20.9
1736590625,175.0,138.0,232.0,31.0,395.0,150.0,209.0,88.0,57.9,20.9
1736590626,175.0,139.0,233.0,31.0,396.0,150.0,209.0,88.0,57.9,20.9
1736590627,175.0,139.0,233.0,31.0,396.0,150.0,209.0,88.0,57.9,20.9
1736590628,176.0,139.0,234.0,31.0,396.0,149.0,210.0,88.0,57.9,20.9
1736590629,176.0,139.0,233.0,31.0,396.0,150.0,210.0,88.0,57.9,20.9
1736590630,175.0,139.0,234.0,31.0,397.0,150.0,210.0,89.0,57.9,20.9
1736590631,175.0,139.0,235.0,31.0,397.0,150.0,210.0,88.0,57.9,20.9
1736590632,176.0,139.0,234.0,32.0,397.0,149.0,210.0,88.0,57.9,20.9
1736590633,176.0,139.0,235.0,31.0,397.0,150.0,210.0,89.0,57.9,20.9
1736590634,175.0,140.0,235.0,31.0,397.0,150.0,210.0,89.0,57.9,20.9
1736590635,176.0,139.0,235.0,31.0,397.0,149.0,210.0,89.0,57.9,20.9
1736590636,175.0,139.0,236.0,32.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590637,175.0,139.0,235.0,32.0,397.0,150.0,210.0,89.0,57.9,20.9
1736590638,176.0,139.0,235.0,31.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590639,176.0,139.0,235.0,32.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590640,176.0,140.0,236.0,31.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590641,176.0,139.0,236.0,31.0,398.0,150.0,211.0,89.0,57.9,20.9
1736590642,176.0,139.0,236.0,32.0,398.0,150.0,211.0,89.0,57.9,20.9
1736590643,176.0,139.0,236.0,31.0,398.0,150.0,211.0,89.0,57.9,20.9
1736590644,176.0,140.0,236.0,31.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590645,176.0,140.0,236.0,31.0,399.0,150.0,210.0,89.0,57.9,20.9
1736590646,176.0,140.0,236.0,31.0,399.0,150.0,211.0,89.0,57.9,20.9
1736590647,176.0,139.0,237.0,32.0,398.0,150.0,211.0,89.0,57.9,20.9
1736590648,176.0,139.0,236.0,32.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590649,176.0,139.0,236.0,31.0,398.0,150.0,211.0,90.0,57.9,20.9
1736590650,176.0,139.0,236.0,32.0,398.0,150.0,211.0,89.0,57.9,20.9
1736590651,175.0,139.0,236.0,32.0,398.0,149.0,210.0,90.0,57.9,20.9
1736590652,176.0,139.0,236.0,32.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590653,176.0,139.0,236.0,31.0,399.0,149.0,210.0,90.0,57.9,20.9
1736590654,175.0,140.0,236.0,32.0,398.0,150.0,210.0,90.0,57.9,20.9
1736590655,176.0,139.0,236.0,31.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590656,175.0,139.0,236.0,31.0,398.0,150.0,211.0,90.0,57.9,20.9
1736590657,175.0,138.0,236.0,31.0,398.0,150.0,210.0,90.0,57.9,20.9
1736590658,176.0,139.0,236.0,31.0,398.0,150.0,211.0,89.0,57.9,20.9
1736590659,176.0,139.0,236.0,31.0,398.0,150.0,210.0,89.0,57.9,20.9
1736590660,175.0,139.0,237.0,31.0,398.0,149.0,210.0,89.0,57.9,20.9
