Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736586798,189.0,150.0,222.0,33.0,393.0,150.0,230.0,85.0,54.1,22.4
1736586799,189.0,150.0,224.0,33.0,393.0,150.0,231.0,86.0,54.1,22.4
1736586800,190.0,150.0,224.0,34.0,394.0,150.0,231.0,86.0,54.1,22.4
1736586801,189.0,150.0,224.0,34.0,394.0,150.0,232.0,87.0,54.1,22.4
1736586802,190.0,150.0,225.0,34.0,395.0,150.0,232.0,87.0,54.1,22.4
1736586803,190.0,151.0,225.0,33.0,395.0,151.0,233.0,87.0,54.1,22.4
1736586804,190.0,151.0,226.0,33.0,395.0,150.0,233.0,87.0,54.1,22.4
1736586805,190.0,151.0,226.0,34.0,395.0,150.0,234.0,87.0,54.1,22.4
1736586806,191.0,151.0,226.0,34.0,396.0,151.0,233.0,87.0,54.1,22.4
1736586807,190.0,150.0,227.0,34.0,397.0,151.0,234.0,87.0,54.1,22.4
1736586808,191.0,151.0,226.0,34.0,396.0,150.0,234.0,88.0,54.1,22.4
1736586809,190.0,151.0,226.0,33.0,396.0,151.0,234.0,88.0,54.1,22.4
1736586810,191.0,151.0,227.0,34.0,396.0,150.0,234.0,87.0,54.1,22.4
1736586811,191.0,151.0,227.0,34.0,397.0,151.0,235.0,88.0,54.1,22.4
1736586812,191.0,151.0,228.0,34.0,397.0,151.0,235.0,88.0,54.1,22.4
1736586813,192.0,151.0,228.0,34.0,398.0,151.0,235.0,88.0,54.1,22.4
1736586814,191.0,151.0,228.0,35.0,397.0,152.0,235.0,88.0,54.1,22.4
1736586815,192.0,151.0,228.0,35.0,397.0,151.0,235.0,88.0,54.1,22.4
1736586817,191.0,151.0,228.0,34.0,397.0,152.0,235.0,88.0,54.1,22.4
1736586818,192.0,151.0,228.0,35.0,398.0,152.0,236.0,89.0,54.1,22.4
1736586819,192.0,150.0,228.0,35.0,398.0,151.0,236.0,88.0,54.1,22.4
1736586820,192.0,151.0,229.0,36.0,398.0,152.0,236.0,89.0,54.1,22.4
1736586821,191.0,151.0,228.0,34.0,398.0,152.0,236.0,89.0,54.1,22.4
1736586822,192.0,151.0,229.0,34.0,398.0,152.0,236.0,88.0,54.1,22.4
1736586823,192.0,151.0,228.0,34.0,398.0,152.0,236.0,89.0,54.1,22.4
1736586824,192.0,151.0,228.0,35.0,398.0,152.0,236.0,89.0,54.1,22.4
1736586825,192.0,151.0,228.0,35.0,398.0,152.0,237.0,89.0,54.1,22.4
1736586826,192.0,150.0,229.0,35.0,398.0,152.0,236.0,88.0,54.1,22.4
1736586827,192.0,151.0,229.0,34.0,398.0,152.0,237.0,89.0,54.1,22.4
1736586828,192.0,151.0,229.0,34.0,398.0,152.0,236.0,88.0,54.1,22.4
1736586829,192.0,152.0,229.0,34.0,398.0,151.0,237.0,89.0,54.1,22.4
1736586830,192.0,151.0,229.0,34.0,399.0,152.0,237.0,90.0,54.1,22.4
1736586831,192.0,151.0,229.0,35.0,398.0,152.0,237.0,90.0,54.1,22.4
1736586832,192.0,151.0,229.0,35.0,398.0,152.0,237.0,88.0,54.1,22.4
1736586833,193.0,152.0,229.0,35.0,398.0,152.0,237.0,89.0,54.1,22.4
1736586834,192.0,152.0,229.0,35.0,398.0,152.0,237.0,89.0,54.1,22.4
1736586835,192.0,152.0,230.0,35.0,398.0,152.0,237.0,89.0,54.1,22.4
1736586836,192.0,152.0,228.0,35.0,398.0,152.0,237.0,89.0,54.1,22.4
1736586837,192.0,152.0,228.0,35.0,399.0,152.0,237.0,89.0,54.1,22.4
1736586838,192.0,152.0,230.0,35.0,398.0,152.0,236.0,89.0,54.1,22.4
