Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736329444,113.0,126.0,224.0,28.0,368.0,91.0,170.0,82.0,45.2,24.7
1736329445,112.0,126.0,224.0,28.0,368.0,90.0,171.0,82.0,45.2,24.7
1736329446,113.0,126.0,224.0,27.0,369.0,91.0,171.0,82.0,45.2,24.7
1736329447,113.0,127.0,225.0,28.0,369.0,90.0,170.0,82.0,45.2,24.7
1736329448,114.0,126.0,225.0,28.0,369.0,90.0,172.0,83.0,45.2,24.7
1736329449,114.0,126.0,225.0,28.0,370.0,91.0,172.0,83.0,45.2,24.7
1736329450,113.0,127.0,226.0,28.0,370.0,91.0,172.0,83.0,45.2,24.7
1736329451,114.0,127.0,226.0,28.0,371.0,91.0,172.0,83.0,45.2,24.7
1736329452,115.0,127.0,226.0,28.0,370.0,91.0,172.0,83.0,45.2,24.7
1736329453,115.0,127.0,227.0,28.0,371.0,91.0,172.0,83.0,45.2,24.7
1736329454,114.0,127.0,228.0,28.0,371.0,91.0,172.0,83.0,45.2,24.7
1736329455,114.0,126.0,226.0,28.0,370.0,91.0,172.0,83.0,45.2,24.7
1736329456,114.0,126.0,227.0,28.0,370.0,90.0,173.0,84.0,45.2,24.7
1736329457,114.0,126.0,227.0,28.0,370.0,91.0,172.0,83.0,45.2,24.7
1736329458,114.0,127.0,227.0,28.0,370.0,91.0,172.0,84.0,45.2,24.7
1736329459,114.0,126.0,227.0,27.0,370.0,91.0,172.0,84.0,45.2,24.7
1736329460,114.0,126.0,227.0,28.0,370.0,90.0,172.0,83.0,45.2,24.7
1736329461,114.0,127.0,227.0,28.0,370.0,91.0,172.0,83.0,45.2,24.7
1736329462,114.0,126.0,227.0,28.0,370.0,91.0,172.0,84.0,45.2,24.7
1736329463,113.0,125.0,227.0,28.0,370.0,91.0,173.0,85.0,45.2,24.7
1736329464,114.0,126.0,227.0,28.0,370.0,91.0,172.0,84.0,45.2,24.7
1736329465,115.0,127.0,227.0,28.0,371.0,91.0,171.0,84.0,45.2,24.7
1736329466,114.0,126.0,227.0,28.0,371.0,91.0,171.0,84.0,45.2,24.7
1736329467,114.0,126.0,227.0,28.0,370.0,91.0,172.0,83.0,45.2,24.7
1736329468,113.0,126.0,228.0,28.0,370.0,90.0,172.0,84.0,45.2,24.7
1736329469,114.0,126.0,228.0,28.0,371.0,90.0,172.0,84.0,45.2,24.7
1736329470,114.0,126.0,227.0,28.0,371.0,91.0,172.0,84.0,45.2,24.7
1736329471,114.0,126.0,228.0,28.0,372.0,91.0,172.0,84.0,45.2,24.7
1736329472,114.0,126.0,227.0,28.0,371.0,91.0,172.0,84.0,45.2,24.7
1736329473,114.0,125.0,227.0,28.0,371.0,91.0,173.0,84.0,45.2,24.7
1736329474,114.0,126.0,228.0,28.0,371.0,91.0,172.0,84.0,45.2,24.7
1736329475,114.0,126.0,228.0,28.0,371.0,91.0,172.0,84.0,45.2,24.7
1736329476,114.0,126.0,228.0,28.0,370.0,90.0,172.0,84.0,45.2,24.7
1736329477,114.0,126.0,227.0,29.0,371.0,91.0,172.0,84.0,45.2,24.7
1736329478,114.0,126.0,228.0,29.0,371.0,90.0,172.0,84.0,45.2,24.7
1736329479,113.0,127.0,228.0,29.0,371.0,90.0,173.0,84.0,45.2,24.7
1736329480,115.0,126.0,228.0,28.0,372.0,91.0,172.0,84.0,45.2,24.7
1736329481,114.0,126.0,228.0,28.0,371.0,91.0,172.0,84.0,45.2,24.7
1736329482,114.0,126.0,228.0,27.0,371.0,91.0,171.0,83.0,45.2,24.7
1736329483,115.0,126.0,228.0,28.0,371.0,91.0,173.0,84.0,45.2,24.7
