Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736329616,112.0,123.0,215.0,27.0,359.0,89.0,165.0,79.0,45.1,24.9
1736329617,112.0,123.0,216.0,27.0,360.0,89.0,167.0,79.0,45.1,24.9
1736329618,112.0,124.0,216.0,27.0,359.0,89.0,166.0,79.0,45.1,24.9
1736329619,112.0,123.0,216.0,27.0,360.0,89.0,167.0,80.0,45.1,24.9
1736329620,112.0,124.0,217.0,26.0,361.0,89.0,167.0,80.0,45.1,24.9
1736329621,114.0,125.0,220.0,27.0,364.0,90.0,168.0,81.0,45.1,24.9
1736329622,113.0,124.0,219.0,28.0,362.0,90.0,168.0,80.0,45.1,24.9
1736329623,113.0,125.0,219.0,28.0,363.0,90.0,168.0,81.0,45.1,24.9
1736329624,113.0,124.0,220.0,27.0,364.0,90.0,169.0,81.0,45.1,24.9
1736329625,114.0,125.0,220.0,27.0,364.0,90.0,168.0,81.0,45.1,24.9
1736329626,113.0,124.0,220.0,28.0,364.0,91.0,168.0,82.0,45.1,24.9
1736329627,114.0,125.0,221.0,27.0,365.0,90.0,170.0,81.0,45.1,24.9
1736329628,114.0,125.0,220.0,27.0,364.0,90.0,168.0,81.0,45.1,24.9
1736329629,114.0,124.0,221.0,28.0,364.0,90.0,169.0,80.0,45.1,24.9
1736329630,115.0,125.0,222.0,27.0,365.0,90.0,170.0,81.0,45.1,24.9
1736329631,114.0,125.0,221.0,28.0,364.0,90.0,169.0,82.0,45.1,24.9
1736329632,114.0,125.0,221.0,28.0,364.0,91.0,169.0,81.0,45.1,24.9
1736329633,113.0,124.0,221.0,28.0,364.0,90.0,169.0,81.0,45.1,24.9
1736329634,114.0,124.0,220.0,28.0,364.0,90.0,169.0,82.0,45.1,24.9
1736329635,114.0,125.0,221.0,28.0,364.0,90.0,170.0,82.0,45.1,24.9
1736329636,114.0,124.0,222.0,27.0,364.0,90.0,170.0,82.0,45.1,24.9
1736329638,114.0,125.0,222.0,27.0,365.0,91.0,169.0,81.0,45.1,24.9
1736329639,114.0,124.0,222.0,28.0,365.0,90.0,170.0,81.0,45.1,24.9
1736329640,114.0,124.0,222.0,28.0,365.0,90.0,169.0,82.0,45.1,24.9
1736329641,114.0,124.0,222.0,27.0,365.0,90.0,170.0,82.0,45.1,24.9
1736329642,113.0,125.0,222.0,28.0,364.0,90.0,169.0,82.0,45.1,24.9
1736329643,115.0,124.0,223.0,28.0,366.0,90.0,170.0,82.0,45.1,24.9
1736329644,114.0,125.0,222.0,28.0,366.0,90.0,169.0,82.0,45.1,24.9
1736329645,114.0,125.0,222.0,28.0,366.0,90.0,170.0,82.0,45.1,24.9
1736329646,115.0,125.0,224.0,27.0,367.0,91.0,171.0,82.0,45.1,24.9
1736329647,114.0,125.0,223.0,28.0,367.0,91.0,170.0,82.0,45.1,24.9
1736329648,115.0,125.0,223.0,28.0,367.0,90.0,170.0,82.0,45.1,24.9
1736329649,115.0,126.0,224.0,28.0,368.0,91.0,171.0,82.0,45.1,24.9
1736329650,114.0,125.0,224.0,28.0,367.0,91.0,170.0,82.0,45.1,24.9
1736329651,114.0,125.0,224.0,28.0,367.0,91.0,171.0,83.0,45.1,24.9
1736329652,115.0,126.0,224.0,28.0,367.0,91.0,171.0,82.0,45.1,24.9
1736329653,115.0,125.0,224.0,28.0,367.0,91.0,171.0,82.0,45.1,24.9
1736329654,114.0,125.0,224.0,28.0,368.0,91.0,170.0,82.0,45.1,24.9
1736329655,114.0,125.0,224.0,28.0,367.0,91.0,171.0,83.0,45.1,24.9
1736329656,116.0,125.0,225.0,27.0,367.0,91.0,171.0,82.0,45.1,24.9
