Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736505767,152.0,125.0,174.0,27.0,358.0,129.0,213.0,75.0,54.3,22.9
1736505769,152.0,125.0,175.0,27.0,359.0,129.0,213.0,76.0,54.3,22.9
1736505770,152.0,125.0,175.0,27.0,359.0,130.0,213.0,75.0,54.3,22.9
1736505771,152.0,125.0,176.0,27.0,360.0,129.0,214.0,76.0,54.3,22.9
1736505772,152.0,126.0,177.0,27.0,359.0,130.0,214.0,75.0,54.3,22.9
1736505773,152.0,125.0,177.0,27.0,360.0,130.0,215.0,76.0,54.3,22.9
1736505774,153.0,126.0,177.0,28.0,361.0,129.0,215.0,76.0,54.3,22.9
1736505775,153.0,125.0,177.0,27.0,361.0,130.0,216.0,76.0,54.3,22.9
1736505776,152.0,125.0,177.0,28.0,361.0,130.0,215.0,76.0,54.3,22.9
1736505777,153.0,126.0,177.0,27.0,360.0,129.0,215.0,76.0,54.3,22.9
1736505778,153.0,125.0,177.0,27.0,360.0,130.0,215.0,77.0,54.3,22.9
1736505779,153.0,126.0,178.0,28.0,361.0,130.0,216.0,76.0,54.3,22.9
1736505780,154.0,126.0,178.0,27.0,362.0,130.0,216.0,77.0,54.3,22.9
1736505781,153.0,126.0,179.0,28.0,361.0,130.0,216.0,76.0,54.3,22.9
1736505782,153.0,126.0,179.0,27.0,361.0,130.0,216.0,77.0,54.3,22.9
1736505783,153.0,125.0,179.0,28.0,362.0,130.0,216.0,78.0,54.3,22.9
1736505784,153.0,126.0,179.0,28.0,362.0,130.0,216.0,77.0,54.3,22.9
1736505785,153.0,126.0,179.0,28.0,361.0,130.0,216.0,77.0,54.3,22.9
1736505786,153.0,126.0,179.0,28.0,362.0,130.0,216.0,77.0,54.3,22.9
1736505787,153.0,126.0,179.0,28.0,361.0,130.0,216.0,77.0,54.3,22.9
1736505788,153.0,126.0,179.0,28.0,362.0,131.0,216.0,77.0,54.3,22.9
1736505789,153.0,125.0,179.0,28.0,361.0,130.0,216.0,77.0,54.3,22.9
1736505790,154.0,125.0,179.0,28.0,362.0,130.0,216.0,77.0,54.3,22.9
1736505791,153.0,126.0,179.0,28.0,362.0,130.0,216.0,77.0,54.3,22.9
1736505792,153.0,126.0,179.0,27.0,361.0,130.0,216.0,77.0,54.3,22.9
1736505793,153.0,125.0,178.0,28.0,361.0,130.0,216.0,77.0,54.3,22.9
1736505794,154.0,125.0,179.0,28.0,361.0,130.0,215.0,77.0,54.3,22.9
1736505795,154.0,126.0,178.0,27.0,362.0,130.0,216.0,77.0,54.3,22.9
1736505796,152.0,125.0,179.0,28.0,362.0,130.0,216.0,77.0,54.3,22.9
1736505797,153.0,126.0,179.0,27.0,361.0,130.0,216.0,77.0,54.3,22.9
1736505798,153.0,126.0,179.0,28.0,361.0,131.0,216.0,77.0,54.3,22.9
1736505799,153.0,125.0,179.0,28.0,361.0,130.0,216.0,77.0,54.3,22.9
1736505800,153.0,126.0,178.0,28.0,362.0,130.0,217.0,77.0,54.3,22.9
1736505801,153.0,126.0,179.0,28.0,363.0,131.0,217.0,78.0,54.3,22.9
1736505802,153.0,126.0,179.0,28.0,362.0,130.0,216.0,78.0,54.3,22.9
1736505803,154.0,126.0,179.0,27.0,363.0,130.0,217.0,78.0,54.3,22.9
1736505804,154.0,126.0,179.0,29.0,362.0,131.0,217.0,78.0,54.3,22.9
1736505805,153.0,127.0,179.0,28.0,363.0,130.0,217.0,78.0,54.3,22.9
1736505806,152.0,125.0,179.0,28.0,363.0,130.0,217.0,78.0,54.3,22.9
1736505807,154.0,126.0,180.0,27.0,363.0,131.0,217.0,77.0,54.3,22.9
