Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736592576,176.0,139.0,202.0,28.0,386.0,155.0,229.0,87.0,51.3,24.3
1736592577,176.0,138.0,202.0,29.0,386.0,156.0,229.0,88.0,51.3,24.3
1736592578,177.0,138.0,203.0,28.0,388.0,156.0,230.0,87.0,51.3,24.3
1736592579,176.0,139.0,203.0,30.0,388.0,156.0,231.0,88.0,51.3,24.3
1736592580,176.0,139.0,204.0,29.0,388.0,156.0,231.0,88.0,51.3,24.3
1736592581,177.0,139.0,204.0,30.0,388.0,155.0,230.0,88.0,51.3,24.3
1736592582,176.0,139.0,204.0,29.0,388.0,156.0,231.0,89.0,51.3,24.3
1736592583,177.0,139.0,205.0,29.0,389.0,156.0,232.0,90.0,51.3,24.3
1736592584,177.0,139.0,205.0,30.0,389.0,156.0,232.0,89.0,51.3,24.3
1736592585,177.0,139.0,206.0,30.0,389.0,156.0,232.0,89.0,51.3,24.3
1736592586,176.0,140.0,205.0,30.0,389.0,157.0,232.0,89.0,51.3,24.3
1736592587,176.0,139.0,206.0,30.0,389.0,156.0,231.0,90.0,51.3,24.3
1736592588,177.0,139.0,206.0,30.0,389.0,156.0,232.0,89.0,51.3,24.3
1736592589,177.0,139.0,206.0,30.0,390.0,156.0,232.0,90.0,51.3,24.3
1736592590,177.0,140.0,206.0,30.0,390.0,157.0,232.0,90.0,51.3,24.3
1736592591,177.0,139.0,206.0,30.0,390.0,156.0,232.0,90.0,51.3,24.3
1736592592,177.0,138.0,206.0,30.0,389.0,156.0,232.0,90.0,51.3,24.3
1736592593,177.0,139.0,207.0,30.0,389.0,156.0,233.0,89.0,51.3,24.3
1736592594,177.0,139.0,206.0,30.0,390.0,155.0,232.0,90.0,51.3,24.3
1736592595,176.0,139.0,206.0,30.0,390.0,155.0,233.0,90.0,51.3,24.3
1736592596,176.0,139.0,207.0,29.0,390.0,156.0,232.0,90.0,51.3,24.3
1736592597,177.0,139.0,207.0,30.0,390.0,156.0,232.0,89.0,51.3,24.3
1736592598,176.0,139.0,206.0,30.0,390.0,156.0,232.0,91.0,51.3,24.3
1736592599,176.0,140.0,206.0,30.0,389.0,156.0,232.0,90.0,51.3,24.3
1736592600,176.0,139.0,207.0,29.0,389.0,156.0,232.0,90.0,51.3,24.3
1736592601,176.0,140.0,207.0,30.0,390.0,156.0,232.0,90.0,51.3,24.3
1736592602,176.0,139.0,207.0,30.0,390.0,156.0,232.0,90.0,51.3,24.3
1736592603,176.0,139.0,207.0,30.0,390.0,155.0,233.0,91.0,51.3,24.3
1736592604,176.0,139.0,207.0,30.0,390.0,156.0,233.0,90.0,51.3,24.3
1736592605,176.0,139.0,207.0,30.0,390.0,155.0,232.0,90.0,51.3,24.3
1736592606,176.0,139.0,207.0,30.0,390.0,155.0,233.0,90.0,51.3,24.3
1736592607,176.0,139.0,206.0,30.0,390.0,156.0,232.0,90.0,51.3,24.3
1736592608,176.0,138.0,207.0,30.0,390.0,156.0,232.0,90.0,51.3,24.3
1736592609,176.0,139.0,206.0,30.0,390.0,156.0,233.0,90.0,51.3,24.3
1736592610,176.0,139.0,207.0,30.0,389.0,155.0,232.0,90.0,51.3,24.3
1736592611,176.0,138.0,207.0,30.0,390.0,155.0,232.0,90.0,51.3,24.3
1736592612,176.0,139.0,206.0,30.0,390.0,156.0,232.0,90.0,51.3,24.3
1736592613,176.0,139.0,207.0,30.0,390.0,155.0,232.0,91.0,51.3,24.3
1736592614,175.0,138.0,207.0,30.0,389.0,155.0,233.0,90.0,51.3,24.3
1736592615,176.0,139.0,207.0,31.0,389.0,155.0,233.0,90.0,51.3,24.3
