Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736332224,110.0,129.0,221.0,28.0,374.0,85.0,169.0,82.0,46.1,24.6
1736332225,109.0,129.0,221.0,28.0,376.0,85.0,169.0,83.0,46.1,24.6
1736332226,110.0,130.0,222.0,28.0,376.0,85.0,170.0,82.0,46.1,24.6
1736332227,109.0,129.0,221.0,28.0,375.0,85.0,169.0,82.0,46.1,24.6
1736332228,109.0,129.0,223.0,28.0,375.0,85.0,170.0,83.0,46.1,24.6
1736332229,109.0,129.0,222.0,28.0,375.0,85.0,169.0,83.0,46.1,24.6
1736332230,110.0,129.0,222.0,28.0,375.0,84.0,170.0,84.0,46.1,24.6
1736332231,109.0,129.0,222.0,28.0,374.0,85.0,169.0,83.0,46.1,24.6
1736332232,107.0,126.0,219.0,27.0,369.0,83.0,167.0,82.0,46.1,24.6
1736332233,107.0,126.0,219.0,27.0,368.0,83.0,166.0,81.0,46.1,24.6
1736332234,107.0,127.0,219.0,27.0,369.0,83.0,167.0,81.0,46.1,24.6
1736332235,107.0,126.0,219.0,27.0,370.0,83.0,166.0,81.0,46.1,24.6
1736332236,107.0,126.0,218.0,28.0,368.0,83.0,166.0,81.0,46.1,24.6
1736332237,107.0,127.0,219.0,27.0,370.0,83.0,167.0,82.0,46.1,24.6
1736332238,107.0,126.0,219.0,28.0,369.0,83.0,166.0,82.0,46.1,24.6
1736332239,107.0,126.0,220.0,28.0,370.0,83.0,166.0,82.0,46.1,24.6
1736332240,107.0,126.0,219.0,28.0,369.0,83.0,166.0,81.0,46.1,24.6
1736332241,107.0,127.0,219.0,28.0,370.0,83.0,166.0,82.0,46.1,24.6
1736332242,107.0,128.0,219.0,27.0,370.0,84.0,166.0,82.0,46.1,24.6
1736332243,108.0,126.0,219.0,27.0,370.0,83.0,166.0,82.0,46.1,24.6
1736332244,107.0,126.0,219.0,28.0,370.0,84.0,166.0,82.0,46.1,24.6
1736332245,107.0,126.0,220.0,28.0,370.0,82.0,167.0,82.0,46.1,24.6
1736332246,107.0,127.0,219.0,28.0,371.0,83.0,166.0,82.0,46.1,24.6
1736332247,107.0,127.0,219.0,28.0,370.0,83.0,166.0,82.0,46.1,24.6
1736332248,107.0,127.0,219.0,27.0,370.0,84.0,166.0,83.0,46.1,24.6
1736332249,107.0,127.0,219.0,28.0,371.0,83.0,166.0,82.0,46.1,24.6
1736332250,107.0,128.0,220.0,28.0,370.0,83.0,167.0,83.0,46.1,24.6
1736332251,107.0,127.0,220.0,28.0,371.0,83.0,167.0,83.0,46.1,24.6
1736332252,107.0,128.0,220.0,28.0,371.0,83.0,167.0,82.0,46.1,24.6
1736332253,107.0,126.0,220.0,27.0,371.0,84.0,167.0,83.0,46.1,24.6
1736332254,107.0,127.0,220.0,27.0,371.0,83.0,167.0,83.0,46.1,24.6
1736332255,107.0,127.0,220.0,27.0,371.0,84.0,167.0,82.0,46.1,24.6
1736332256,107.0,127.0,220.0,28.0,372.0,83.0,167.0,82.0,46.1,24.6
1736332257,107.0,127.0,220.0,27.0,371.0,84.0,167.0,82.0,46.1,24.6
1736332258,107.0,127.0,220.0,28.0,371.0,83.0,168.0,82.0,46.1,24.6
1736332259,106.0,127.0,220.0,28.0,371.0,83.0,166.0,83.0,46.1,24.6
1736332260,107.0,127.0,220.0,28.0,371.0,83.0,168.0,83.0,46.1,24.6
1736332261,108.0,128.0,220.0,28.0,370.0,83.0,167.0,82.0,46.1,24.6
1736332262,107.0,127.0,220.0,28.0,371.0,83.0,167.0,83.0,46.1,24.6
1736332263,107.0,127.0,219.0,28.0,370.0,84.0,166.0,82.0,46.1,24.6
