Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736350007,123.0,114.0,155.0,25.0,344.0,113.0,175.0,70.0,51.3,24.2
1736350008,124.0,115.0,156.0,25.0,344.0,113.0,176.0,70.0,51.3,24.2
1736350009,124.0,115.0,155.0,25.0,346.0,114.0,176.0,71.0,51.3,24.2
1736350010,123.0,115.0,157.0,25.0,346.0,114.0,176.0,71.0,51.3,24.2
1736350011,124.0,115.0,156.0,25.0,346.0,114.0,176.0,71.0,51.3,24.2
1736350012,124.0,115.0,158.0,25.0,347.0,114.0,177.0,71.0,51.3,24.2
1736350013,125.0,116.0,157.0,25.0,346.0,114.0,177.0,71.0,51.3,24.2
1736350014,125.0,116.0,157.0,26.0,347.0,113.0,178.0,72.0,51.3,24.2
1736350015,124.0,116.0,158.0,26.0,348.0,115.0,177.0,72.0,51.3,24.2
1736350016,125.0,116.0,159.0,26.0,347.0,114.0,178.0,71.0,51.3,24.2
1736350017,124.0,115.0,158.0,26.0,348.0,114.0,178.0,71.0,51.3,24.2
1736350018,124.0,116.0,159.0,26.0,347.0,114.0,177.0,72.0,51.3,24.2
1736350019,124.0,116.0,158.0,25.0,348.0,114.0,178.0,72.0,51.3,24.2
1736350020,124.0,115.0,159.0,25.0,347.0,114.0,178.0,72.0,51.3,24.2
1736350021,125.0,116.0,160.0,25.0,348.0,114.0,178.0,72.0,51.3,24.2
1736350022,125.0,116.0,158.0,26.0,348.0,114.0,178.0,72.0,51.3,24.2
1736350023,125.0,116.0,159.0,26.0,348.0,114.0,178.0,72.0,51.3,24.2
1736350024,124.0,116.0,159.0,26.0,348.0,114.0,179.0,72.0,51.3,24.2
1736350025,125.0,115.0,158.0,26.0,348.0,114.0,178.0,73.0,51.3,24.2
1736350026,124.0,115.0,159.0,26.0,349.0,114.0,178.0,72.0,51.3,24.2
1736350027,125.0,115.0,160.0,25.0,348.0,114.0,179.0,72.0,51.3,24.2
1736350028,124.0,115.0,159.0,26.0,349.0,113.0,178.0,71.0,51.3,24.2
1736350029,125.0,116.0,160.0,25.0,349.0,114.0,178.0,73.0,51.3,24.2
1736350030,125.0,116.0,160.0,25.0,349.0,114.0,178.0,72.0,51.3,24.2
1736350031,124.0,116.0,160.0,25.0,348.0,114.0,178.0,72.0,51.3,24.2
1736350032,125.0,115.0,159.0,26.0,348.0,114.0,178.0,72.0,51.3,24.2
1736350033,125.0,116.0,160.0,26.0,348.0,114.0,178.0,73.0,51.3,24.2
1736350034,124.0,116.0,159.0,26.0,349.0,114.0,178.0,72.0,51.3,24.2
1736350035,124.0,116.0,159.0,26.0,349.0,113.0,178.0,72.0,51.3,24.2
1736350036,124.0,116.0,160.0,25.0,348.0,114.0,178.0,72.0,51.3,24.2
1736350037,124.0,115.0,159.0,25.0,348.0,114.0,176.0,72.0,51.3,24.2
1736350038,125.0,115.0,160.0,26.0,349.0,113.0,178.0,72.0,51.3,24.2
1736350039,124.0,115.0,160.0,26.0,349.0,114.0,178.0,72.0,51.3,24.2
1736350040,124.0,116.0,159.0,26.0,348.0,114.0,178.0,73.0,51.3,24.2
1736350041,124.0,115.0,160.0,26.0,349.0,114.0,178.0,73.0,51.3,24.2
1736350042,123.0,116.0,160.0,25.0,349.0,112.0,177.0,72.0,51.3,24.2
1736350043,124.0,115.0,160.0,25.0,349.0,114.0,179.0,73.0,51.3,24.2
1736350044,124.0,116.0,160.0,26.0,349.0,114.0,178.0,72.0,51.3,24.2
1736350045,124.0,116.0,160.0,25.0,349.0,114.0,178.0,72.0,51.3,24.2
1736350046,124.0,116.0,160.0,26.0,349.0,114.0,178.0,73.0,51.3,24.2
