Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1736582773,167.0,140.0,248.0,33.0,388.0,133.0,215.0,85.0,58.0,21.5
1736582774,167.0,140.0,247.0,33.0,388.0,132.0,216.0,85.0,58.0,21.5
1736582775,167.0,140.0,248.0,33.0,388.0,132.0,216.0,84.0,58.0,21.5
1736582776,168.0,140.0,248.0,34.0,388.0,132.0,216.0,84.0,58.0,21.5
1736582777,167.0,140.0,249.0,33.0,388.0,132.0,216.0,84.0,58.0,21.5
1736582778,167.0,140.0,248.0,34.0,388.0,132.0,216.0,85.0,58.0,21.5
1736582779,167.0,141.0,249.0,33.0,388.0,132.0,217.0,85.0,58.0,21.5
1736582780,167.0,140.0,249.0,33.0,388.0,132.0,217.0,85.0,58.0,21.5
1736582781,168.0,140.0,250.0,34.0,389.0,133.0,218.0,86.0,58.0,21.5
1736582782,168.0,141.0,251.0,34.0,390.0,133.0,218.0,85.0,58.0,21.5
1736582783,168.0,140.0,250.0,33.0,389.0,132.0,217.0,86.0,58.0,21.5
1736582784,168.0,140.0,250.0,34.0,389.0,132.0,217.0,85.0,58.0,21.5
1736582785,168.0,140.0,250.0,34.0,389.0,133.0,218.0,85.0,58.0,21.5
1736582786,167.0,139.0,251.0,33.0,389.0,133.0,217.0,86.0,58.0,21.5
1736582787,168.0,140.0,251.0,34.0,389.0,132.0,217.0,86.0,58.0,21.5
1736582788,167.0,140.0,250.0,33.0,389.0,132.0,217.0,86.0,58.0,21.5
1736582789,168.0,140.0,251.0,34.0,389.0,132.0,218.0,85.0,58.0,21.5
1736582790,168.0,140.0,251.0,34.0,389.0,133.0,218.0,86.0,58.0,21.5
1736582791,168.0,140.0,252.0,34.0,390.0,133.0,218.0,86.0,58.0,21.5
1736582792,168.0,140.0,252.0,34.0,390.0,133.0,218.0,87.0,58.0,21.5
1736582793,169.0,141.0,253.0,34.0,392.0,133.0,219.0,86.0,58.0,21.5
1736582794,169.0,141.0,253.0,34.0,391.0,133.0,218.0,87.0,58.0,21.5
1736582795,169.0,141.0,254.0,34.0,392.0,134.0,219.0,87.0,58.0,21.5
1736582796,169.0,141.0,254.0,34.0,392.0,133.0,218.0,87.0,58.0,21.5
1736582797,169.0,141.0,253.0,33.0,392.0,133.0,219.0,87.0,58.0,21.5
1736582798,169.0,141.0,253.0,34.0,392.0,133.0,219.0,87.0,58.0,21.5
1736582799,170.0,141.0,254.0,34.0,392.0,133.0,219.0,87.0,58.0,21.5
1736582800,168.0,142.0,254.0,34.0,392.0,134.0,219.0,87.0,58.0,21.5
1736582801,169.0,141.0,254.0,34.0,392.0,134.0,219.0,87.0,58.0,21.5
1736582802,169.0,141.0,256.0,35.0,393.0,133.0,219.0,87.0,58.0,21.5
1736582803,169.0,141.0,254.0,35.0,392.0,133.0,220.0,88.0,58.0,21.5
1736582804,169.0,141.0,255.0,34.0,393.0,133.0,219.0,87.0,58.0,21.5
1736582805,169.0,141.0,255.0,34.0,393.0,133.0,219.0,86.0,58.0,21.5
1736582806,169.0,141.0,255.0,34.0,392.0,133.0,219.0,87.0,58.0,21.5
1736582807,169.0,141.0,254.0,34.0,393.0,134.0,219.0,87.0,58.0,21.5
1736582808,169.0,141.0,254.0,34.0,392.0,133.0,219.0,87.0,58.0,21.5
1736582809,169.0,141.0,254.0,34.0,393.0,133.0,220.0,88.0,58.0,21.5
1736582810,169.0,141.0,254.0,35.0,392.0,133.0,219.0,87.0,58.0,21.5
1736582811,169.0,141.0,254.0,34.0,393.0,133.0,219.0,87.0,58.0,21.5
1736582812,168.0,141.0,254.0,34.0,392.0,134.0,219.0,87.0,58.0,21.5
